"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	1118.66	3767.584	146.889	2489.091
"Age 2"	2	102834.722	252610.306	74006.221	106172.811
"Age 3"	3	130213.053	322250.568	92467.485	127954.199
"Age 4"	4	47860.562	131939.143	32484.804	49970.005
"Age 5"	5	76149.5	211623.496	53353.474	75270.342
"Age 6"	6	110130.194	200381.998	82106.665	114172.464
"Age 7"	7	43692.893	122492.077	29132.017	44688.002
"Age 8"	8	76344.623	370009.758	45216.367	68886.64
"Age 9"	9	33297.411	117320.589	20553.268	34314.701
"Age 10"	10	34123.97	123072.715	20935.479	34727.093
"Age 11"	11	84411.055	448329.513	47630.819	69771.232
"Age 12+"	12	118786.135	554239.59	75724.591	103419.959
