"names"	"values"
1	"NA/19/2021/10011/30_100_38100"
2	"NA/19/2021/10011/30_101_38101"
3	"NA/19/2021/10011/30_102_38102"
4	"NA/19/2021/10011/30_108_38108"
5	"NA/19/2021/10011/30_109_38109"
6	"NA/19/2021/10011/30_110_38110"
7	"NA/19/2021/10011/30_111_38111"
8	"NA/19/2021/10011/30_112_38112"
9	"NA/19/2021/10011/30_113_38113"
10	"NA/19/2021/10011/30_114_38114"
11	"NA/19/2021/10011/30_115_38115"
12	"NA/19/2021/10011/30_116_38116"
13	"NA/19/2021/10011/30_117_38117"
14	"NA/19/2021/10011/30_21_38021"
15	"NA/19/2021/10011/30_22_38022"
16	"NA/19/2021/10011/30_23_38023"
17	"NA/19/2021/10011/30_24_38024"
18	"NA/19/2021/10011/30_25_38025"
19	"NA/19/2021/10011/30_26_38026"
20	"NA/19/2021/10011/30_27_38027"
21	"NA/19/2021/10011/30_28_38028"
22	"NA/19/2021/10011/30_29_38029"
23	"NA/19/2021/10011/30_30_38030"
24	"NA/19/2021/10011/30_31_38031"
25	"NA/19/2021/10011/30_32_38032"
26	"NA/19/2021/10011/30_33_38033"
27	"NA/19/2021/10011/30_34_38034"
28	"NA/19/2021/10011/30_35_38035"
29	"NA/19/2021/10011/30_36_38036"
30	"NA/19/2021/10011/30_37_38037"
31	"NA/19/2021/10011/30_38_38038"
32	"NA/19/2021/10011/30_39_38039"
33	"NA/19/2021/10011/30_40_38040"
34	"NA/19/2021/10011/30_41_38041"
35	"NA/19/2021/10011/30_42_38042"
36	"NA/19/2021/10011/30_43_38043"
37	"NA/19/2021/10011/30_44_38044"
38	"NA/19/2021/10011/30_45_38045"
39	"NA/19/2021/10011/30_46_38046"
40	"NA/19/2021/10011/30_47_38047"
41	"NA/19/2021/10011/30_48_38048"
42	"NA/19/2021/10011/30_49_38049"
43	"NA/19/2021/10011/30_50_38050"
44	"NA/19/2021/10011/30_51_38051"
45	"NA/19/2021/10011/30_52_38052"
46	"NA/19/2021/10011/30_53_38053"
47	"NA/19/2021/10011/30_54_38054"
48	"NA/19/2021/10011/30_55_38055"
49	"NA/19/2021/10011/30_56_38056"
50	"NA/19/2021/10011/30_57_38057"
51	"NA/19/2021/10011/30_58_38058"
52	"NA/19/2021/10011/30_59_38059"
53	"NA/19/2021/10011/30_60_38060"
54	"NA/19/2021/10011/30_61_38061"
55	"NA/19/2021/10011/30_62_38062"
56	"NA/19/2021/10011/30_63_38063"
57	"NA/19/2021/10011/30_64_38064"
58	"NA/19/2021/10011/30_65_38065"
59	"NA/19/2021/10011/30_66_38066"
60	"NA/19/2021/10011/30_67_38067"
61	"NA/19/2021/10011/30_68_38068"
62	"NA/19/2021/10011/30_69_38069"
63	"NA/19/2021/10011/30_70_38070"
64	"NA/19/2021/10011/30_71_38071"
65	"NA/19/2021/10011/30_72_38072"
66	"NA/19/2021/10011/30_73_38073"
67	"NA/19/2021/10011/30_74_38074"
68	"NA/19/2021/10011/30_75_38075"
69	"NA/19/2021/10011/30_76_38076"
70	"NA/19/2021/10011/30_77_38077"
71	"NA/19/2021/10011/30_78_38078"
72	"NA/19/2021/10011/30_79_38079"
73	"NA/19/2021/10011/30_80_38080"
74	"NA/19/2021/10011/30_81_38081"
75	"NA/19/2021/10011/30_82_38082"
76	"NA/19/2021/10011/30_83_38083"
77	"NA/19/2021/10011/30_84_38084"
78	"NA/19/2021/10011/30_85_38085"
79	"NA/19/2021/10011/30_86_38086"
80	"NA/19/2021/10011/30_87_38087"
81	"NA/19/2021/10011/30_88_38088"
82	"NA/19/2021/10011/30_89_38089"
83	"NA/19/2021/10011/30_90_38090"
84	"NA/19/2021/10011/30_91_38091"
85	"NA/19/2021/10011/30_92_38092"
86	"NA/19/2021/10011/30_93_38093"
87	"NA/19/2021/10011/30_94_38094"
88	"NA/19/2021/10011/30_95_38095"
89	"NA/19/2021/10011/30_96_38096"
90	"NA/19/2021/10011/30_97_38097"
91	"NA/19/2021/10011/30_98_38098"
92	"NA/19/2021/10011/30_99_38099"
