"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.525	39.5	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.494	40	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.561	40.5	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.507	39	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.496	39	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.517	39	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.516	39	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.514	40	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.483	39	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.482	38.5	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.539	38.5	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.465	38	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.454	37.5	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.481	38.5	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.429	37	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.536	40	1	"NA/19/2022/10011/30_101_38101_1"	NA	NA
0.524	39.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.554	40.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.474	38	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.495	39	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.493	39	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.43	38.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.515	37.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.446	39	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.376	36	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.46	39.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.449	39	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.635	42.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.458	38.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.482	40.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.549	40.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.467	37.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.484	39.5	2	"NA/19/2022/10011/30_102_38102_1"	NA	NA
0.42	34.5	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.489	38.5	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.48	38.5	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.498	37	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.356	34	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.45	37	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.435	37	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.575	39.5	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.499	37.5	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.381	36	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.487	37	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.503	37.5	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.559	40	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.454	37.5	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.478	38	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.497	38	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.527	40	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.482	37.5	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.412	36	3	"NA/19/2022/10011/30_103_38103_1"	NA	NA
0.219	30	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.281	31.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.18	28	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.294	32.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.286	32	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.265	32	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.333	33	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.271	31.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.244	30.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.241	31	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.381	35.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.279	32	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.251	31	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.187	28.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.265	32	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.254	31.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.32	34.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.391	35.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.276	32	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.256	31	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.214	30	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.259	31	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.246	31.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.27	32	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.219	30.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.521	39.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.389	37	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.203	29	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.28	33	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.324	33.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.241	31	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.252	31.5	4	"NA/19/2022/10011/30_104_38104_1"	NA	NA
0.417	36	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.273	31	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.404	36	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.343	34	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.405	34.5	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.551	38.5	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.625	39.5	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.252	30.5	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.564	39.5	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.32	33	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.318	33	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.356	34	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.512	37.5	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.491	38.5	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.512	38	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.371	34	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.324	33	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.276	31.5	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
0.295	31	5	"NA/19/2022/10011/30_105_38105_1"	NA	NA
