"Iteration"	"tau_Intercept"
1	289.197606863854
2	290.24362120948
3	302.447100702969
4	279.830092708287
5	281.190550033959
6	304.711355579815
7	308.96834364306
8	293.096395687892
9	293.887493499247
10	282.122627445754
11	281.016576797341
12	308.011042280208
13	314.628737051295
14	288.252965498202
15	290.202467620403
16	304.043018482708
17	312.493448538421
18	312.833873241559
19	293.127572948538
20	309.340654781945
21	309.463335318946
22	310.61274666126
23	295.123953142717
24	288.593731799847
25	309.349442094191
26	288.853826729491
27	297.735079193338
28	293.707147196649
29	273.306260382149
30	298.49944654267
31	290.266416254486
32	285.828480313625
33	294.172538672108
34	307.378693471024
35	290.034747704964
36	294.446991617567
37	286.757205499298
38	300.356867112991
39	316.924499155441
40	298.158081584275
41	285.33726614958
42	297.968816864275
43	295.731407625277
44	289.762798253017
45	301.612852449909
46	295.653638625068
47	281.622683506807
48	306.05884573421
49	298.865795905236
50	312.754115645552
51	277.949379935782
52	299.280057242222
53	298.310077221354
54	303.770645428468
55	287.859779614395
56	299.728699679764
57	308.619910203706
58	297.377756683715
59	305.005083250956
60	291.472239406984
61	304.24725701892
62	305.834980896538
63	298.479403230103
64	276.482894734026
65	301.610534142191
66	302.353151273701
67	304.525948119111
68	284.156927477534
69	301.77056075152
70	309.038114527969
71	321.375913111985
72	288.951961436008
73	284.979874218431
74	300.269288921689
75	303.372603989526
76	322.22851707021
77	300.951709932744
78	295.456920985662
79	297.049853028787
80	296.568383321304
81	290.634563276081
82	300.297514028328
83	301.272381666438
84	290.129410616332
85	303.58992319685
86	285.023536069313
87	287.805365166265
88	301.098906378033
89	296.929866296782
90	289.329731275635
91	303.298443155367
92	297.99372588563
93	299.285485547591
94	299.492916561322
95	271.657532939931
96	307.240856284461
97	307.986317595637
98	285.437930300554
99	309.436812615348
100	300.229977824476
101	295.573115428877
102	304.48585409254
103	299.350494780804
104	304.405709722322
105	291.189442743006
106	299.359856074647
107	295.840031829492
108	303.197039508877
109	303.962993107371
110	306.850933504819
111	304.266920263486
112	313.057558086241
113	281.883048900371
114	292.987157400824
115	294.381507526498
116	298.069507026568
117	299.882757564603
118	298.203079068994
119	280.26947608522
120	299.462704175683
121	293.398635511452
122	285.815404844345
123	293.175965993837
124	309.679448981569
125	295.640908020736
126	300.91500442005
127	316.831917037585
128	300.956573234554
129	288.395342536188
130	295.131428413082
131	294.811220421747
132	287.223629449524
133	302.986245494709
134	299.921295516785
135	307.967866238804
136	306.060117017507
137	322.682770547031
138	295.754287062118
139	310.831123049174
140	293.655361841275
141	291.346048605423
142	314.454590993556
143	295.23069007759
144	305.784549940548
145	311.732763378632
146	295.594131678715
147	298.506202705809
148	304.553590285691
149	303.158900116773
150	295.73418005372
