"Iteration"	"tau_Intercept"
1	226.916808846245
2	229.169733532364
3	213.038369296904
4	233.159662023405
5	214.863506758013
6	223.801640082054
7	226.090305268897
8	237.392580817846
9	228.677654898312
10	241.204948310658
11	243.017497350135
12	237.591983901453
13	229.195473624221
14	235.364703442748
15	228.48423433034
16	223.810875126779
17	239.640387612842
18	228.681130719894
19	239.323785971541
20	232.071158830825
21	224.308734650895
22	239.143200903758
23	232.663575979954
24	245.434176619189
25	215.665036689416
26	231.639128012825
27	231.842248552793
28	228.246348996386
29	230.721639267111
30	233.620125014999
31	251.302868340077
32	236.540262616937
33	230.468037976345
34	230.688559536034
35	225.228966819721
36	227.092266219531
37	245.523435199302
38	232.303053091669
39	225.734517114045
40	233.419198229373
41	227.94442283886
42	232.046274795606
43	232.939322231061
44	240.758200256053
45	232.565615159136
46	240.171254052701
47	236.197975533495
48	237.759115209045
49	247.627878447491
50	227.167547306569
51	228.452853093434
52	243.119208865571
53	240.067824666741
54	232.648625019994
55	237.585338824323
56	231.177612792125
57	236.32603958501
58	251.087101277773
59	229.412096906538
60	220.196644365481
61	221.664224721834
62	242.487373460174
63	243.258689676773
64	224.357959900156
65	222.326064794059
66	230.356196517401
67	254.034169925568
68	220.592888868106
69	225.642134833489
70	226.389435360084
71	236.892001079029
72	242.585189961542
73	236.317508053008
74	230.011990316354
75	241.87645157892
76	237.968666878985
77	246.300320038646
78	215.905509676303
79	241.012620735519
80	237.098159602551
81	236.932827987823
82	235.990180993776
83	235.949272840332
84	221.391080339287
85	237.813045003134
86	231.750262410733
87	223.639047971525
88	205.553077570606
89	237.136873345022
90	238.100653826788
91	227.087924253113
92	234.003344272493
93	232.09999002967
94	231.066281555141
95	230.61039152552
96	227.018151375993
97	235.070992711275
98	239.940016909531
99	231.649380267772
100	224.640390927564
101	218.131715424395
102	240.317899336775
103	229.55906792692
104	253.382148303751
105	225.798629970566
106	242.099556400495
107	234.818824486295
108	244.99836505606
109	239.296348418895
110	234.995419148483
111	223.994655196374
112	235.842828970985
113	247.700936883422
114	221.231094012385
115	224.581498233816
116	228.792271908768
117	238.418786264409
118	238.327741551472
119	238.833428497406
120	247.891624077196
121	230.525239644146
122	222.307359345968
123	223.425343500223
124	226.766670648928
125	226.719094401382
126	220.405039630378
127	239.712933208781
128	226.651036711013
129	237.68457163942
130	230.141942346021
131	233.936868640749
132	228.202788352021
133	228.28006023639
134	233.976589280581
135	229.14278801442
136	239.775898837428
137	231.681620265602
138	235.992560938016
139	237.679265705876
140	228.890037939931
141	235.077000033768
142	233.632736428451
143	238.091542934257
144	227.2443348208
145	247.253253916797
146	232.747062016639
147	212.060660898649
148	238.171355717096
149	239.965497011143
150	220.391498053587
151	249.669868346025
152	232.114974767872
153	232.53326261323
154	240.924759596066
155	235.267149416695
156	224.455319768166
157	243.016551408913
158	237.618552272142
159	221.951348902489
160	238.269615386553
161	242.327761568338
162	238.849392662897
163	242.766157693979
164	242.855055948
165	244.071578922776
166	233.860176892493
167	221.929866870141
168	230.997987137978
169	234.033454521885
170	220.709106614636
171	236.16913543445
172	236.069102279687
173	217.332797995925
174	231.145223865692
175	231.671810257253
176	236.975645140674
177	197.936233877209
178	240.813367210747
179	218.006519549718
180	233.16724033187
181	240.03985925447
182	230.079194238947
183	231.422075437969
184	228.092703278813
185	237.539675101021
186	240.388994765206
187	234.651575888084
188	238.555372490932
189	236.693265385622
190	234.483725082352
191	243.437353302314
192	222.828734400677
193	230.874706051189
194	244.649810222041
195	246.905149135003
196	227.654129725154
197	239.298658602323
198	247.194090314827
199	237.108120730272
200	237.539607694432
201	224.895151378913
202	228.497384540518
203	237.05862400285
204	219.556446251558
205	238.14186159014
206	246.276123971213
207	243.739594600297
208	231.635343483552
209	231.877859505867
210	249.733758760296
211	232.46453180907
212	232.307342780839
213	215.370626846743
214	236.734328887456
215	232.188224424018
216	227.013834271644
217	228.360532262074
218	231.918777470142
219	228.623241531206
220	243.547412286553
221	232.620765124096
222	234.335591886818
223	242.597912786782
224	232.230599980136
225	231.969402132103
226	229.817773297983
227	220.97679241437
228	229.149646838286
229	240.042313007499
230	234.245296135613
231	223.660221084052
232	226.50533006662
233	239.135742281608
234	230.525802270935
235	228.44216079494
236	226.587627780347
237	241.922516360587
238	222.963254100155
239	235.501063216304
240	240.65675527606
241	212.494009023653
242	216.163566104842
243	235.363259485786
244	229.574886235962
245	252.807053791898
246	227.94515461623
247	222.939135488201
248	237.756119372962
249	233.334346305683
250	219.297090486549
251	231.114127740167
252	248.20546305204
253	242.329652445719
254	230.544789954449
255	220.235908459581
256	247.743993178136
257	227.86304583926
258	236.720793001268
259	232.32032407001
260	225.983792446297
261	228.577296532619
262	227.578705336303
263	234.712212881927
264	230.270637577172
265	226.005253378401
266	230.771801760872
267	228.877253996537
268	233.417808669786
269	228.356397486052
270	233.684107428332
271	236.135139205848
272	239.472053254316
273	242.919067513935
274	226.783067229622
275	230.343533466472
276	232.997366062268
277	240.031806012973
278	234.480117939077
279	248.11444086979
280	222.10604050179
281	229.162503968729
282	211.869488338571
283	232.506732663805
284	231.997876780227
285	235.79608945458
286	212.095918225411
287	244.11341841318
288	232.638268093865
289	217.474120343712
290	223.622622626372
291	253.7710066147
292	245.209441664596
293	236.22688291394
294	222.516893804938
295	225.674602533752
296	250.709035535689
297	233.652723080871
298	227.52011826308
299	234.139408047902
300	226.257037286435
301	224.251279471418
302	248.839836118981
303	238.499496804395
304	220.508213090248
305	242.404448887136
306	222.58443640293
307	229.707987756207
308	239.93819279506
309	227.595320292976
310	238.648722722287
311	241.632969410562
312	231.549165377221
313	228.623356825523
314	216.322281906499
315	246.25224899555
316	227.485117471578
317	244.872482604433
318	238.61317853448
319	236.550953714734
320	232.3061388384
321	232.647606581401
322	240.07674935253
323	220.905862130588
324	236.77865502838
325	237.23669526934
326	237.78933216915
327	240.160549044976
328	229.574854695714
329	247.146887981226
330	231.686324562651
331	245.725838045789
332	238.275474692674
333	236.160915982716
334	227.221161249371
335	240.887854674725
336	235.708649598797
337	222.781583431861
338	226.842238534708
339	234.401640143391
340	228.630300207048
341	236.577350703425
342	228.983846211334
343	222.796238498634
344	224.139601248649
345	227.876754105858
346	237.983386929044
347	241.001451321686
348	240.615279547384
349	233.253441573505
350	235.897732132537
351	232.022407201967
352	230.717175636086
353	229.312262419539
354	229.186206652032
355	231.305159708675
356	240.829734201522
357	244.686288545994
358	238.879124084846
359	241.905489141423
360	229.009725389378
361	233.271628888527
362	247.533052031368
363	235.873206152879
364	228.687113104795
365	251.815240592542
366	233.875480924526
367	214.954971087136
368	219.815879400781
369	234.092415138564
370	236.465014242985
371	230.783821646045
372	232.362265641405
373	219.578856090684
374	230.674217812154
375	225.611621677041
376	229.933799028613
377	228.304472717989
378	237.671600416683
379	251.924358262379
380	246.340874151685
381	249.75120934944
382	234.077130252034
383	227.096612918129
384	235.470815338408
385	238.152632818373
386	230.363690867852
387	228.877057707277
388	233.592101149175
389	240.621784940625
390	243.664139472863
391	230.112296794122
392	228.811457507921
393	218.972166715098
394	237.384294791898
395	223.967902670463
396	228.2710093384
397	241.000351703433
398	237.176526939478
399	243.803327616201
400	239.648381429091
401	238.554221598454
402	227.854655528653
403	240.495848130721
404	225.207020306956
405	227.405021072676
406	230.378622529435
407	213.988747367749
408	220.273966704172
409	238.081273290502
410	230.476876593699
411	245.361217058987
412	240.059857077767
413	257.626122010497
414	238.380819360941
415	231.09894723973
416	230.819179316538
417	229.048853763092
418	230.64722051281
419	229.961198211666
420	235.132597942036
421	216.982493920587
422	221.255056193996
423	245.540497886374
424	221.222885955453
425	236.790684076314
426	241.18242540892
427	225.701405099049
428	230.429510554124
429	229.054846150089
430	212.886068513543
431	241.279741220041
432	237.235507458565
433	204.276611918016
434	225.629242207564
435	234.211067293691
436	222.816335218513
437	241.945300699338
438	242.496341241548
439	233.724223644693
440	222.655999959918
441	228.063256473767
442	222.208620134927
443	235.530793179492
444	231.649157039616
445	244.766183141242
446	231.083367682722
447	216.283846524521
448	238.899601881501
449	224.555557360944
450	239.588945755013
451	239.194834009244
452	243.511526560196
453	220.408315683283
454	227.346458041841
455	242.766644960962
456	228.999244997581
457	239.260512461129
458	238.535104629056
459	247.932464455318
460	238.728507313204
461	227.219030852253
462	223.25900682147
463	243.711012010386
464	235.335687547306
465	218.771851888099
466	236.88431983008
467	234.192224397435
468	224.28263532772
469	247.605738411855
470	243.11130055089
471	225.61778832174
472	240.257258956793
473	235.749180161844
474	235.208901390053
475	241.885539575082
476	228.138052707783
477	237.563472583677
478	248.27791499354
479	252.632919884812
480	232.158721860178
481	221.757376765357
482	245.238178052217
483	229.924047293633
484	233.541164656639
485	235.611526782724
486	236.104265417121
487	242.529214753151
488	242.860982910317
489	226.223519460821
490	234.658920490258
491	224.209170843446
492	241.096884042706
493	225.704124853802
494	236.260211203972
495	236.272867444346
496	235.747679665476
497	243.092851936167
498	248.709668561732
499	240.857532636146
500	246.032020057281
501	233.131860947531
502	237.900516034812
503	235.405427684632
504	223.751839511317
505	243.022571023783
506	231.690363330808
507	228.615771685108
508	242.221578548297
509	232.754763611231
510	238.885195155154
511	228.486072217441
512	239.768575108149
513	231.473912171667
514	231.843381203943
515	220.891736056974
516	241.287087629287
517	227.168807257265
518	225.570007625112
519	231.426719856326
520	238.659649676911
521	225.010922685231
522	229.766811719085
523	249.762068547036
524	249.692505544529
525	243.277989280786
526	224.533284737077
527	236.709316564875
528	242.49323085237
529	224.104531849248
530	248.133858560804
531	230.500716323652
532	221.113715050864
533	238.353112874231
534	233.675482722954
535	213.545565318153
536	242.13696564866
537	229.552232749409
538	240.255669710726
539	249.275239656462
540	217.09621921974
541	241.797108937241
542	213.694561572445
543	244.113901620106
544	247.995239425003
545	214.836088385997
546	223.804237945322
547	228.609335255971
548	226.894674852406
549	208.941992202098
550	236.470557707315
551	223.930967672263
552	238.003158318863
553	237.765066644959
554	236.842986534458
555	232.919902715409
556	228.904503762542
557	211.543114283235
558	227.487692102617
559	239.711405892615
560	233.378100296975
561	244.393367837331
562	224.842408926894
563	236.463465728315
