"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
3	10	26.817379045457	"27.4.aE"	"Q4"
4	10	27.624862382546	"27.4.aE"	"Q4"
5	10	28.104403169101	"27.4.aE"	"Q4"
6	10	28.392368672538	"27.4.aE"	"Q4"
7	10	28.566393395336	"27.4.aE"	"Q4"
8	10	28.671953195521	"27.4.aE"	"Q4"
9	10	28.73612585402	"27.4.aE"	"Q4"
10	10	28.775190266924	"27.4.aE"	"Q4"
11	10	0	"27.4.aE"	"Q4"
12	10	0	"27.4.aE"	"Q4"
13	10	28.822340546342	"27.4.aE"	"Q4"
14	10	0	"27.4.aE"	"Q4"
1	11	23.044581963283	"27.4.aE"	"Q4"
2	11	25.532581076189	"27.4.aE"	"Q4"
3	11	26.925417980015	"27.4.aE"	"Q4"
4	11	27.73817423097	"27.4.aE"	"Q4"
5	11	28.222324261202	"27.4.aE"	"Q4"
6	11	28.513993336212	"27.4.aE"	"Q4"
7	11	28.69084233187	"27.4.aE"	"Q4"
8	11	0	"27.4.aE"	"Q4"
9	11	28.864141422257	"27.4.aE"	"Q4"
10	11	28.904251467417	"27.4.aE"	"Q4"
11	11	28.928773494787	"27.4.aE"	"Q4"
12	11	0	"27.4.aE"	"Q4"
13	11	28.952950847953	"27.4.aE"	"Q4"
14	11	0	"27.4.aE"	"Q4"
1	12	23.77348787237	"27.4.aE"	"Q4"
2	12	26.306462688904	"27.4.aE"	"Q4"
3	12	27.719040756592	"27.4.aE"	"Q4"
4	12	28.54026462319	"27.4.aE"	"Q4"
5	12	29.027657275356	"27.4.aE"	"Q4"
6	12	29.320193234815	"27.4.aE"	"Q4"
7	12	29.496906305213	"27.4.aE"	"Q4"
8	12	29.604056873895	"27.4.aE"	"Q4"
9	12	29.669174021744	"27.4.aE"	"Q4"
10	12	29.708800241239	"27.4.aE"	"Q4"
11	12	0	"27.4.aE"	"Q4"
12	12	0	"27.4.aE"	"Q4"
13	12	29.756602854476	"27.4.aE"	"Q4"
14	12	0	"27.4.aE"	"Q4"
1	13	22.902034055787	"27.4.aE"	"Q4"
2	13	25.422887231916	"27.4.aE"	"Q4"
3	13	26.834800329919	"27.4.aE"	"Q4"
4	13	27.658452753063	"27.4.aE"	"Q4"
5	13	28.148759132043	"27.4.aE"	"Q4"
6	13	28.443869221124	"27.4.aE"	"Q4"
7	13	28.622618273421	"27.4.aE"	"Q4"
8	13	28.731289935443	"27.4.aE"	"Q4"
9	13	28.79750428442	"27.4.aE"	"Q4"
10	13	28.837903092047	"27.4.aE"	"Q4"
11	13	0	"27.4.aE"	"Q4"
12	13	0	"27.4.aE"	"Q4"
13	13	0	"27.4.aE"	"Q4"
14	13	0	"27.4.aE"	"Q4"
1	14	23.297470256724	"27.4.aE"	"Q4"
2	14	25.866808145654	"27.4.aE"	"Q4"
3	14	27.270935942575	"27.4.aE"	"Q4"
4	14	28.067920781897	"27.4.aE"	"Q4"
5	14	28.528731298755	"27.4.aE"	"Q4"
6	14	28.797808574632	"27.4.aE"	"Q4"
7	14	28.955795715059	"27.4.aE"	"Q4"
8	14	29.048849462569	"27.4.aE"	"Q4"
9	14	29.103757934105	"27.4.aE"	"Q4"
10	14	29.136192558088	"27.4.aE"	"Q4"
11	14	29.15536383604	"27.4.aE"	"Q4"
12	14	0	"27.4.aE"	"Q4"
13	14	29.173403954809	"27.4.aE"	"Q4"
14	14	0	"27.4.aE"	"Q4"
1	15	23.664542721598	"27.4.aE"	"Q4"
2	15	26.265746739691	"27.4.aE"	"Q4"
3	15	27.714071821075	"27.4.aE"	"Q4"
4	15	28.55348262958	"27.4.aE"	"Q4"
5	15	29.049736568904	"27.4.aE"	"Q4"
6	15	29.346295500227	"27.4.aE"	"Q4"
7	15	29.524607085615	"27.4.aE"	"Q4"
8	15	29.632204790458	"27.4.aE"	"Q4"
9	15	29.697269994007	"27.4.aE"	"Q4"
10	15	29.736665495138	"27.4.aE"	"Q4"
11	15	0	"27.4.aE"	"Q4"
