"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
1	9	0.108475807051	"27.4.aE"	"Q4"
2	9	0.144221124376	"27.4.aE"	"Q4"
3	9	0.167067572765	"27.4.aE"	"Q4"
4	9	0.181349129883	"27.4.aE"	"Q4"
5	9	0.190178255317	"27.4.aE"	"Q4"
6	9	0.195603669439	"27.4.aE"	"Q4"
7	9	0.198926028755	"27.4.aE"	"Q4"
8	9	0	"27.4.aE"	"Q4"
9	9	0.202195749778	"27.4.aE"	"Q4"
10	9	0.202951677281	"27.4.aE"	"Q4"
11	9	0.203412551353	"27.4.aE"	"Q4"
12	9	0	"27.4.aE"	"Q4"
13	9	0.203864655169	"27.4.aE"	"Q4"
14	9	0	"27.4.aE"	"Q4"
1	10	0.0973396186407	"27.4.aE"	"Q4"
2	10	0.129752140663	"27.4.aE"	"Q4"
3	10	0.150527771879	"27.4.aE"	"Q4"
4	10	0.163542305827	"27.4.aE"	"Q4"
5	10	0.171602074015	"27.4.aE"	"Q4"
6	10	0.176562247596	"27.4.aE"	"Q4"
7	10	0.179603939994	"27.4.aE"	"Q4"
8	10	0.181465255373	"27.4.aE"	"Q4"
9	10	0.182602829737	"27.4.aE"	"Q4"
10	10	0.183297552945	"27.4.aE"	"Q4"
11	10	0	"27.4.aE"	"Q4"
12	10	0	"27.4.aE"	"Q4"
13	10	0.184138333613	"27.4.aE"	"Q4"
14	10	0	"27.4.aE"	"Q4"
1	11	0.10106707142	"27.4.aE"	"Q4"
2	11	0.134273982944	"27.4.aE"	"Q4"
3	11	0.155565418336	"27.4.aE"	"Q4"
4	11	0.168928125573	"27.4.aE"	"Q4"
5	11	0.177225385211	"27.4.aE"	"Q4"
6	11	0.182347275408	"27.4.aE"	"Q4"
7	11	0.185498404432	"27.4.aE"	"Q4"
8	11	0	"27.4.aE"	"Q4"
9	11	0.188619832795	"27.4.aE"	"Q4"
10	11	0.189347036433	"27.4.aE"	"Q4"
11	11	0.189792507277	"27.4.aE"	"Q4"
12	11	0	"27.4.aE"	"Q4"
13	11	0.190232371931	"27.4.aE"	"Q4"
14	11	0	"27.4.aE"	"Q4"
1	12	0.108960971269	"27.4.aE"	"Q4"
2	12	0.144468675355	"27.4.aE"	"Q4"
3	12	0.167132760356	"27.4.aE"	"Q4"
4	12	0.181296128363	"27.4.aE"	"Q4"
5	12	0.190054144125	"27.4.aE"	"Q4"
6	12	0.195438573466	"27.4.aE"	"Q4"
7	12	0.198738017566	"27.4.aE"	"Q4"
8	12	0.200755922084	"27.4.aE"	"Q4"
9	12	0.201988626558	"27.4.aE"	"Q4"
10	12	0.202741142474	"27.4.aE"	"Q4"
11	12	0	"27.4.aE"	"Q4"
12	12	0	"27.4.aE"	"Q4"
13	12	0.203651319768	"27.4.aE"	"Q4"
14	12	0	"27.4.aE"	"Q4"
1	13	0.0976271859711	"27.4.aE"	"Q4"
2	13	0.130657021432	"27.4.aE"	"Q4"
3	13	0.151929111834	"27.4.aE"	"Q4"
4	13	0.165303464335	"27.4.aE"	"Q4"
5	13	0.173611734119	"27.4.aE"	"Q4"
6	13	0.178739059735	"27.4.aE"	"Q4"
7	13	0.181891403318	"27.4.aE"	"Q4"
8	13	0.183825208073	"27.4.aE"	"Q4"
9	13	0.185009928835	"27.4.aE"	"Q4"
10	13	0.185735153002	"27.4.aE"	"Q4"
11	13	0	"27.4.aE"	"Q4"
12	13	0	"27.4.aE"	"Q4"
13	13	0	"27.4.aE"	"Q4"
14	13	0	"27.4.aE"	"Q4"
1	14	0.104525481219	"27.4.aE"	"Q4"
2	14	0.139604502774	"27.4.aE"	"Q4"
3	14	0.161585496884	"27.4.aE"	"Q4"
4	14	0.174987652259	"27.4.aE"	"Q4"
5	14	0.183050189129	"27.4.aE"	"Q4"
6	14	0.187865791226	"27.4.aE"	"Q4"
7	14	0.190730541793	"27.4.aE"	"Q4"
8	14	0.192430840866	"27.4.aE"	"Q4"
9	14	0.193438664954	"27.4.aE"	"Q4"
10	14	0.194035570167	"27.4.aE"	"Q4"
11	14	0.194388937911	"27.4.aE"	"Q4"
12	14	0	"27.4.aE"	"Q4"
13	14	0.194721830955	"27.4.aE"	"Q4"
14	14	0	"27.4.aE"	"Q4"
1	15	0.109786519827	"27.4.aE"	"Q4"
2	15	0.146954205256	"27.4.aE"	"Q4"
3	15	0.170748608926	"27.4.aE"	"Q4"
4	15	0.185604774267	"27.4.aE"	"Q4"
5	15	0.194765274212	"27.4.aE"	"Q4"
6	15	0.200375534283	"27.4.aE"	"Q4"
7	15	0.203798218339	"27.4.aE"	"Q4"
8	15	0.205881598106	"27.4.aE"	"Q4"
9	15	0.207148045681	"27.4.aE"	"Q4"
10	15	0.207917277164	"27.4.aE"	"Q4"
11	15	0	"27.4.aE"	"Q4"
12	15	0	"27.4.aE"	"Q4"
13	15	0.208839701067	"27.4.aE"	"Q4"
14	15	0	"27.4.aE"	"Q4"
1	16	0.103957447305	"27.4.aE"	"Q4"
2	16	0.138668982539	"27.4.aE"	"Q4"
3	16	0.160968106601	"27.4.aE"	"Q4"
4	16	0.174968778301	"27.4.aE"	"Q4"
5	16	0.183658988121	"27.4.aE"	"Q4"
6	16	0.189019280022	"27.4.aE"	"Q4"
7	16	0.192313753748	"27.4.aE"	"Q4"
8	16	0.194334284705	"27.4.aE"	"Q4"
9	16	0.195571930708	"27.4.aE"	"Q4"
10	16	0.1963294552	"27.4.aE"	"Q4"
11	16	0	"27.4.aE"	"Q4"
12	16	0	"27.4.aE"	"Q4"
13	16	0	"27.4.aE"	"Q4"
14	16	0	"27.4.aE"	"Q4"
1	17	0.108017826762	"27.4.aE"	"Q4"
2	17	0.142828688889	"27.4.aE"	"Q4"
3	17	0.165219757857	"27.4.aE"	"Q4"
4	17	0.179354922522	"27.4.aE"	"Q4"
5	17	0.188194592618	"27.4.aE"	"Q4"
6	17	0.19369404716	"27.4.aE"	"Q4"
7	17	0.197105216688	"27.4.aE"	"Q4"
8	17	0.199217324179	"27.4.aE"	"Q4"
9	17	0.200523688005	"27.4.aE"	"Q4"
10	17	0.201331164049	"27.4.aE"	"Q4"
11	17	0	"27.4.aE"	"Q4"
12	17	0	"27.4.aE"	"Q4"
13	17	0	"27.4.aE"	"Q4"
14	17	0	"27.4.aE"	"Q4"
1	18	0.105590804475	"27.4.aE"	"Q4"
2	18	0.141550817762	"27.4.aE"	"Q4"
3	18	0.164225343588	"27.4.aE"	"Q4"
4	18	0.178126771387	"27.4.aE"	"Q4"
5	18	0.186532484722	"27.4.aE"	"Q4"
6	18	0.191577557776	"27.4.aE"	"Q4"
7	18	0.19459301529	"27.4.aE"	"Q4"
8	18	0.196391059815	"27.4.aE"	"Q4"
9	18	0.197461697423	"27.4.aE"	"Q4"
10	18	0.198098682188	"27.4.aE"	"Q4"
11	18	0	"27.4.aE"	"Q4"
12	18	0	"27.4.aE"	"Q4"
13	18	0.198836529118	"27.4.aE"	"Q4"
14	18	0	"27.4.aE"	"Q4"
1	19	0.103514043258	"27.4.aE"	"Q4"
2	19	0.139076806483	"27.4.aE"	"Q4"
3	19	0.161163072007	"27.4.aE"	"Q4"
4	19	0.174455163744	"27.4.aE"	"Q4"
5	19	0.182333283369	"27.4.aE"	"Q4"
6	19	0.186964983246	"27.4.aE"	"Q4"
7	19	0.189675931329	"27.4.aE"	"Q4"
8	19	0.191258667435	"27.4.aE"	"Q4"
9	19	0.1921813887	"27.4.aE"	"Q4"
10	19	0.192718881132	"27.4.aE"	"Q4"
11	19	0	"27.4.aE"	"Q4"
12	19	0	"27.4.aE"	"Q4"
