"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"NA/19/2020/9000/30"	"90"	"38090"	"NA/19/2020/9000/30-90-38090"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"91"	"38091"	"NA/19/2020/9000/30-91-38091"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"21"	"38021"	"NA/19/2021/10011/30-21-38021"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"22"	"38022"	"NA/19/2021/10011/30-22-38022"	"3600"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"23"	"38023"	"NA/19/2021/10011/30-23-38023"	"3710"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"24"	"38024"	"NA/19/2021/10011/30-24-38024"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"25"	"38025"	"NA/19/2021/10011/30-25-38025"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"26"	"38026"	"NA/19/2021/10011/30-26-38026"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"27"	"38027"	"NA/19/2021/10011/30-27-38027"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"28"	"38028"	"NA/19/2021/10011/30-28-38028"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"29"	"38029"	"NA/19/2021/10011/30-29-38029"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"30"	"38030"	"NA/19/2021/10011/30-30-38030"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"31"	"38031"	"NA/19/2021/10011/30-31-38031"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"32"	"38032"	"NA/19/2021/10011/30-32-38032"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"33"	"38033"	"NA/19/2021/10011/30-33-38033"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"34"	"38034"	"NA/19/2021/10011/30-34-38034"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"35"	"38035"	"NA/19/2021/10011/30-35-38035"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"36"	"38036"	"NA/19/2021/10011/30-36-38036"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"37"	"38037"	"NA/19/2021/10011/30-37-38037"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"38"	"38038"	"NA/19/2021/10011/30-38-38038"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"39"	"38039"	"NA/19/2021/10011/30-39-38039"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"40"	"38040"	"NA/19/2021/10011/30-40-38040"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"41"	"38041"	"NA/19/2021/10011/30-41-38041"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"42"	"38042"	"NA/19/2021/10011/30-42-38042"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"43"	"38043"	"NA/19/2021/10011/30-43-38043"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"44"	"38044"	"NA/19/2021/10011/30-44-38044"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"45"	"38045"	"NA/19/2021/10011/30-45-38045"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"46"	"38046"	"NA/19/2021/10011/30-46-38046"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"47"	"38047"	"NA/19/2021/10011/30-47-38047"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"48"	"38048"	"NA/19/2021/10011/30-48-38048"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"49"	"38049"	"NA/19/2021/10011/30-49-38049"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"50"	"38050"	"NA/19/2021/10011/30-50-38050"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"51"	"38051"	"NA/19/2021/10011/30-51-38051"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"52"	"38052"	"NA/19/2021/10011/30-52-38052"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"53"	"38053"	"NA/19/2021/10011/30-53-38053"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"54"	"38054"	"NA/19/2021/10011/30-54-38054"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"55"	"38055"	"NA/19/2021/10011/30-55-38055"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"56"	"38056"	"NA/19/2021/10011/30-56-38056"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"57"	"38057"	"NA/19/2021/10011/30-57-38057"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"58"	"38058"	"NA/19/2021/10011/30-58-38058"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"59"	"38059"	"NA/19/2021/10011/30-59-38059"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10011/30"	"60"	"38060"	"NA/19/2021/10011/30-60-38060"	"3700"	NA	NA	NA	NA	NA	NA	NA
