"CatchDate"	"Stratum"	"LandedRoundWeight"
2023-03-14T23:00:00Z	"27.4.aE"	35
2023-03-15T23:00:00Z	"27.4.aE"	46
2023-03-20T23:00:00Z	"27.4.aE"	123
2023-03-27T22:00:00Z	"27.4.aE"	25
2023-04-02T22:00:00Z	"27.4.aE"	9663
2023-04-07T22:00:00Z	"27.4.aE"	1616
2023-04-10T22:00:00Z	"27.4.aE"	6358
2023-04-11T22:00:00Z	"27.4.aE"	3560
2023-04-13T22:00:00Z	"27.4.aE"	15000
2023-04-16T22:00:00Z	"27.4.aE"	4548
2023-04-17T22:00:00Z	"27.4.aE"	1712
2023-04-21T22:00:00Z	"27.4.aE"	90716
2023-04-22T22:00:00Z	"27.4.aE"	15109
2023-04-23T22:00:00Z	"27.4.aE"	450
2023-04-27T22:00:00Z	"27.4.aE"	7760
2023-04-28T22:00:00Z	"27.4.aE"	907200
2023-05-01T22:00:00Z	"27.4.aE"	195
2023-05-02T22:00:00Z	"27.4.aE"	823656
2023-05-03T22:00:00Z	"27.4.aE"	888
2023-05-04T22:00:00Z	"27.4.aE"	340043
2023-05-07T22:00:00Z	"27.4.aE"	13138
2023-05-09T22:00:00Z	"27.4.aE"	44
2023-05-10T22:00:00Z	"27.4.aE"	97208
2023-05-11T22:00:00Z	"27.4.aE"	118
2023-05-14T22:00:00Z	"27.4.aE"	110
2023-05-16T22:00:00Z	"27.4.aE"	530
2023-05-17T22:00:00Z	"27.4.aE"	60
2023-05-19T22:00:00Z	"27.4.aE"	809848
2023-05-20T22:00:00Z	"27.4.aE"	617870
2023-05-21T22:00:00Z	"27.4.aE"	127251
2023-05-22T22:00:00Z	"27.4.aE"	618232
2023-05-23T22:00:00Z	"27.4.aE"	1222643
2023-05-24T22:00:00Z	"27.4.aE"	44444
2023-05-25T22:00:00Z	"27.4.aE"	472928
2023-05-26T22:00:00Z	"27.4.aE"	240449
2023-05-27T22:00:00Z	"27.4.aE"	3226400
2023-05-28T22:00:00Z	"27.4.aE"	588637
2023-05-29T22:00:00Z	"27.4.aE"	510933
2023-05-30T22:00:00Z	"27.4.aE"	2024791
2023-05-31T22:00:00Z	"27.4.aE"	29931
2023-06-01T22:00:00Z	"27.4.aE"	300241
2023-06-02T22:00:00Z	"27.4.aE"	1116353
2023-06-03T22:00:00Z	"27.4.aE"	2345196
2023-06-04T22:00:00Z	"27.4.aE"	1827730
2023-06-05T22:00:00Z	"27.4.aE"	2226950
2023-06-06T22:00:00Z	"27.4.aE"	2389891
2023-06-07T22:00:00Z	"27.4.aE"	1094975
2023-06-08T22:00:00Z	"27.4.aE"	527623
2023-06-09T22:00:00Z	"27.4.aE"	2184912
2023-06-10T22:00:00Z	"27.4.aE"	1778109
2023-06-11T22:00:00Z	"27.4.aE"	2417549
2023-06-12T22:00:00Z	"27.4.aE"	3400697
2023-06-13T22:00:00Z	"27.4.aE"	1180024
2023-06-14T22:00:00Z	"27.4.aE"	3571251
2023-06-15T22:00:00Z	"27.4.aE"	2587982
2023-06-16T22:00:00Z	"27.4.aE"	507729
2023-06-17T22:00:00Z	"27.4.aE"	974672
2023-06-18T22:00:00Z	"27.4.aE"	2472248
2023-06-19T22:00:00Z	"27.4.aE"	1566719
2023-06-20T22:00:00Z	"27.4.aE"	368756
2023-06-21T22:00:00Z	"27.4.aE"	1001517
2023-06-22T22:00:00Z	"27.4.aE"	1135556
2023-06-23T22:00:00Z	"27.4.aE"	986654
2023-06-24T22:00:00Z	"27.4.aE"	789563
2023-06-25T22:00:00Z	"27.4.aE"	1115496
2023-06-27T22:00:00Z	"27.4.aE"	1055794
2023-06-28T22:00:00Z	"27.4.aE"	96360
2023-06-29T22:00:00Z	"27.4.aE"	636956
2023-06-30T22:00:00Z	"27.4.aE"	638654
