"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	24420.848	4012.176	17900.518	31008.083
"Age 2"	2	88696.161	9917.472	72419.175	104492.512
"Age 3"	3	160084.359	13042.604	139337.989	182327.072
"Age 4"	4	121771.268	11582.498	102278.092	141778.988
"Age 5"	5	87293.557	8434.144	73856.688	101418.556
"Age 6"	6	33052.084	4554.495	25880.866	40889.748
"Age 7"	7	44271.973	5215.804	36195.545	52715.114
"Age 8"	8	16318.02	2830.803	12109.604	21121.582
"Age 9+"	9	85436.427	7189.6	73555.376	97689.427
