"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
7	9	28.209120369577	"27.4.aE"	"Q4"
8	9	28.289770442184	"27.4.aE"	"Q4"
9	9	28.336462139266	"27.4.aE"	"Q4"
10	9	28.363519553294	"27.4.aE"	"Q4"
11	9	28.379207656484	"27.4.aE"	"Q4"
12	9	28.388306620473	"27.4.aE"	"Q4"
13	9	0	"27.4.aE"	"Q4"
14	9	28.396647154098	"27.4.aE"	"Q4"
15	9	28.398423853914	"27.4.aE"	"Q4"
1	10	23.194039342151	"27.4.aE"	"Q4"
2	10	25.70965388932	"27.4.aE"	"Q4"
3	10	27.068359188292	"27.4.aE"	"Q4"
4	10	27.830117424999	"27.4.aE"	"Q4"
5	10	28.264979984775	"27.4.aE"	"Q4"
6	10	28.51560798314	"27.4.aE"	"Q4"
7	10	28.660817253258	"27.4.aE"	"Q4"
8	10	28.745199752548	"27.4.aE"	"Q4"
9	10	28.794318981444	"27.4.aE"	"Q4"
10	10	28.822939574659	"27.4.aE"	"Q4"
11	10	28.839625638604	"27.4.aE"	"Q4"
12	10	28.849356997157	"27.4.aE"	"Q4"
13	10	0	"27.4.aE"	"Q4"
14	10	28.858344987538	"27.4.aE"	"Q4"
15	10	28.86027700361	"27.4.aE"	"Q4"
1	11	23.384294082764	"27.4.aE"	"Q4"
2	11	26.007560334363	"27.4.aE"	"Q4"
3	11	27.418367953583	"27.4.aE"	"Q4"
4	11	28.204426513951	"27.4.aE"	"Q4"
5	11	28.649914025004	"27.4.aE"	"Q4"
6	11	28.904654091765	"27.4.aE"	"Q4"
7	11	29.051035807448	"27.4.aE"	"Q4"
8	11	29.135382984415	"27.4.aE"	"Q4"
9	11	29.184061031798	"27.4.aE"	"Q4"
10	11	29.212179038217	"27.4.aE"	"Q4"
11	11	29.228429266966	"27.4.aE"	"Q4"
12	11	29.23782354291	"27.4.aE"	"Q4"
13	11	0	"27.4.aE"	"Q4"
14	11	29.246396277556	"27.4.aE"	"Q4"
15	11	29.248212666304	"27.4.aE"	"Q4"
1	12	23.164876281355	"27.4.aE"	"Q4"
2	12	25.722747180561	"27.4.aE"	"Q4"
3	12	27.089929881349	"27.4.aE"	"Q4"
4	12	27.847018876294	"27.4.aE"	"Q4"
5	12	28.273437668206	"27.4.aE"	"Q4"
6	12	28.515750231779	"27.4.aE"	"Q4"
7	12	28.654111806684	"27.4.aE"	"Q4"
8	12	28.733330373877	"27.4.aE"	"Q4"
9	12	28.778755987878	"27.4.aE"	"Q4"
10	12	28.804826624265	"27.4.aE"	"Q4"
11	12	28.819796490385	"27.4.aE"	"Q4"
12	12	28.828394691871	"27.4.aE"	"Q4"
13	12	0	"27.4.aE"	"Q4"
14	12	0	"27.4.aE"	"Q4"
15	12	28.837802138803	"27.4.aE"	"Q4"
1	13	23.441516993654	"27.4.aE"	"Q4"
2	13	26.120626698761	"27.4.aE"	"Q4"
3	13	27.534903964775	"27.4.aE"	"Q4"
4	13	28.30613106168	"27.4.aE"	"Q4"
5	13	28.733212566291	"27.4.aE"	"Q4"
6	13	28.971598799976	"27.4.aE"	"Q4"
7	13	29.10522748993	"27.4.aE"	"Q4"
8	13	29.180308896641	"27.4.aE"	"Q4"
9	13	29.222549314486	"27.4.aE"	"Q4"
10	13	29.246330786166	"27.4.aE"	"Q4"
11	13	29.259725263683	"27.4.aE"	"Q4"
12	13	29.267271181106	"27.4.aE"	"Q4"
13	13	0	"27.4.aE"	"Q4"
14	13	29.273918472077	"27.4.aE"	"Q4"
15	13	0	"27.4.aE"	"Q4"
1	14	24.054381751514	"27.4.aE"	"Q4"
2	14	26.69894751351	"27.4.aE"	"Q4"
3	14	28.096395255592	"27.4.aE"	"Q4"
4	14	28.86063272463	"27.4.aE"	"Q4"
5	14	29.285453449304	"27.4.aE"	"Q4"
6	14	29.523601069259	"27.4.aE"	"Q4"
7	14	29.657711236397	"27.4.aE"	"Q4"
8	14	29.733423393184	"27.4.aE"	"Q4"
9	14	29.776226636738	"27.4.aE"	"Q4"
