"Parameter"	"Mean"	"Variance"	"chainId"
"ProportionAtAgeModel-Quarter:Q2:Age:6 Intercept"	-0.108127432334	0.106972721376	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:6 Intercept"	0.123442774126	0.10275416192	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:6 Intercept"	-0.010631289888	0.151783446662	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:6 Intercept"	-0.00468405190364	0.473080392222	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:7 Intercept"	-0.813884506191	0.0849829903491	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:7 Intercept"	0.513661323125	0.0922881626762	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:7 Intercept"	0.321565055543	0.124630708874	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:7 Intercept"	-0.0213418724774	0.461000730093	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:8 Intercept"	-0.587988007829	0.0856367622172	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:8 Intercept"	0.488044016676	0.093952232237	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:8 Intercept"	0.114593488004	0.125111713332	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:8 Intercept"	-0.014649496851	0.402720949865	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:9 Intercept"	-0.895330651367	0.103621291815	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:9 Intercept"	0.461205376223	0.109155955801	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:9 Intercept"	0.415846001659	0.147701973323	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:9 Intercept"	0.0182792734846	0.440066458559	"C:\Users\Administrator\Documents\temp\ecatest"
