"Age"	"Iteration"	"MeanIndividualWeight"	"Stratum"	"Quarter"
4	8	0.158154183695	"27.4.aE"	"Q4"
5	8	0.168415711081	"27.4.aE"	"Q4"
6	8	0.177586828889	"27.4.aE"	"Q4"
7	8	0.185919009612	"27.4.aE"	"Q4"
8	8	0.193582000896	"27.4.aE"	"Q4"
9	8	0.200696432577	"27.4.aE"	"Q4"
10	8	0.207351472043	"27.4.aE"	"Q4"
11	8	0	"27.4.aE"	"Q4"
12	8	0.219540543018	"27.4.aE"	"Q4"
13	8	0	"27.4.aE"	"Q4"
14	8	0	"27.4.aE"	"Q4"
15	8	0.235674408419	"27.4.aE"	"Q4"
1	9	0.136304718212	"27.4.aE"	"Q4"
2	9	0.155664315984	"27.4.aE"	"Q4"
3	9	0.170878603265	"27.4.aE"	"Q4"
4	9	0.183622448725	"27.4.aE"	"Q4"
5	9	0.194697354269	"27.4.aE"	"Q4"
6	9	0.204556324515	"27.4.aE"	"Q4"
7	9	0.213483229673	"27.4.aE"	"Q4"
8	9	0.221669020282	"27.4.aE"	"Q4"
9	9	0.229248985274	"27.4.aE"	"Q4"
10	9	0.236322861975	"27.4.aE"	"Q4"
11	9	0.242966526067	"27.4.aE"	"Q4"
12	9	0.249239191451	"27.4.aE"	"Q4"
13	9	0	"27.4.aE"	"Q4"
14	9	0	"27.4.aE"	"Q4"
15	9	0.266260808655	"27.4.aE"	"Q4"
1	10	0.115426957689	"27.4.aE"	"Q4"
2	10	0.133262820456	"27.4.aE"	"Q4"
3	10	0.147409090324	"27.4.aE"	"Q4"
4	10	0.159338457586	"27.4.aE"	"Q4"
5	10	0.169760963858	"27.4.aE"	"Q4"
6	10	0.17908020513	"27.4.aE"	"Q4"
7	10	0.1875502572	"27.4.aE"	"Q4"
8	10	0.195342693831	"27.4.aE"	"Q4"
9	10	0.202579484962	"27.4.aE"	"Q4"
10	10	0.209350816228	"27.4.aE"	"Q4"
11	10	0.215725479399	"27.4.aE"	"Q4"
12	10	0	"27.4.aE"	"Q4"
13	10	0	"27.4.aE"	"Q4"
14	10	0	"27.4.aE"	"Q4"
15	10	0.238187227441	"27.4.aE"	"Q4"
1	11	0.114809725916	"27.4.aE"	"Q4"
2	11	0.131598106815	"27.4.aE"	"Q4"
3	11	0.144832700617	"27.4.aE"	"Q4"
4	11	0.155943528933	"27.4.aE"	"Q4"
5	11	0.165616651899	"27.4.aE"	"Q4"
6	11	0.174240570033	"27.4.aE"	"Q4"
7	11	0.182059111028	"27.4.aE"	"Q4"
8	11	0.189236505016	"27.4.aE"	"Q4"
9	11	0.195889241491	"27.4.aE"	"Q4"
10	11	0.202103284513	"27.4.aE"	"Q4"
11	11	0.207944090315	"27.4.aE"	"Q4"
12	11	0.213462782872	"27.4.aE"	"Q4"
