"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
5	9	29.088520928839	"27.4.aE"	"Q4"
6	9	29.604121179355	"27.4.aE"	"Q4"
7	9	30.057336710624	"27.4.aE"	"Q4"
8	9	30.462313624561	"27.4.aE"	"Q4"
9	9	30.828812515997	"27.4.aE"	"Q4"
10	9	31.163862849276	"27.4.aE"	"Q4"
11	9	31.472701599093	"27.4.aE"	"Q4"
12	9	31.759339033436	"27.4.aE"	"Q4"
13	9	0	"27.4.aE"	"Q4"
14	9	0	"27.4.aE"	"Q4"
15	9	32.514455119117	"27.4.aE"	"Q4"
1	10	24.393480854563	"27.4.aE"	"Q4"
2	10	25.664578643744	"27.4.aE"	"Q4"
3	10	26.596456429905	"27.4.aE"	"Q4"
4	10	27.338300416792	"27.4.aE"	"Q4"
5	10	27.95757136085	"27.4.aE"	"Q4"
6	10	28.490796342126	"27.4.aE"	"Q4"
7	10	28.960082429545	"27.4.aE"	"Q4"
8	10	29.379870705524	"27.4.aE"	"Q4"
9	10	29.760136282151	"27.4.aE"	"Q4"
10	10	30.108070103772	"27.4.aE"	"Q4"
11	10	30.42903411231	"27.4.aE"	"Q4"
12	10	0	"27.4.aE"	"Q4"
13	10	0	"27.4.aE"	"Q4"
14	10	0	"27.4.aE"	"Q4"
15	10	31.513425346501	"27.4.aE"	"Q4"
1	11	24.121239558224	"27.4.aE"	"Q4"
2	11	25.322364271465	"27.4.aE"	"Q4"
3	11	26.201299166402	"27.4.aE"	"Q4"
4	11	26.90004105218	"27.4.aE"	"Q4"
5	11	27.482701796312	"27.4.aE"	"Q4"
6	11	27.983955164337	"27.4.aE"	"Q4"
7	11	28.424766953856	"27.4.aE"	"Q4"
8	11	28.818821948724	"27.4.aE"	"Q4"
9	11	29.175566410032	"27.4.aE"	"Q4"
10	11	29.501805945397	"27.4.aE"	"Q4"
11	11	29.80261243846	"27.4.aE"	"Q4"
12	11	30.081870904274	"27.4.aE"	"Q4"
13	11	0	"27.4.aE"	"Q4"
14	11	0	"27.4.aE"	"Q4"
15	11	30.817892795322	"27.4.aE"	"Q4"
1	12	24.171995454519	"27.4.aE"	"Q4"
2	12	25.408627720396	"27.4.aE"	"Q4"
3	12	26.314544022648	"27.4.aE"	"Q4"
4	12	27.035316949673	"27.4.aE"	"Q4"
5	12	27.636732063838	"27.4.aE"	"Q4"
6	12	28.154392560004	"27.4.aE"	"Q4"
7	12	28.609838099828	"27.4.aE"	"Q4"
8	12	29.017134575973	"27.4.aE"	"Q4"
9	12	29.385995226306	"27.4.aE"	"Q4"
10	12	29.723420487592	"27.4.aE"	"Q4"
11	12	30.034629097952	"27.4.aE"	"Q4"
12	12	0	"27.4.aE"	"Q4"
13	12	0	"27.4.aE"	"Q4"
