	3	4	5	6	7	8	9	10	11	12	13	14	15
3	0.988	0.017	0.005	0.002	0.001	0	0	0	0	0	0	0	0
4	0.009	0.967	0.019	0.007	0.003	0.001	0	0	0	0	0	0	0
5	0.002	0.012	0.953	0.025	0.009	0.004	0.001	0	0	0	0	0	0
6	0.001	0.003	0.017	0.932	0.033	0.013	0.005	0.002	0.001	0	0	0	0
7	0	0.001	0.005	0.024	0.908	0.045	0.017	0.006	0.002	0.001	0	0	0
8	0	0	0.001	0.007	0.033	0.874	0.061	0.023	0.008	0.003	0.001	0	0
9	0	0	0	0.002	0.009	0.045	0.832	0.08	0.029	0.01	0.004	0.001	0
10	0	0	0	0.001	0.003	0.013	0.061	0.777	0.104	0.037	0.013	0.004	0.001
11	0	0	0	0	0.001	0.004	0.017	0.08	0.712	0.131	0.045	0.015	0.005
12	0	0	0	0	0	0.001	0.005	0.023	0.104	0.636	0.161	0.054	0.017
13	0	0	0	0	0	0	0.001	0.006	0.029	0.131	0.552	0.192	0.062
14	0	0	0	0	0	0	0	0.002	0.008	0.037	0.161	0.467	0.223
15	0	0	0	0	0	0	0	0.001	0.003	0.014	0.063	0.267	0.692
