	3	4	5	6	7	8	9	10	11	12	13	14	15
3	0.978	0.03	0.011	0.005	0.002	0.001	0	0	0	0	0	0	0
4	0.014	0.941	0.031	0.014	0.006	0.003	0.001	0.001	0	0	0	0	0
5	0.005	0.019	0.918	0.039	0.018	0.009	0.004	0.002	0.001	0	0	0	0
6	0.002	0.007	0.027	0.884	0.052	0.024	0.011	0.005	0.002	0.001	0	0	0
7	0.001	0.002	0.009	0.037	0.844	0.069	0.032	0.014	0.006	0.003	0.001	0	0
8	0	0.001	0.003	0.013	0.051	0.789	0.09	0.041	0.018	0.008	0.003	0.001	0
9	0	0	0.001	0.005	0.018	0.068	0.723	0.115	0.05	0.021	0.009	0.004	0.001
10	0	0	0	0.002	0.006	0.024	0.09	0.644	0.143	0.061	0.025	0.01	0.004
11	0	0	0	0.001	0.002	0.009	0.032	0.115	0.559	0.172	0.071	0.028	0.011
12	0	0	0	0	0.001	0.003	0.011	0.041	0.143	0.468	0.201	0.081	0.031
13	0	0	0	0	0	0.001	0.004	0.014	0.05	0.172	0.38	0.227	0.088
14	0	0	0	0	0	0	0.001	0.005	0.018	0.061	0.201	0.299	0.249
15	0	0	0	0	0	0	0.001	0.003	0.01	0.033	0.109	0.35	0.616
