"CruiseKey"	"StationKey"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"Stratum"	"Period"	"Quarter"
"NA/19/2020/9000/30"	"68"	"NA/19/2020/9000/30-68"	"1322"	2020-10-29T16:28:00Z	60.117	-0.450001	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"69"	"NA/19/2020/9000/30-69"	"4144"	2020-10-14T15:03:00Z	59.4	0.100001	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"80"	"NA/19/2020/9000/30-80"	"4602"	2020-09-30T13:58:00Z	58.5	-0.550001	NA	"27.4.aW"	"[01-04, 01-10>"	"Q3"
"NA/19/2020/9000/30"	"81"	"NA/19/2020/9000/30-81"	"2073"	2020-10-20T13:56:00Z	58.9501	0.3	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"82"	"NA/19/2020/9000/30-82"	"3672"	2020-10-21T07:23:00Z	59.05	0.333001	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"83"	"NA/19/2020/9000/30-83"	"4606"	2020-10-10T07:01:00Z	59.2001	-0.467001	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"84"	"NA/19/2020/9000/30-84"	"4602"	2020-10-09T12:01:00Z	59.1671	-0.25	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"85"	"NA/19/2020/9000/30-85"	"2588"	2020-11-02T23:03:00Z	60.117	-0.183	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"86"	"NA/19/2020/9000/30-86"	"2490"	2020-10-04T13:51:00Z	58.333	0.717	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"87"	"NA/19/2020/9000/30-87"	"4425"	2020-10-04T03:22:00Z	62.333	5.417	NA	"27.2.a"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"88"	"NA/19/2020/9000/30-88"	"3319"	2020-10-02T11:38:00Z	58.3831	-0.533001	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"89"	"NA/19/2020/9000/30-89"	"3319"	2020-10-02T16:33:00Z	58.467	-0.400001	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"90"	"NA/19/2020/9000/30-90"	"3050"	2020-10-12T17:06:00Z	59.217	-0.100001	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
"NA/19/2020/9000/30"	"91"	"NA/19/2020/9000/30-91"	"3050"	2020-10-18T19:35:00Z	58.733	0.333001	NA	"27.4.aW"	"[01-10, 31-12>"	"Q4"
