"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	4099.092	1423.741	2062.822	6685.578
"Age 2"	2	12954.786	2703.861	8954.559	17811.853
"Age 3"	3	44302.443	5626.168	35522.947	54034.879
"Age 4"	4	65002.259	7123.348	54051.919	77119.478
"Age 5"	5	10874.741	3079.808	6174.522	16386.404
"Age 6"	6	64350.231	7420.621	52595.089	77272.249
"Age 7"	7	25813.546	5252.093	17811.254	34847.756
"Age 8"	8	47082.498	7397.906	35663.307	59953.447
"Age 9"	9	98402.773	11255.434	80532.682	118039.678
"Age 10"	10	57459.06	9177.644	42661.235	72956.956
"Age 11"	11	289.009	1063.736	0	2070.816
"Age 12+"	12	44369.388	6183.811	34655.722	54925.988
