"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
14	34	32.660425467213	"27.4.aE"	"Q4"
15	34	32.918955649593	"27.4.aE"	"Q4"
1	35	24.358040610688	"27.4.aE"	"Q4"
2	35	25.590954722532	"27.4.aE"	"Q4"
3	35	26.493750816959	"27.4.aE"	"Q4"
4	35	27.211810586947	"27.4.aE"	"Q4"
5	35	27.810809775333	"27.4.aE"	"Q4"
6	35	28.326282506103	"27.4.aE"	"Q4"
7	35	28.779721933812	"27.4.aE"	"Q4"
8	35	29.185160983882	"27.4.aE"	"Q4"
9	35	29.552288576606	"27.4.aE"	"Q4"
10	35	29.888086636121	"27.4.aE"	"Q4"
11	35	30.197759441257	"27.4.aE"	"Q4"
12	35	30.485294110869	"27.4.aE"	"Q4"
13	35	30.753815437984	"27.4.aE"	"Q4"
14	35	31.005819667718	"27.4.aE"	"Q4"
15	35	31.24333374616	"27.4.aE"	"Q4"
1	36	24.544129837414	"27.4.aE"	"Q4"
2	36	25.786293951448	"27.4.aE"	"Q4"
3	36	26.69585825511	"27.4.aE"	"Q4"
4	36	27.419298329803	"27.4.aE"	"Q4"
5	36	28.022783778201	"27.4.aE"	"Q4"
