"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
2	9	24.721290460358	"27.4.aE"	"Q4"
3	9	25.574536476787	"27.4.aE"	"Q4"
4	9	26.252742843376	"27.4.aE"	"Q4"
5	9	26.81820501712	"27.4.aE"	"Q4"
6	9	27.304609642838	"27.4.aE"	"Q4"
7	9	27.732323322803	"27.4.aE"	"Q4"
8	9	28.114638456083	"27.4.aE"	"Q4"
9	9	28.460729686773	"27.4.aE"	"Q4"
10	9	28.777206449242	"27.4.aE"	"Q4"
11	9	29.068994105105	"27.4.aE"	"Q4"
12	9	29.339865210371	"27.4.aE"	"Q4"
13	9	29.592775771831	"27.4.aE"	"Q4"
14	9	29.830086737186	"27.4.aE"	"Q4"
15	9	30.053714843465	"27.4.aE"	"Q4"
1	10	24.911301953485	"27.4.aE"	"Q4"
2	10	26.166642764698	"27.4.aE"	"Q4"
3	10	27.085694404701	"27.4.aE"	"Q4"
4	10	27.816586651005	"27.4.aE"	"Q4"
5	10	28.426226796702	"27.4.aE"	"Q4"
6	10	28.95081125539	"27.4.aE"	"Q4"
7	10	29.412231792541	"27.4.aE"	"Q4"
8	10	29.824780497353	"27.4.aE"	"Q4"
9	10	30.198324576252	"27.4.aE"	"Q4"
10	10	30.539974013864	"27.4.aE"	"Q4"
11	10	30.855028268131	"27.4.aE"	"Q4"
12	10	31.14754718518	"27.4.aE"	"Q4"
13	10	31.420712418745	"27.4.aE"	"Q4"
14	10	31.67706553623	"27.4.aE"	"Q4"
15	10	31.918670209363	"27.4.aE"	"Q4"
1	11	24.035457750995	"27.4.aE"	"Q4"
2	11	25.24423459465	"27.4.aE"	"Q4"
3	11	26.129123878428	"27.4.aE"	"Q4"
4	11	26.832805866875	"27.4.aE"	"Q4"
5	11	27.419722117815	"27.4.aE"	"Q4"
6	11	27.924733339717	"27.4.aE"	"Q4"
7	11	28.368922596092	"27.4.aE"	"Q4"
8	11	28.766053539457	"27.4.aE"	"Q4"
9	11	29.125628262395	"27.4.aE"	"Q4"
10	11	29.454493480535	"27.4.aE"	"Q4"
11	11	29.757752303062	"27.4.aE"	"Q4"
12	11	30.039314072574	"27.4.aE"	"Q4"
13	11	30.302242435317	"27.4.aE"	"Q4"
14	11	30.548984648128	"27.4.aE"	"Q4"
15	11	30.781527772544	"27.4.aE"	"Q4"
1	12	24.203763495162	"27.4.aE"	"Q4"
2	12	25.44589547485	"27.4.aE"	"Q4"
3	12	26.355958328607	"27.4.aE"	"Q4"
4	12	27.080098848274	"27.4.aE"	"Q4"
5	12	27.684369057595	"27.4.aE"	"Q4"
6	12	28.204519215036	"27.4.aE"	"Q4"
7	12	28.662179353146	"27.4.aE"	"Q4"
8	12	29.071475148596	"27.4.aE"	"Q4"
9	12	29.442161583353	"27.4.aE"	"Q4"
10	12	29.781269472175	"27.4.aE"	"Q4"
11	12	30.094040394853	"27.4.aE"	"Q4"
12	12	30.384490642803	"27.4.aE"	"Q4"
13	12	30.655768298724	"27.4.aE"	"Q4"
14	12	30.910388526498	"27.4.aE"	"Q4"
15	12	0	"27.4.aE"	"Q4"
1	13	24.944323717634	"27.4.aE"	"Q4"
2	13	26.220752703354	"27.4.aE"	"Q4"
3	13	27.155831396717	"27.4.aE"	"Q4"
4	13	27.899811771947	"27.4.aE"	"Q4"
5	13	28.520594559038	"27.4.aE"	"Q4"
6	13	29.054927892309	"27.4.aE"	"Q4"
7	13	29.525044215546	"27.4.aE"	"Q4"
8	13	29.945461880414	"27.4.aE"	"Q4"
9	13	30.326206605207	"27.4.aE"	"Q4"
10	13	30.67450405618	"27.4.aE"	"Q4"
