"Iteration"	"tau_Intercept"
1	1020.53956288588
2	942.392838201461
3	964.020320149472
4	999.827684858654
5	976.330679875226
6	961.913943465118
7	924.821978096811
8	983.191451328223
9	912.485664977505
10	924.199646939985
11	902.921335319625
12	900.244111260369
13	994.216171011956
14	951.56749426522
15	911.339162203395
16	1012.81642739875
17	943.997607619489
18	858.262734780357
19	961.937248096416
20	942.853963312885
21	948.496157535275
22	1013.47904633654
23	913.862660082406
24	920.016196171415
25	1065.20813724345
26	944.071852662726
27	944.605195954482
28	894.782183065622
29	964.461227271853
30	1015.21145992639
31	945.080166832313
32	892.591228222976
33	906.383312649429
34	902.351147288178
35	980.936243191246
36	955.874774727466
37	930.851561857684
38	960.936072130303
39	948.032080976269
40	933.550176562921
41	909.403709896117
42	914.867430120331
43	903.618940422288
44	969.393459843903
45	977.995231048845
46	913.762669098441
47	910.98537594226
48	937.72605076569
49	939.176628537615
50	1006.81690771562
51	948.686976327514
52	982.776661038236
53	1010.66451016378
54	950.057046119874
55	929.066875213815
56	916.732336778249
57	984.023374426417
58	904.891501112045
59	933.29211546031
60	950.028987447334
61	957.602162047585
62	949.08095700104
63	1033.59582716335
64	995.495020584713
65	937.677996670211
66	944.653070386088
67	927.720297832632
68	948.900149061651
69	995.406829837364
70	982.777546866177
71	981.773165184838
72	901.869380391956
73	908.445910651045
74	946.885625812339
75	944.242878356862
76	934.327850153132
77	922.202578009936
78	979.199044430836
79	918.252694067544
80	961.063127373513
81	898.640444339794
82	915.654841201494
83	990.536638883236
84	944.550922236459
85	952.371074727774
86	971.238116066283
87	889.651950348924
88	956.160103741182
89	980.136208118244
90	971.192649190073
91	913.935091107837
92	972.516967467342
93	920.781902897486
94	946.932840032856
95	951.322774990684
96	1012.45180724883
97	1017.81392842006
98	935.456519116762
99	882.059072468707
100	1003.56622017927
101	950.271947900935
102	1013.18868626978
103	912.840662609575
104	941.841865134971
105	938.895961395595
106	998.1597498913
107	959.557781785634
108	963.919420649913
109	883.108582538448
110	938.717481697002
111	897.926147868926
112	962.47150681088
113	958.519086485441
114	934.913562849325
115	943.850393167708
116	976.904336691122
117	927.410006568026
118	991.0579235431
119	976.571608358851
120	943.822204767886
121	967.652608010816
122	957.945720272334
123	889.502756103213
124	983.187005565594
125	909.169262041973
126	939.959523208214
127	878.031722719565
128	942.48334653133
129	906.200807981647
130	924.174047631251
131	954.599057420991
132	954.801732232524
133	976.521156155689
134	1010.49136085743
135	958.440236225785
136	958.172912464951
137	891.438817438749
138	926.709299520568
139	1002.62729628028
140	913.826023088555
141	976.95707007986
142	960.115838397627
143	898.24186942981
144	978.984856616484
145	931.003161493295
146	955.423809418387
147	934.752844557647
148	993.041636802173
149	898.705363258622
150	972.326418721091
151	985.314907752701
152	915.896912678491
153	992.374850059776
154	933.894095874492
155	917.745487901571
156	931.923087325933
157	908.095847707393
158	931.895436935135
159	972.094722197979
160	937.687319079049
161	952.101003501736
162	1001.02521581706
163	939.658433408251
164	990.129169775778
165	1003.1166602555
166	937.946131508791
167	979.295676623146
168	900.767240091192
169	916.912611580249
170	956.460955716921
171	944.9864748547
172	942.772468361212
173	1022.8651686779
174	944.104942615865
175	995.446653050828
176	997.526387714867
177	964.770577145067
178	922.628554519684
179	999.885747225802
180	1053.49680117178
181	954.206309665418
182	920.554323887806
183	916.621424912881
184	932.142777144645
185	970.529905906717
186	914.876233663784
187	938.720092368292
188	916.351986833151
189	987.034878489878
190	945.057071615998
191	963.178926004886
192	978.637457157212
193	971.18784025448
194	974.490064078345
195	972.935453683806
196	1017.24783130957
197	911.88425740453
198	952.894368420315
199	935.26396452845
200	932.555839363958
201	912.314042199038
202	955.569543549328
203	946.074517035382
204	877.160392825754
205	923.488053407188
206	986.843273378465
207	993.618686804725
208	1002.65321954296
209	920.258862690693
210	907.09244330996
211	912.446616020681
212	901.047877164482
213	910.06218529572
214	918.34436861356
215	948.601114974741
216	960.770185145384
217	933.303844431785
218	950.672754937341
219	884.028513182197
220	1043.89276804454
221	940.190919164506
222	841.512645753605
223	1012.83526791377
224	954.661416392238
225	951.486450059972
226	991.593361074801
227	922.361170985056
228	1050.85256620296
229	934.995864476426
230	955.598390526934
231	978.029137802814
232	976.429877706667
233	954.571884681886
234	929.093531627906
235	968.735331887259
236	943.332872197713
237	998.540757383518
238	935.401693105192
239	950.867647836638
240	1027.22845800427
241	934.547265127826
242	931.283620038334
243	927.915418988646
244	916.032365924274
245	1008.96116952216
246	1043.49594258249
247	951.704128849492
248	938.424477981862
249	966.090884156131
250	955.797022069849
251	943.101733876568
252	968.727209755407
253	975.682245459596
254	963.5066906931
255	985.03152112959
256	873.049103436583
257	954.578129435935
258	940.130720103335
259	925.92850723478
260	973.726457805512
261	969.359488204604
262	917.72054747956
263	933.317806280726
264	879.633385139294
265	945.688528646649
266	918.888099102528
267	944.795664576788
268	963.982369596153
269	920.234915817851
270	1019.81223443976
271	990.365417148637
272	955.240175767894
273	966.927233989875
274	1028.65647473041
275	967.171704660941
276	940.998629424362
277	976.550717195184
278	963.62721720947
279	1030.1783153892
280	1012.23520106027
281	931.432543025501
282	1030.89415458918
283	943.098548552272
284	980.185723966252
285	921.9899556416
286	956.133132276371
287	949.025658754342
288	955.94170719013
289	949.33635506901
290	944.730240922393
291	996.115759311907
292	994.662981658863
293	897.272059870074
294	954.88347139664
295	980.02975213436
296	919.396473233353
297	973.650557882384
298	962.408949215195
299	980.582702162874
300	948.273271858219
301	958.875384431823
302	962.165512976428
303	907.10836997275
304	959.860385287254
305	977.611123474847
306	873.213095612315
307	937.123450012205
308	978.916929768626
309	950.414519710961
310	983.848948926716
311	938.441710870315
312	944.785186044927
313	875.428732483904
314	919.989971747465
315	1004.82893095059
316	1009.79355087914
317	965.753931772908
318	916.574063088551
319	878.009034946429
320	934.063101320181
321	969.962362741547
322	920.602947907628
323	978.833064791525
324	1020.17039054968
325	852.245386343074
326	906.459585308117
327	926.312935185983
328	952.584354803124
329	933.887309552212
330	915.549557461805
331	993.032024384346
332	963.657189844042
333	942.088703506394
334	909.077285555963
335	965.107637707701
336	961.75495884646
337	980.36764618616
338	911.330362820581
339	904.219132749962
340	981.140596084394
341	985.106901061781
342	995.613925010758
343	888.996732130137
344	966.237043597538
345	946.582601955373
346	923.202401890476
347	935.995263670476
348	979.476952720716
349	932.490115448934
350	952.768130457469
351	903.356096393521
352	923.105915208214
353	949.527766793696
354	890.317586186975
355	955.21681918163
356	921.334635039577
357	896.548458716337
358	919.060676247894
359	1036.5777058075
360	1023.69699172533
361	950.701858542679
362	938.734789830022
363	892.309362163302
364	994.317098407064
365	948.762101261626
366	864.560968874173
367	960.065516569409
368	986.106454265469
369	923.323867974418
370	957.70873572064
371	964.001795179739
372	990.124256434874
373	962.882742087122
374	939.432193158926
375	953.769429012217
376	948.274524601417
377	929.843384188585
378	968.389284791832
379	858.397675676018
380	972.57065516119
381	905.55402265436
382	889.88530322281
383	888.304929525129
384	970.530265089939
385	965.999483626029
386	992.952896935599
387	1037.36654689694
388	865.29081877216
389	970.991440507228
390	921.994999475089
391	1020.0451517654
392	1004.21689507943
393	868.343313879176
394	916.84693622388
395	942.378920350967
396	924.229035329457
397	933.963523556592
398	889.551931112565
399	937.495913073682
400	1009.99266719561
401	927.167834878935
402	936.54966730038
403	915.822415982607
404	965.099074453511
405	967.554279276581
406	920.802343142311
407	953.100345977787
408	963.4124569719
409	839.602753028815
410	973.288493557913
411	943.128287226345
412	986.239483672844
413	946.950111226892
414	990.126816992956
415	975.046309837456
416	926.351240250899
417	1041.62267891281
418	934.641396569764
419	964.226501118979
420	893.355675450338
421	1011.81064080549
422	912.271329489646
423	924.795025952836
424	924.851213193642
425	945.582509761158
426	899.108714539169
427	915.463842375065
428	973.266521619062
429	977.418703504962
430	927.590072622984
431	936.585372048738
432	863.658706732283
433	958.448369537676
434	981.114234000673
435	858.46971637466
436	952.597119189024
