"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"SalgslagID"	"Salgslag"	"Salgslag_kode"
"1582577"	4	"2013"	"R 0007K"	2022	"18.05.2022"	"53"	NA	"08"	"09"	60.4	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587268"	9	"2013"	"R 0001K"	2022	"21.09.2022"	"53"	NA	"08"	"13"	65	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582752"	2	"2013"	"N 0001B"	2022	"25.05.2022"	"53"	NA	"08"	"52"	64	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589798"	3	"2013"	"S144"	2022	"13.11.2022"	"53"	NA	"41"	"30"	NA	"DNK"	0	951206091	"Norges Sildesalgslag"	"8"
"1582623"	3	"2013"	"H 0175B"	2022	"20.05.2022"	"53"	NA	"08"	"09"	61.54	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582635"	3	"2013"	"TF0195M"	2022	"21.05.2022"	"53"	NA	"08"	"09"	62.6	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1585855"	5	"2013"	"R 0022B"	2022	"31.08.2022"	"53"	NA	"08"	"13"	42.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589801"	5	"2013"	"R 0022B"	2022	"12.11.2022"	"53"	NA	"08"	"13"	42.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583931"	2	"2013"	"SF0046V"	2022	"15.07.2022"	"53"	NA	"08"	"06"	69.65	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"4007427"	1	"2013"	"TK0025P"	2022	"16.06.2022"	"34"	NA	"09"	"16"	10.66	"NOR"	8	946768871	"Fiskehav SA"	"2"
"243869"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"74"	66.28	"NOR"	0	916437110	"Sunnmøre og Romsdal Fiskesalslag"	"6"
"243868"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"60"	66.28	"NOR"	0	916437110	"Sunnmøre og Romsdal Fiskesalslag"	"6"
"10894"	19	"2013"	"M 0069G"	2022	"10.09.2022"	"51"	NA	"28"	"53"	66.28	"NOR"	0	916437110	"Sunnmøre og Romsdal Fiskesalslag"	"6"
"244483"	1	"2013"	"M 0069G"	2022	"10.09.2022"	"51"	NA	"28"	"53"	66.28	"NOR"	0	916437110	"Sunnmøre og Romsdal Fiskesalslag"	"6"
"10803"	7	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"60"	66.28	"NOR"	0	916437110	"Sunnmøre og Romsdal Fiskesalslag"	"6"
"10804"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"74"	66.28	"NOR"	0	916437110	"Sunnmøre og Romsdal Fiskesalslag"	"6"
"1587355"	1	"2013"	"HM424"	2022	"22.09.2022"	"34"	NA	"42"	"52"	NA	"DNK"	0	951206091	"Norges Sildesalgslag"	"8"
"1587638"	1	"2013"	"HM424"	2022	"26.09.2022"	"34"	NA	"42"	"52"	NA	"DNK"	0	951206091	"Norges Sildesalgslag"	"8"
"1588427"	2	"2013"	"SF0002S"	2022	"14.10.2022"	"11"	NA	"28"	"51"	46	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589236"	1	"2013"	"VL0023ØN"	2022	"29.10.2022"	"11"	NA	"28"	"41"	14.92	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1589237"	1	"2013"	"H 0038S"	2022	"29.10.2022"	"11"	NA	"28"	"41"	7	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1586447"	2	"2013"	"N 0053BØ"	2022	"08.09.2022"	"11"	NA	"28"	"52"	37.52	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586312"	1	"2013"	"VL0005ØN"	2022	"30.08.2022"	"11"	NA	"28"	"40"	12.97	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1586072"	1	"2013"	"H 0011F"	2022	"26.08.2022"	"11"	NA	"28"	"01"	10.66	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1586024"	1	"2013"	"VL0028AV"	2022	"02.09.2022"	"11"	NA	"28"	"41"	14.88	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1586448"	2	"2013"	"T 0111T"	2022	"08.09.2022"	"11"	NA	"28"	"52"	37.9	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586557"	2	"2013"	"R 0020V"	2022	"09.09.2022"	"11"	NA	"28"	"52"	49.9	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586515"	3	"2013"	"T 0042T"	2022	"08.09.2022"	"11"	NA	"28"	"52"	55	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1585981"	1	"2013"	"SF0003A"	2022	"02.09.2022"	"11"	NA	"07"	"33"	26.13	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1587040"	1	"2013"	"M 0050MD"	2022	"15.09.2022"	"11"	NA	"42"	"44"	56.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582703"	3	"2013"	"M 0029HØ"	2022	"23.05.2022"	"11"	NA	"08"	"09"	77.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587993"	1	"2013"	"VL0225AV"	2022	"29.09.2022"	"11"	NA	"28"	"51"	54.27	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588033"	1	"2013"	"M 0150HØ"	2022	"30.09.2022"	"11"	NA	"28"	"51"	80.4	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582490"	5	"2013"	"R 0011K"	2022	"05.05.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582572"	5	"2013"	"H 0005ØN"	2022	"17.05.2022"	"51"	NA	"41"	"64"	62.6	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589548"	1	"2013"	"TR0400V"	2022	"07.11.2022"	"53"	NA	"28"	"51"	45	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1590532"	3	"2013"	"S144"	2022	"28.11.2022"	"53"	NA	"41"	"29"	NA	"DNK"	0	951206091	"Norges Sildesalgslag"	"8"
"1588348"	3	"2013"	"T 0042T"	2022	"12.10.2022"	"53"	NA	"08"	"55"	55	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1590630"	1	"2013"	"VL0264AV"	2022	"02.12.2022"	"53"	NA	"07"	"15"	87.8	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589449"	1	"2013"	"N 0024ME"	2022	"05.11.2022"	"53"	NA	"28"	"51"	67.4	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586319"	2	"2013"	"M 0040HØ"	2022	"06.09.2022"	"53"	NA	"28"	"52"	70.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587098"	1	"2013"	"M 0022HØ"	2022	"18.09.2022"	"53"	NA	"08"	"55"	77.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588801"	1	"2013"	"NT0500V"	2022	"22.10.2022"	"53"	NA	"08"	"55"	68.25	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583373"	2	"2013"	"H 0002F"	2022	"23.06.2022"	"53"	NA	"08"	"06"	64	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586695"	1	"2013"	"N 0024ME"	2022	"11.09.2022"	"53"	NA	"28"	"51"	67.4	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589869"	2	"2013"	"M 0023HØ"	2022	"13.11.2022"	"53"	NA	"42"	"06"	69.95	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587707"	2	"2013"	"T 0042T"	2022	"28.09.2022"	"53"	NA	"28"	"51"	55	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582844"	2	"2013"	"M 0070HØ"	2022	"31.05.2022"	"53"	NA	"08"	"07"	69.9	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589442"	1	"2013"	"NT0500V"	2022	"05.11.2022"	"53"	NA	"28"	"51"	68.25	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586453"	2	"2013"	"M 0023HØ"	2022	"08.09.2022"	"53"	NA	"28"	"51"	69.95	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587524"	1	"2013"	"VA0010S"	2022	"24.09.2022"	"54"	NA	"42"	"44"	14.98	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587523"	1	"2013"	"VA0021M"	2022	"24.09.2022"	"54"	NA	"42"	"44"	14.98	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588768"	1	"2013"	"N 0024ME"	2022	"22.10.2022"	"53"	NA	"07"	"14"	67.4	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586638"	1	"2013"	"VL0001ØN"	2022	"10.09.2022"	"53"	NA	"08"	"55"	86.1	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586434"	2	"2013"	"M 0030M"	2022	"08.09.2022"	"53"	NA	"28"	"52"	65	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588353"	1	"2013"	"VL0264AV"	2022	"12.10.2022"	"53"	NA	"28"	"52"	87.8	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587064"	1	"2013"	"M 0040HØ"	2022	"15.09.2022"	"53"	NA	"08"	"55"	70.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588490"	8	"2013"	"VA0330S"	2022	"16.10.2022"	"51"	NA	"08"	"13"	40.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586468"	7	"2013"	"H 0221B"	2022	"08.09.2022"	"51"	NA	"08"	"14"	49.96	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588675"	2	"2013"	"H 0017BN"	2022	"19.10.2022"	"51"	NA	"08"	"14"	42.9	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1586981"	8	"2013"	"H 0221B"	2022	"14.09.2022"	"51"	NA	"08"	"07"	49.96	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587617"	10	"2013"	"VA0330S"	2022	"25.09.2022"	"51"	NA	"08"	"13"	40.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588811"	2	"2013"	"VA0095K"	2022	"23.10.2022"	"51"	NA	"08"	"13"	38.7	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583626"	6	"2013"	"R 0022B"	2022	"02.07.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1585773"	1	"2013"	"VL0016AV"	2022	"29.08.2022"	"11"	NA	"28"	"41"	10.99	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1582842"	2	"2013"	"M 0001HØ"	2022	"31.05.2022"	"11"	NA	"08"	"07"	75.4	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582695"	2	"2013"	"TR0346ND"	2022	"23.05.2022"	"11"	NA	"08"	"09"	43.8	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582739"	2	"2013"	"M 0070HØ"	2022	"25.05.2022"	"11"	NA	"08"	"06"	69.9	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582565"	2	"2013"	"H 0140B"	2022	"16.05.2022"	"11"	NA	"08"	"52"	60.9	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582632"	3	"2013"	"H 0001BN"	2022	"21.05.2022"	"11"	NA	"08"	"10"	75.4	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582845"	2	"2013"	"M 0345A"	2022	"31.05.2022"	"11"	NA	"08"	"08"	27.99	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1586473"	6	"2013"	"R 0022B"	2022	"08.09.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582465"	6	"2013"	"H 0175B"	2022	"01.05.2022"	"51"	NA	"41"	"75"	61.54	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1587053"	6	"2013"	"R 0022B"	2022	"15.09.2022"	"51"	NA	"08"	"07"	42.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588074"	13	"2013"	"VA0330S"	2022	"03.10.2022"	"51"	NA	"08"	"13"	40.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588311"	9	"2013"	"VA0095K"	2022	"09.10.2022"	"51"	NA	"08"	"14"	38.7	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588249"	5	"2013"	"R 0001K"	2022	"05.10.2022"	"51"	NA	"08"	"14"	65	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1585024"	12	"2013"	"VA0095K"	2022	"21.08.2022"	"51"	NA	"08"	"07"	38.7	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1584991"	7	"2013"	"VA0330S"	2022	"21.08.2022"	"51"	NA	"08"	"10"	40.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583356"	5	"2013"	"VL0001ØN"	2022	"23.06.2022"	"51"	NA	"41"	"76"	86.1	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583361"	4	"2013"	"H 0005ØN"	2022	"23.06.2022"	"51"	NA	"41"	"75"	62.6	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583357"	3	"2013"	"H 0030B"	2022	"23.06.2022"	"51"	NA	"41"	"76"	61.86	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582918"	6	"2013"	"VA0095K"	2022	"05.06.2022"	"51"	NA	"08"	"10"	38.7	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582552"	3	"2013"	"VA0330S"	2022	"15.05.2022"	"51"	NA	"41"	"65"	40.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583286"	8	"2013"	"H 0221B"	2022	"20.06.2022"	"51"	NA	"08"	"07"	49.96	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583301"	4	"2013"	"M 0023HØ"	2022	"21.06.2022"	"51"	NA	"41"	"76"	69.95	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582738"	3	"2013"	"M 0158SM"	2022	"25.05.2022"	"51"	NA	"41"	"93"	53.9	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582682"	3	"2013"	"H 0221B"	2022	"22.05.2022"	"51"	NA	"41"	"65"	49.96	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582712"	7	"2013"	"R 0001K"	2022	"24.05.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582520"	6	"2013"	"VA0330S"	2022	"10.05.2022"	"51"	NA	"41"	"75"	40.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582514"	6	"2013"	"H 0020B"	2022	"09.05.2022"	"51"	NA	"41"	"75"	63.97	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582538"	4	"2013"	"H 0001AV"	2022	"13.05.2022"	"51"	NA	"41"	"74"	67	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582903"	4	"2013"	"H 0002F"	2022	"04.06.2022"	"51"	NA	"41"	"64"	64	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582683"	6	"2013"	"H 0004B"	2022	"22.05.2022"	"51"	NA	"41"	"76"	68.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583025"	7	"2013"	"VA0330S"	2022	"12.06.2022"	"51"	NA	"08"	"07"	40.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582948"	5	"2013"	"M 0023HØ"	2022	"07.06.2022"	"51"	NA	"41"	"64"	69.95	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582544"	6	"2013"	"H 0175B"	2022	"14.05.2022"	"51"	NA	"41"	"74"	61.54	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582605"	6	"2013"	"M 0023HØ"	2022	"19.05.2022"	"51"	NA	"41"	"75"	69.95	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582461"	6	"2013"	"H 0069S"	2022	"30.04.2022"	"51"	NA	"41"	"76"	61.88	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582435"	4	"2013"	"H 0005ØN"	2022	"25.04.2022"	"51"	NA	"41"	"75"	62.6	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582484"	7	"2013"	"H 0221B"	2022	"04.05.2022"	"51"	NA	"41"	"74"	49.96	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582533"	5	"2013"	"M 0158SM"	2022	"12.05.2022"	"51"	NA	"41"	"93"	53.9	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582501"	7	"2013"	"R 0022B"	2022	"06.05.2022"	"51"	NA	"41"	"76"	42.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582474"	6	"2013"	"R 0001K"	2022	"03.05.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582735"	5	"2013"	"M 0031HØ"	2022	"25.05.2022"	"51"	NA	"41"	"76"	62.6	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582487"	2	"2013"	"H 0140AV"	2022	"05.05.2022"	"51"	NA	"41"	"74"	64	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582504"	3	"2013"	"H 0175B"	2022	"07.05.2022"	"51"	NA	"41"	"75"	61.54	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1585430"	2	"2013"	"S205"	2022	"26.08.2022"	"51"	NA	"41"	"24"	NA	"DNK"	0	951206091	"Norges Sildesalgslag"	"8"
"1582460"	7	"2013"	"H 0030B"	2022	"30.04.2022"	"51"	NA	"41"	"76"	61.86	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582518"	3	"2013"	"H 0030B"	2022	"10.05.2022"	"51"	NA	"41"	"75"	61.86	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583134"	6	"2013"	"H 0005ØN"	2022	"16.06.2022"	"51"	NA	"41"	"75"	62.6	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583192"	4	"2013"	"H 0002F"	2022	"17.06.2022"	"51"	NA	"41"	"76"	64	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582922"	4	"2013"	"M 0101SM"	2022	"05.06.2022"	"51"	NA	"41"	"75"	53	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583038"	5	"2013"	"H 0005ØN"	2022	"12.06.2022"	"51"	NA	"41"	"76"	62.6	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588239"	2	"2013"	"H 0140AV"	2022	"05.10.2022"	"53"	NA	"08"	"13"	64	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1584367"	3	"2013"	"GG64"	2022	"12.08.2022"	"53"	NA	"41"	"24"	NA	"SWE"	0	951206091	"Norges Sildesalgslag"	"8"
"1589535"	3	"2013"	"S144"	2022	"06.11.2022"	"53"	NA	"41"	"30"	NA	"DNK"	0	951206091	"Norges Sildesalgslag"	"8"
"1582668"	2	"2013"	"M 0189A"	2022	"21.05.2022"	"53"	NA	"08"	"09"	74.8	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583058"	2	"2013"	"N 0200B"	2022	"13.06.2022"	"53"	NA	"41"	"75"	69.77	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582570"	2	"2013"	"H 0175B"	2022	"17.05.2022"	"53"	NA	"08"	"09"	61.54	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588202"	2	"2013"	"N 0307LN"	2022	"04.10.2022"	"53"	NA	"28"	"09"	74.8	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589450"	7	"2013"	"H 0140AV"	2022	"05.11.2022"	"53"	NA	"08"	"11"	64	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588210"	1	"2013"	"VA0110S"	2022	"05.10.2022"	"53"	NA	"08"	"53"	37.3	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583084"	2	"2013"	"VL0009AV"	2022	"14.06.2022"	"53"	NA	"30"	"09"	74.5	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1582788"	3	"2013"	"H 0221B"	2022	"27.05.2022"	"53"	NA	"08"	"06"	49.96	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1583362"	3	"2013"	"H 0005ØN"	2022	"23.06.2022"	"53"	NA	"41"	"72"	62.6	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1588371"	5	"2013"	"H 0140AV"	2022	"12.10.2022"	"53"	NA	"08"	"11"	64	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1589515"	2	"2013"	"S264"	2022	"05.11.2022"	"53"	NA	"41"	"35"	NA	"DNK"	0	951206091	"Norges Sildesalgslag"	"8"
"1582329"	2	"2013"	"H 0001AV"	2022	"25.03.2022"	"53"	NA	"48"	"30"	67	"NOR"	0	951206091	"Norges Sildesalgslag"	"8"
"1900060"	1	"2013"	"Ø 0005R"	2022	"30.05.2022"	"21"	NA	"09"	"20"	6.94	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
"1900066"	1	"2013"	"Ø 0005R"	2022	"01.06.2022"	"21"	NA	"09"	"20"	6.94	"NOR"	8	951206091	"Norges Sildesalgslag"	"8"
