"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fangstfelt_kode"	"Hovedområde_bokmål"	"Sone_kode"	"Sone_bokmål"	"Områdegruppering_bokmål"	"HovedområdeFAO_kode"	"HovedområdeFAO_bokmål"	"NordSørFor62GraderNord"	"Fangstdagbok_nummer"	"Fangstdagbok_turnummer"
"1568581"	1	"2013"	"VL0264AV"	2020	"09.10.2020"	"11"	NA	"42"	"32"	87.8	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568118"	1	"2013"	"NT0500V"	2020	"04.10.2020"	"11"	NA	"42"	"12"	68.25	"NOR"	0	"04212"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568118"	2	"2013"	"NT0500V"	2020	"04.10.2020"	"11"	NA	"42"	"12"	68.25	"NOR"	0	"04212"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1569197"	1	"2013"	"M 0200A"	2020	"19.10.2020"	"11"	NA	"42"	"22"	67.4	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568478"	2	"2013"	"M 0056MD"	2020	"08.10.2020"	"11"	NA	"42"	"32"	78.39	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568478"	3	"2013"	"M 0056MD"	2020	"08.10.2020"	"11"	NA	"42"	"32"	78.39	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568307"	2	"2013"	"VN0118B"	2020	"06.10.2020"	"11"	NA	"42"	"13"	75	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568527"	1	"2013"	"H 0001BN"	2020	"09.10.2020"	"11"	NA	"42"	"22"	75.4	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1567812"	2	"2013"	"N 0024ME"	2020	"30.09.2020"	"11"	NA	"42"	"32"	67.4	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568007"	1	"2013"	"R 0080ES"	2020	"03.10.2020"	"11"	NA	"42"	"13"	58.92	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1569193"	2	"2013"	"M 0300A"	2020	"19.10.2020"	"11"	NA	"42"	"23"	71.6	"NOR"	0	"04223"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568527"	3	"2013"	"H 0001BN"	2020	"09.10.2020"	"11"	NA	"42"	"22"	75.4	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568527"	2	"2013"	"H 0001BN"	2020	"09.10.2020"	"11"	NA	"42"	"22"	75.4	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568544"	1	"2013"	"H 0021F"	2020	"09.10.2020"	"11"	NA	"42"	"32"	69.3	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568545"	1	"2013"	"H 0021F"	2020	"09.10.2020"	"11"	NA	"42"	"32"	69.3	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568547"	1	"2013"	"N 0307LN"	2020	"09.10.2020"	"11"	NA	"42"	"32"	74.8	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1564126"	3	"2013"	"SF0008A"	2020	"19.05.2020"	"11"	NA	"28"	"51"	44.85	"NOR"	0	"02851"	"Vikingbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568193"	1	"2013"	"M 0095MD"	2020	"05.10.2020"	"11"	NA	"42"	"13"	62.6	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568301"	1	"2013"	"M 0189A"	2020	"06.10.2020"	"11"	NA	"42"	"13"	74.8	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568301"	2	"2013"	"M 0189A"	2020	"06.10.2020"	"11"	NA	"42"	"13"	74.8	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
