"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Produkttilstand_kode"	"Produkttilstand_bokmål"	"Konserveringsmåte_kode"	"Konserveringsmåte_bokmål"	"Landingsmåte_kode"	"Landingsmåte_bokmål"	"Kvalitet_kode"	"Kvalitet_bokmål"	"Størrelsesgruppering_kode"	"Anvendelse_kode"	"Anvendelse_bokmål"	"HovedgruppeAnvendelse_kode"	"HovedgruppeAnvendelse_bokmål"	"AntallStykk"	"Bruttovekt"	"Produktvekt"	"Rundvekt"
"1565884"	3	"2013"	"R 0022B"	2020	"30.07.2020"	"51"	NA	"28"	"10"	42.5	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1669	1669	1669
"1565904"	8	"2013"	"H 0020B"	2020	"31.07.2020"	"51"	NA	"08"	"14"	63.97	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	5200	5200	5200
"1564593"	4	"2013"	"R 0001K"	2020	"10.06.2020"	"51"	NA	"41"	"93"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2018	2018	2018
"1565858"	10	"2013"	"R 0001K"	2020	"28.07.2020"	"51"	NA	"08"	"13"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1449	1449	1449
"1564464"	4	"2013"	"H 0004B"	2020	"06.06.2020"	"51"	NA	"41"	"74"	68.3	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	4480	4480	4480
"1564416"	5	"2013"	"R 0007K"	2020	"03.06.2020"	"51"	NA	"41"	"74"	60.4	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	989	989	989
"1564178"	3	"2013"	"R 0003K"	2020	"23.05.2020"	"51"	NA	"41"	"74"	61.75	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	500	500	500
"1564106"	5	"2013"	"R 0001K"	2020	"17.05.2020"	"51"	NA	"41"	"64"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	558	558	558
"1564292"	3	"2013"	"R 0001K"	2020	"29.05.2020"	"51"	NA	"08"	"06"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	3432	3432	3432
"1564078"	5	"2013"	"H 0030B"	2020	"12.05.2020"	"51"	NA	"41"	"64"	61.86	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	700	700	700
