"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"id"	"Dokumenttype_Kode"	"Dokumenttype_Bokmål"	"DokumentVersjonsnummer"	"DokumentFormulardato"	"DokumentElektroniskDato"
"1566758"	1	"2013"	"H 0016B"	2020	"01.09.2020"	"11"	NA	"08"	"15"	10.6	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"30.09.2020"	"01.10.2020 12:38:02.879"
"1567603"	1	"2013"	"H 0120B"	2020	"24.09.2020"	"11"	NA	"08"	"15"	7.9	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"30.09.2020"	"01.10.2020 12:38:10.585"
"1568169"	1	"2013"	"H 0016B"	2020	"03.10.2020"	"11"	NA	"08"	"15"	10.6	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"09.10.2020"	"13.10.2020 11:50:02.102"
"1567226"	2	"2013"	"H 0050B"	2020	"18.09.2020"	"11"	NA	"08"	"15"	10.29	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"25.09.2020"	"14.10.2020 09:20:02.175"
"1568259"	1	"2013"	"H 0016B"	2020	"05.10.2020"	"11"	NA	"08"	"15"	10.6	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"07.10.2020"	"09.10.2020 14:30:02.196"
"1567226"	1	"2013"	"H 0050B"	2020	"18.09.2020"	"11"	NA	"08"	"15"	10.29	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"25.09.2020"	"14.10.2020 09:20:02.175"
"1568259"	2	"2013"	"H 0016B"	2020	"05.10.2020"	"11"	NA	"08"	"15"	10.6	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"07.10.2020"	"09.10.2020 14:30:02.196"
"1567225"	2	"2013"	"H 0085B"	2020	"18.09.2020"	"11"	NA	"08"	"15"	12	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"25.09.2020"	"30.09.2020 13:20:03.225"
"1567225"	1	"2013"	"H 0085B"	2020	"18.09.2020"	"11"	NA	"08"	"15"	12	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"25.09.2020"	"30.09.2020 13:20:03.225"
"1568881"	2	"2013"	"H 0012B"	2020	"12.10.2020"	"11"	NA	"08"	"15"	7.97	"NOR"	8	NA	0	"Sluttseddeldokument"	4	"16.10.2020"	"22.10.2020 01:46:42.320"
