"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Produkttilstand_kode"	"Produkttilstand_bokmål"	"Konserveringsmåte_kode"	"Konserveringsmåte_bokmål"	"Landingsmåte_kode"	"Landingsmåte_bokmål"	"Kvalitet_kode"	"Kvalitet_bokmål"	"Størrelsesgruppering_kode"	"Anvendelse_kode"	"Anvendelse_bokmål"	"HovedgruppeAnvendelse_kode"	"HovedgruppeAnvendelse_bokmål"	"AntallStykk"	"Bruttovekt"	"Produktvekt"	"Rundvekt"
"1594352"	1	"2013"	"TG752"	2023	"03.08.2023"	"53"	NA	"39"	"03"	NA	"FRO"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	495000	495000	495000
"1594467"	1	"2013"	"TG752"	2023	"11.08.2023"	"53"	NA	"00"	"10"	NA	"FRO"	8	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	640087	640087	640087
"1594351"	1	"2013"	"TG752"	2023	"03.08.2023"	"53"	NA	"31"	"04"	NA	"FRO"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	265974	265974	265974
"1594603"	1	"2013"	"FD125"	2023	"16.08.2023"	"53"	NA	"39"	"02"	NA	"FRO"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1252912	1252912	1252912
"1594898"	1	"2013"	"TG752"	2023	"24.08.2023"	"53"	NA	"30"	"13"	NA	"FRO"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1453491	1453491	1453491
"1594492"	1	"2013"	"FD950"	2023	"13.08.2023"	"53"	NA	"39"	"01"	NA	"FRO"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2280460	2280460	2280460
"1594563"	1	"2013"	"TG965"	2023	"15.08.2023"	"53"	NA	"39"	"09"	NA	"FRO"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1826272	1826272	1826272
"1594575"	4	"2013"	"H 0004B"	2023	"15.08.2023"	"53"	NA	"08"	"54"	68.3	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	3000	3000	3000
"1594272"	9	"2013"	"H 0030B"	2023	"30.07.2023"	"53"	NA	"08"	"13"	61.86	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	973	973	973
"1594536"	2	"2013"	"R 0030K"	2023	"14.08.2023"	"53"	NA	"08"	"54"	67.6	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	5100	5100	5100
"1594576"	6	"2013"	"R 0022B"	2023	"15.08.2023"	"53"	NA	"08"	"14"	42.5	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	30714	30714	30714
"1594328"	7	"2013"	"R 0011K"	2023	"02.08.2023"	"53"	NA	"08"	"13"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	5512	5512	5512
