"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"id"	"Dokumenttype_Kode"	"Dokumenttype_Bokmål"	"DokumentVersjonsnummer"	"DokumentFormulardato"	"DokumentElektroniskDato"
"1578834"	1	"2013"	"R 0080ES"	2021	"19.10.2021"	"11"	NA	"07"	"15"	58.92	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"21.10.2021"	"02.11.2021 11:14:08.030"
"1578190"	4	"2013"	"M 0101SM"	2021	"09.10.2021"	"51"	NA	"08"	"10"	53	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"10.10.2021"	"14.10.2021 07:48:02.574"
"1572994"	12	"2013"	"VA0330S"	2021	"17.05.2021"	"51"	NA	"08"	"13"	40.3	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"18.05.2021"	"28.05.2021 10:24:10.934"
"1572983"	6	"2013"	"H 0001AV"	2021	"15.05.2021"	"51"	NA	"41"	"74"	67	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"16.05.2021"	"28.05.2021 10:14:06.514"
"1573014"	5	"2013"	"R 0007K"	2021	"18.05.2021"	"51"	NA	"41"	"74"	60.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"19.05.2021"	"28.05.2021 10:26:06.512"
"1573477"	2	"2013"	"N 0024ME"	2021	"04.06.2021"	"53"	NA	"08"	"55"	67.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"05.06.2021"	"17.06.2021 14:00:02.814"
"1574215"	3	"2013"	"VL0182AV"	2021	"28.06.2021"	"53"	NA	"28"	"51"	74.6	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"28.06.2021"	"01.07.2021 13:38:09.087"
"1574884"	3	"2013"	"VA0110S"	2021	"27.07.2021"	"53"	NA	"28"	"52"	37.3	"NOR"	0	NA	0	"Sluttseddeldokument"	5	"28.07.2021"	"06.08.2021 09:20:05.683"
"1573396"	2	"2013"	"H 0002F"	2021	"02.06.2021"	"53"	NA	"28"	"52"	64	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"04.06.2021"	"11.06.2021 12:34:06.229"
"1579595"	4	"2013"	"R 0007K"	2021	"09.11.2021"	"53"	NA	"08"	"13"	60.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"10.11.2021"	"24.11.2021 12:32:02.790"
"1574885"	5	"2013"	"VA0110S"	2021	"27.07.2021"	"53"	NA	"08"	"07"	37.3	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"28.07.2021"	"05.08.2021 14:34:05.453"
"1574886"	2	"2013"	"M 0001HØ"	2021	"27.07.2021"	"53"	NA	"28"	"52"	75.4	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"28.07.2021"	"05.08.2021 14:36:07.956"
"1572808"	7	"2013"	"H 0020B"	2021	"14.04.2021"	"53"	NA	"08"	"14"	63.97	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"15.04.2021"	"23.04.2021 08:40:02.297"
"1574899"	2	"2013"	"N 0024ME"	2021	"28.07.2021"	"53"	NA	"28"	"51"	67.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"29.07.2021"	"05.08.2021 14:44:05.683"
"1574888"	6	"2013"	"H 0017BN"	2021	"27.07.2021"	"53"	NA	"28"	"09"	42.9	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"28.07.2021"	"05.08.2021 14:42:02.387"
"1573596"	2	"2013"	"R 0007K"	2021	"09.06.2021"	"53"	NA	"08"	"06"	60.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"09.06.2021"	"22.06.2021 08:42:02.568"
"1577377"	1	"2013"	"VA0110S"	2021	"19.09.2021"	"53"	NA	"28"	"09"	37.3	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"19.09.2021"	"05.10.2021 12:34:06.247"
"1577491"	5	"2013"	"H 0020B"	2021	"22.09.2021"	"53"	NA	"08"	"12"	63.97	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"23.09.2021"	"05.10.2021 12:52:02.899"
"1574898"	1	"2013"	"N 0024ME"	2021	"28.07.2021"	"53"	NA	"30"	"08"	67.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"29.07.2021"	"05.08.2021 14:44:02.244"
"1575681"	5	"2013"	"M 0023HØ"	2021	"19.08.2021"	"53"	NA	"08"	"11"	69.95	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"20.08.2021"	"02.09.2021 08:48:03.152"
"1573927"	2	"2013"	"VL0182AV"	2021	"19.06.2021"	"53"	NA	"28"	"52"	74.6	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"20.06.2021"	"05.07.2021 07:41:29.250"
"1573948"	2	"2013"	"H 0140AV"	2021	"20.06.2021"	"53"	NA	"28"	"52"	64	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"21.06.2021"	"05.07.2021 08:00:02.564"
"1572802"	10	"2013"	"R 0001K"	2021	"13.04.2021"	"53"	NA	"08"	"13"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"14.04.2021"	"23.04.2021 08:36:15.659"
"1574595"	3	"2013"	"R 0001K"	2021	"09.07.2021"	"53"	NA	"28"	"52"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"10.07.2021"	"20.07.2021 12:26:03.639"
"1574170"	2	"2013"	"H 0175B"	2021	"26.06.2021"	"53"	NA	"08"	"55"	61.54	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"26.06.2021"	"09.07.2021 06:56:07.392"
"1573600"	2	"2013"	"H 0365AV"	2021	"09.06.2021"	"53"	NA	"08"	"07"	78.75	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"10.06.2021"	"17.06.2021 15:08:05.475"
"1574125"	3	"2013"	"R 0020V"	2021	"24.06.2021"	"53"	NA	"28"	"51"	49.9	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"25.06.2021"	"09.07.2021 06:48:10.318"
"1574232"	5	"2013"	"R 0020V"	2021	"28.06.2021"	"53"	NA	"28"	"52"	49.9	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"29.06.2021"	"09.07.2021 06:58:06.991"
