"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fangstfelt_kode"	"Hovedområde_bokmål"	"Sone_kode"	"Sone_bokmål"	"Områdegruppering_bokmål"	"HovedområdeFAO_kode"	"HovedområdeFAO_bokmål"	"NordSørFor62GraderNord"	"Fangstdagbok_nummer"	"Fangstdagbok_turnummer"
"1594352"	1	"2013"	"TG752"	2023	"03.08.2023"	"53"	NA	"39"	"03"	NA	"FRO"	0	"03903"	"Vest av Tromsøflaket"	"XNS"	"Internasjonalt område (NEAFC) - Norskehavet (""Smutthavet"")"	"Atlanterhavet, nordøst/Norskehavet - NEAFC reguleringsområde"	"27"	"Nordøstlige Atlanterhav"	"Nord for 62°N"	0	0
"1594467"	1	"2013"	"TG752"	2023	"11.08.2023"	"53"	NA	"00"	"10"	NA	"FRO"	8	"80010"	"Vestfjorden (Lofoten)"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/Norskehavet - utenfor NEAFC reguleringsområde"	"27"	"Nordøstlige Atlanterhav"	"Nord for 62°N"	0	0
"1594351"	1	"2013"	"TG752"	2023	"03.08.2023"	"53"	NA	"31"	"04"	NA	"FRO"	0	"03104"	"Øst av Færøyene"	"FRO"	"Færøyenes økonomiske sone"	"Atlanterhavet, nordøst/Færøyplatået - utenfor NEAFC reguleringsområde"	"27"	"Nordøstlige Atlanterhav"	"Annet"	0	0
"1594603"	1	"2013"	"FD125"	2023	"16.08.2023"	"53"	NA	"39"	"02"	NA	"FRO"	0	"03902"	"Vest av Tromsøflaket"	"XNS"	"Internasjonalt område (NEAFC) - Norskehavet (""Smutthavet"")"	"Atlanterhavet, nordøst/Norskehavet - NEAFC reguleringsområde"	"27"	"Nordøstlige Atlanterhav"	"Nord for 62°N"	0	0
"1594898"	1	"2013"	"TG752"	2023	"24.08.2023"	"53"	NA	"30"	"13"	NA	"FRO"	0	"03013"	"Sørlige Norskehav"	"XNS"	"Internasjonalt område (NEAFC) - Norskehavet (""Smutthavet"")"	"Atlanterhavet, nordøst/Norskehavet - NEAFC reguleringsområde"	"27"	"Nordøstlige Atlanterhav"	"Nord for 62°N"	0	0
"1594492"	1	"2013"	"FD950"	2023	"13.08.2023"	"53"	NA	"39"	"01"	NA	"FRO"	0	"03901"	"Vest av Tromsøflaket"	"XNS"	"Internasjonalt område (NEAFC) - Norskehavet (""Smutthavet"")"	"Atlanterhavet, nordøst/Norskehavet - NEAFC reguleringsområde"	"27"	"Nordøstlige Atlanterhav"	"Nord for 62°N"	0	0
"1594563"	1	"2013"	"TG965"	2023	"15.08.2023"	"53"	NA	"39"	"09"	NA	"FRO"	0	"03909"	"Vest av Tromsøflaket"	"XNS"	"Internasjonalt område (NEAFC) - Norskehavet (""Smutthavet"")"	"Atlanterhavet, nordøst/Norskehavet - NEAFC reguleringsområde"	"27"	"Nordøstlige Atlanterhav"	"Nord for 62°N"	0	0
"1594575"	4	"2013"	"H 0004B"	2023	"15.08.2023"	"53"	NA	"08"	"54"	68.3	"NOR"	0	"00854"	"Eigersundbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1594272"	9	"2013"	"H 0030B"	2023	"30.07.2023"	"53"	NA	"08"	"13"	61.86	"NOR"	0	"00813"	"Eigersundbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1594536"	2	"2013"	"R 0030K"	2023	"14.08.2023"	"53"	NA	"08"	"54"	67.6	"NOR"	0	"00854"	"Eigersundbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1594576"	6	"2013"	"R 0022B"	2023	"15.08.2023"	"53"	NA	"08"	"14"	42.5	"NOR"	0	"00814"	"Eigersundbanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
