"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"id"	"Dokumenttype_Kode"	"Dokumenttype_Bokmål"	"DokumentVersjonsnummer"	"DokumentFormulardato"	"DokumentElektroniskDato"
"1594352"	1	"2013"	"TG752"	2023	"03.08.2023"	"53"	NA	"39"	"03"	NA	"FRO"	0	NA	0	"Sluttseddeldokument"	4	"05.08.2023"	"22.08.2023 08:41:05.264"
"1594467"	1	"2013"	"TG752"	2023	"11.08.2023"	"53"	NA	"00"	"10"	NA	"FRO"	8	NA	0	"Sluttseddeldokument"	3	"13.08.2023"	"28.08.2023 09:01:05.862"
"1594351"	1	"2013"	"TG752"	2023	"03.08.2023"	"53"	NA	"31"	"04"	NA	"FRO"	0	NA	0	"Sluttseddeldokument"	3	"05.08.2023"	"22.08.2023 08:41:02.508"
"1594603"	1	"2013"	"FD125"	2023	"16.08.2023"	"53"	NA	"39"	"02"	NA	"FRO"	0	NA	0	"Sluttseddeldokument"	3	"21.08.2023"	"01.09.2023 12:13:04.990"
"1594898"	1	"2013"	"TG752"	2023	"24.08.2023"	"53"	NA	"30"	"13"	NA	"FRO"	0	NA	0	"Sluttseddeldokument"	3	"26.08.2023"	"08.09.2023 10:07:05.899"
"1594492"	1	"2013"	"FD950"	2023	"13.08.2023"	"53"	NA	"39"	"01"	NA	"FRO"	0	NA	0	"Sluttseddeldokument"	3	"15.08.2023"	"29.08.2023 09:49:02.630"
"1594563"	1	"2013"	"TG965"	2023	"15.08.2023"	"53"	NA	"39"	"09"	NA	"FRO"	0	NA	0	"Sluttseddeldokument"	3	"19.08.2023"	"01.09.2023 12:13:02.750"
"1594575"	4	"2013"	"H 0004B"	2023	"15.08.2023"	"53"	NA	"08"	"54"	68.3	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"16.08.2023"	"23.08.2023 13:03:04.139"
"1594272"	9	"2013"	"H 0030B"	2023	"30.07.2023"	"53"	NA	"08"	"13"	61.86	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"31.07.2023"	"15.08.2023 08:19:08.663"
"1594536"	2	"2013"	"R 0030K"	2023	"14.08.2023"	"53"	NA	"08"	"54"	67.6	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"15.08.2023"	"23.08.2023 13:01:13.544"
"1594576"	6	"2013"	"R 0022B"	2023	"15.08.2023"	"53"	NA	"08"	"14"	42.5	"NOR"	0	NA	0	"Sluttseddeldokument"	5	"16.08.2023"	"12.09.2023 08:03:04.898"
"1594328"	7	"2013"	"R 0011K"	2023	"02.08.2023"	"53"	NA	"08"	"13"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"03.08.2023"	"17.08.2023 08:19:06.727"
"1594526"	4	"2013"	"H 0175B"	2023	"14.08.2023"	"53"	NA	"08"	"54"	61.54	"NOR"	0	NA	0	"Sluttseddeldokument"	6	"14.08.2023"	"18.08.2023 13:27:05.628"
"1595883"	6	"2013"	"R 0022B"	2023	"10.09.2023"	"53"	NA	"08"	"14"	42.5	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"11.09.2023"	"15.09.2023 08:15:05.262"
"1597123"	1	"2013"	"H 0175B"	2023	"09.10.2023"	"53"	NA	"08"	"54"	61.54	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"09.10.2023"	"19.10.2023 06:57:04.637"
