"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"id"	"Dokumenttype_Kode"	"Dokumenttype_Bokmål"	"DokumentVersjonsnummer"	"DokumentFormulardato"	"DokumentElektroniskDato"
"1587652"	9	"2013"	"H 0221B"	2022	"26.09.2022"	"51"	NA	"08"	"13"	49.96	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"27.09.2022"	"05.10.2022 14:46:14.505"
"1582396"	3	"2013"	"M 0031HØ"	2022	"13.04.2022"	"51"	NA	"28"	"53"	62.6	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"14.04.2022"	"15.03.2023 10:07:04.110"
"1587644"	16	"2013"	"R 0022B"	2022	"26.09.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"27.09.2022"	"05.10.2022 14:46:11.233"
"1582816"	2	"2013"	"H 0010AM"	2022	"30.05.2022"	"11"	NA	"08"	"07"	57.5	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"31.05.2022"	"14.06.2022 09:22:02.315"
"1582641"	4	"2013"	"N 0114L"	2022	"21.05.2022"	"11"	NA	"08"	"11"	27.4	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"22.05.2022"	"27.05.2022 08:18:09.094"
"1582859"	2	"2013"	"N 0119SO"	2022	"31.05.2022"	"11"	NA	"08"	"07"	54.05	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"01.06.2022"	"15.06.2022 08:08:02.526"
"1582713"	2	"2013"	"M 0027VD"	2022	"24.05.2022"	"11"	NA	"08"	"52"	65.7	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"25.05.2022"	"08.06.2022 16:21:21.546"
"1585209"	4	"2013"	"R 0001K"	2022	"23.08.2022"	"51"	NA	"08"	"14"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"24.08.2022"	"15.03.2023 10:08:41.164"
"1583917"	8	"2013"	"R 0001K"	2022	"15.07.2022"	"51"	NA	"08"	"13"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"16.07.2022"	"15.03.2023 10:08:00.202"
"1585871"	6	"2013"	"H 0221B"	2022	"31.08.2022"	"51"	NA	"08"	"13"	49.96	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"01.09.2022"	"14.09.2022 07:40:10.367"
"1585125"	5	"2013"	"R 0022B"	2022	"22.08.2022"	"51"	NA	"08"	"14"	42.5	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"23.08.2022"	"15.03.2023 10:08:37.677"
"1583717"	9	"2013"	"H 0004B"	2022	"05.07.2022"	"51"	NA	"08"	"10"	68.3	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"06.07.2022"	"15.03.2023 10:07:46.125"
"1583743"	12	"2013"	"R 0001K"	2022	"06.07.2022"	"51"	NA	"08"	"13"	65	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"07.07.2022"	"15.03.2023 10:07:48.755"
"1585204"	3	"2013"	"H 0221B"	2022	"23.08.2022"	"51"	NA	"08"	"14"	49.96	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"24.08.2022"	"31.08.2022 09:56:10.312"
"1583129"	5	"2013"	"H 0140AV"	2022	"16.06.2022"	"51"	NA	"41"	"76"	64	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"17.06.2022"	"27.06.2022 12:28:02.992"
