"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fartøynavn"	"FartøyID"	"Radiokallesignal_seddel"	"Lengdegruppe_kode"	"Lengdegruppe_bokmål"	"Bruttotonnasje1969"	"BruttotonnasjeAnnen"	"Byggeår"	"Ombyggingsår"	"Motorkraft"	"Motorbyggeår"	"FartøyGjelderFraDato"	"FartøyGjelderTilDato"	"Fartøytype_kode"	"Fartøytype_bokmål"	"Fartøykommune_kode"	"Fartøykommune"	"Fartøyfylke_kode"	"Fartøyfylke"	"Fartøynasjonalitet_kode.Fartøy"	"Fartøynasjonalitet_bokmål"
"1565884"	3	"2013"	"R 0022B"	2020	"30.07.2020"	"51"	NA	"28"	"10"	42.5	"NOR"	0	"HÅFLU"	"1998003525"	"LEQI"	"5"	"28 m og over"	598	NA	1991	1996	1632	1991	"01.01.2018"	"30.10.2021 01:01:03"	"01"	"Fiskefartøy"	1145	"BOKN"	11	"Rogaland"	NA	"NORGE"
"1565904"	8	"2013"	"H 0020B"	2020	"31.07.2020"	"51"	NA	"08"	"14"	63.97	"NOR"	0	"TRYGVASON"	"2016074733"	"LENJ"	"5"	"28 m og over"	1520	NA	2001	2004	5800	2001	"01.01.2020"	"01.07.2021 23:59:59"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1564593"	4	"2013"	"R 0001K"	2020	"10.06.2020"	"51"	NA	"41"	"93"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"30.10.2021 01:01:03"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1565858"	10	"2013"	"R 0001K"	2020	"28.07.2020"	"51"	NA	"08"	"13"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"30.10.2021 01:01:03"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1564464"	4	"2013"	"H 0004B"	2020	"06.06.2020"	"51"	NA	"41"	"74"	68.3	"NOR"	0	"LØNNØY"	"1999013384"	"LJTD"	"5"	"28 m og over"	2183	NA	1999	NA	5875	1999	"01.01.2020"	"30.10.2021 01:01:03"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1564416"	5	"2013"	"R 0007K"	2020	"03.06.2020"	"51"	NA	"41"	"74"	60.4	"NOR"	0	"VEA"	"2004026585"	"LMMJ"	"5"	"28 m og over"	1475	NA	2003	NA	3900	2003	"01.01.2018"	"30.10.2021 01:01:03"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1564178"	3	"2013"	"R 0003K"	2020	"23.05.2020"	"51"	NA	"41"	"74"	61.75	"NOR"	0	"VIKINGBANK"	"2000013274"	"LLAS"	"5"	"28 m og over"	1190	NA	2000	NA	3750	1999	"01.01.2018"	"03.08.2021 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1564106"	5	"2013"	"R 0001K"	2020	"17.05.2020"	"51"	NA	"41"	"64"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"30.10.2021 01:01:03"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1564292"	3	"2013"	"R 0001K"	2020	"29.05.2020"	"51"	NA	"08"	"06"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"30.10.2021 01:01:03"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1564078"	5	"2013"	"H 0030B"	2020	"12.05.2020"	"51"	NA	"41"	"64"	61.86	"NOR"	0	"LØNNINGEN"	"2009048528"	"LKLV"	"5"	"28 m og over"	1169	NA	1998	2001	4670	1998	"01.01.2020"	"30.10.2021 01:01:03"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
