"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"KvotefartøyRegMerke"	"Kvotetype_kode"	"Kvotetype_bokmål"
"1587832"	1	"2013"	"H 0017BN"	2022	"29.09.2022"	"11"	NA	"28"	"51"	42.9	"NOR"	0	"H 0017BN"	"01"	"Vanlig kvote"
"1587832"	3	"2013"	"H 0017BN"	2022	"29.09.2022"	"11"	NA	"28"	"51"	42.9	"NOR"	0	"H 0017BN"	"01"	"Vanlig kvote"
"1586785"	2	"2013"	"SF0046V"	2022	"11.09.2022"	"11"	NA	"28"	"52"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"1586792"	3	"2013"	"N 0003V"	2022	"11.09.2022"	"11"	NA	"28"	"51"	43	"NOR"	0	"N 0003V"	"01"	"Vanlig kvote"
"1587221"	1	"2013"	"H 0081BN"	2022	"20.09.2022"	"11"	NA	"30"	"08"	60.9	"NOR"	0	"H 0081BN"	"01"	"Vanlig kvote"
"1586167"	1	"2013"	"T 0200LK"	2022	"04.09.2022"	"11"	NA	"28"	"52"	39.7	"NOR"	0	"T 0200LK"	"01"	"Vanlig kvote"
"1587212"	2	"2013"	"H 0001O"	2022	"20.09.2022"	"11"	NA	"30"	"08"	68.1	"NOR"	0	"H 0001O"	"01"	"Vanlig kvote"
"1587497"	2	"2013"	"N 0003V"	2022	"24.09.2022"	"11"	NA	"30"	"04"	43	"NOR"	0	"N 9001V"	"01"	"Vanlig kvote"
"1585698"	1	"2013"	"M 0150HØ"	2022	"29.08.2022"	"11"	NA	"30"	"13"	80.4	"NOR"	0	"M 0150HØ"	"01"	"Vanlig kvote"
"1584682"	1	"2013"	"N 0244MS"	2022	"16.08.2022"	"11"	NA	"34"	"05"	38.65	"NOR"	0	"N 0244MS"	"01"	"Vanlig kvote"
"1585395"	2	"2013"	"H 0004O"	2022	"25.08.2022"	"11"	NA	"30"	"14"	59.2	"NOR"	0	"H 0004O"	"01"	"Vanlig kvote"
"1584572"	1	"2013"	"H 0140B"	2022	"16.08.2022"	"11"	NA	"34"	"05"	60.9	"NOR"	0	"H 0140B"	"01"	"Vanlig kvote"
"1584572"	2	"2013"	"H 0140B"	2022	"16.08.2022"	"11"	NA	"34"	"05"	60.9	"NOR"	0	"H 0140B"	"01"	"Vanlig kvote"
"1584539"	3	"2013"	"SF0230F"	2022	"15.08.2022"	"11"	NA	"34"	"05"	64.2	"NOR"	0	"SF0230F"	"01"	"Vanlig kvote"
"1584541"	6	"2013"	"SF0046V"	2022	"15.08.2022"	"11"	NA	"34"	"05"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"1584644"	3	"2013"	"M 0300A"	2022	"16.08.2022"	"11"	NA	"30"	"14"	71.6	"NOR"	0	"M 0300A"	"01"	"Vanlig kvote"
"1584734"	5	"2013"	"H 0058AV"	2022	"17.08.2022"	"11"	NA	"30"	"13"	71.1	"NOR"	0	"VL9100AV"	"01"	"Vanlig kvote"
"1584847"	2	"2013"	"H 0365AV"	2022	"19.08.2022"	"11"	NA	"30"	"09"	78.75	"NOR"	0	"H 0365AV"	"01"	"Vanlig kvote"
"1584541"	1	"2013"	"SF0046V"	2022	"15.08.2022"	"11"	NA	"34"	"05"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"1585822"	1	"2013"	"N 0025ME"	2022	"31.08.2022"	"11"	NA	"30"	"14"	41.45	"NOR"	0	"N 0025ME"	"01"	"Vanlig kvote"
"1585822"	2	"2013"	"N 0025ME"	2022	"31.08.2022"	"11"	NA	"30"	"14"	41.45	"NOR"	0	"N 0025ME"	"01"	"Vanlig kvote"
"1587136"	1	"2013"	"N 0118LN"	2022	"19.09.2022"	"11"	NA	"30"	"14"	75	"NOR"	0	"N 0118LN"	"01"	"Vanlig kvote"
"1587414"	1	"2013"	"M 0300A"	2022	"23.09.2022"	"11"	NA	"30"	"08"	71.6	"NOR"	0	"M 0300A"	"01"	"Vanlig kvote"
"1586941"	2	"2013"	"TR0019F"	2022	"13.09.2022"	"11"	NA	"08"	"54"	64	"NOR"	0	"TR0019F"	"01"	"Vanlig kvote"
"1587220"	2	"2013"	"H 0081BN"	2022	"20.09.2022"	"11"	NA	"30"	"14"	60.9	"NOR"	0	"H 0081BN"	"01"	"Vanlig kvote"
"1587212"	3	"2013"	"H 0001O"	2022	"20.09.2022"	"11"	NA	"30"	"08"	68.1	"NOR"	0	"H 0001O"	"01"	"Vanlig kvote"
"1585709"	3	"2013"	"M 0003HØ"	2022	"29.08.2022"	"11"	NA	"30"	"14"	67.5	"NOR"	0	"M 0003HØ"	"01"	"Vanlig kvote"
"1585138"	2	"2013"	"T 0111T"	2022	"22.08.2022"	"11"	NA	"30"	"13"	37.9	"NOR"	0	"T 0111T"	"01"	"Vanlig kvote"
"1584784"	2	"2013"	"SF0045A"	2022	"18.08.2022"	"11"	NA	"30"	"13"	32.42	"NOR"	0	"SF0045A"	"01"	"Vanlig kvote"
"1585137"	1	"2013"	"M 0065HØ"	2022	"22.08.2022"	"11"	NA	"30"	"13"	74	"NOR"	0	"M 0065HØ"	"01"	"Vanlig kvote"
"1584541"	3	"2013"	"SF0046V"	2022	"15.08.2022"	"11"	NA	"34"	"05"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"1585638"	1	"2013"	"H 0388B"	2022	"29.08.2022"	"11"	NA	"30"	"13"	68.8	"NOR"	0	"R 9004K"	"01"	"Vanlig kvote"
"1585638"	5	"2013"	"H 0388B"	2022	"29.08.2022"	"11"	NA	"30"	"13"	68.8	"NOR"	0	"R 9004K"	"01"	"Vanlig kvote"
"1585395"	1	"2013"	"H 0004O"	2022	"25.08.2022"	"11"	NA	"30"	"14"	59.2	"NOR"	0	"H 0004O"	"01"	"Vanlig kvote"
"1584734"	1	"2013"	"H 0058AV"	2022	"17.08.2022"	"11"	NA	"30"	"13"	71.1	"NOR"	0	"VL9100AV"	"01"	"Vanlig kvote"
"1584929"	3	"2013"	"R 0080ES"	2022	"20.08.2022"	"11"	NA	"30"	"13"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1586160"	1	"2013"	"N 0100B"	2022	"04.09.2022"	"11"	NA	"28"	"52"	39.7	"NOR"	0	"N 0100B"	"01"	"Vanlig kvote"
"1586162"	3	"2013"	"M 0022HØ"	2022	"04.09.2022"	"11"	NA	"28"	"51"	77.5	"NOR"	0	"M 0022HØ"	"01"	"Vanlig kvote"
"1586604"	1	"2013"	"ST0001O"	2022	"09.09.2022"	"11"	NA	"30"	"09"	37.49	"NOR"	0	"ST0001O"	"01"	"Vanlig kvote"
"1586608"	1	"2013"	"M 0158SM"	2022	"09.09.2022"	"11"	NA	"37"	"01"	53.9	"NOR"	0	"M 0158SM"	"01"	"Vanlig kvote"
"1584417"	1	"2013"	"M 0029HØ"	2022	"13.08.2022"	"11"	NA	"34"	"05"	77.5	"NOR"	0	"M 0029HØ"	"01"	"Vanlig kvote"
"1584417"	2	"2013"	"M 0029HØ"	2022	"13.08.2022"	"11"	NA	"34"	"05"	77.5	"NOR"	0	"M 0029HØ"	"01"	"Vanlig kvote"
"1584737"	2	"2013"	"N 0210BØ"	2022	"17.08.2022"	"11"	NA	"30"	"13"	44.2	"NOR"	0	"N 0210BØ"	"01"	"Vanlig kvote"
"1584737"	3	"2013"	"N 0210BØ"	2022	"17.08.2022"	"11"	NA	"30"	"13"	44.2	"NOR"	0	"N 0210BØ"	"01"	"Vanlig kvote"
"1584538"	1	"2013"	"H 0001BN"	2022	"15.08.2022"	"11"	NA	"34"	"05"	75.4	"NOR"	0	"H 0001BN"	"01"	"Vanlig kvote"
"1584538"	3	"2013"	"H 0001BN"	2022	"15.08.2022"	"11"	NA	"34"	"05"	75.4	"NOR"	0	"H 0001BN"	"01"	"Vanlig kvote"
"1584939"	2	"2013"	"M 0065HØ"	2022	"20.08.2022"	"11"	NA	"30"	"13"	74	"NOR"	0	"M 0065HØ"	"01"	"Vanlig kvote"
"1585013"	1	"2013"	"AG0014K"	2022	"21.08.2022"	"11"	NA	"30"	"04"	44.85	"NOR"	0	"AG0014K"	"01"	"Vanlig kvote"
"1586169"	2	"2013"	"VL0063AV"	2022	"04.09.2022"	"11"	NA	"28"	"52"	61.75	"NOR"	0	"VL0063AV"	"01"	"Vanlig kvote"
"1586176"	2	"2013"	"H 0140B"	2022	"04.09.2022"	"11"	NA	"28"	"52"	60.9	"NOR"	0	"H 0140B"	"01"	"Vanlig kvote"
"1587522"	1	"2013"	"H 0380AV"	2022	"24.09.2022"	"11"	NA	"30"	"04"	70.6	"NOR"	0	"H 0380AV"	"01"	"Vanlig kvote"
"1586586"	2	"2013"	"H 0012AV"	2022	"09.09.2022"	"11"	NA	"37"	"01"	62.95	"NOR"	0	"H 0012AV"	"01"	"Vanlig kvote"
"1586608"	2	"2013"	"M 0158SM"	2022	"09.09.2022"	"11"	NA	"37"	"01"	53.9	"NOR"	0	"M 0158SM"	"01"	"Vanlig kvote"
"1586611"	1	"2013"	"VL0055A"	2022	"09.09.2022"	"11"	NA	"30"	"09"	33.76	"NOR"	0	"VL0055A"	"01"	"Vanlig kvote"
"1586611"	3	"2013"	"VL0055A"	2022	"09.09.2022"	"11"	NA	"30"	"09"	33.76	"NOR"	0	"VL0055A"	"01"	"Vanlig kvote"
"1585638"	2	"2013"	"H 0388B"	2022	"29.08.2022"	"11"	NA	"30"	"13"	68.8	"NOR"	0	"R 9004K"	"01"	"Vanlig kvote"
"1584426"	2	"2013"	"TR0346ND"	2022	"13.08.2022"	"11"	NA	"34"	"05"	43.8	"NOR"	0	"TR0346ND"	"01"	"Vanlig kvote"
"1585288"	3	"2013"	"SF0046V"	2022	"24.08.2022"	"11"	NA	"30"	"14"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"1584783"	1	"2013"	"H 0012AV"	2022	"18.08.2022"	"11"	NA	"30"	"09"	62.95	"NOR"	0	"H 0012AV"	"01"	"Vanlig kvote"
"1584643"	3	"2013"	"H 0004AV"	2022	"16.08.2022"	"11"	NA	"30"	"14"	76.4	"NOR"	0	"H 0004AV"	"01"	"Vanlig kvote"
"1585138"	1	"2013"	"T 0111T"	2022	"22.08.2022"	"11"	NA	"30"	"13"	37.9	"NOR"	0	"T 0111T"	"01"	"Vanlig kvote"
"1586176"	3	"2013"	"H 0140B"	2022	"04.09.2022"	"11"	NA	"28"	"52"	60.9	"NOR"	0	"H 0140B"	"01"	"Vanlig kvote"
"1587629"	1	"2013"	"M 0400A"	2022	"26.09.2022"	"11"	NA	"30"	"04"	80	"NOR"	0	"M 0400A"	"01"	"Vanlig kvote"
"1585709"	2	"2013"	"M 0003HØ"	2022	"29.08.2022"	"11"	NA	"30"	"14"	67.5	"NOR"	0	"M 0003HØ"	"01"	"Vanlig kvote"
"1585013"	2	"2013"	"AG0014K"	2022	"21.08.2022"	"11"	NA	"30"	"04"	44.85	"NOR"	0	"AG0014K"	"01"	"Vanlig kvote"
"1585058"	1	"2013"	"M 0400A"	2022	"21.08.2022"	"11"	NA	"30"	"14"	80	"NOR"	0	"M 9002A"	"01"	"Vanlig kvote"
"1585058"	2	"2013"	"M 0400A"	2022	"21.08.2022"	"11"	NA	"30"	"14"	80	"NOR"	0	"M 9002A"	"01"	"Vanlig kvote"
"1585058"	4	"2013"	"M 0400A"	2022	"21.08.2022"	"11"	NA	"30"	"14"	80	"NOR"	0	"M 9002A"	"01"	"Vanlig kvote"
"1585528"	3	"2013"	"M 0150HØ"	2022	"27.08.2022"	"11"	NA	"30"	"13"	80.4	"NOR"	0	"M 0150HØ"	"01"	"Vanlig kvote"
"1586941"	3	"2013"	"TR0019F"	2022	"13.09.2022"	"11"	NA	"08"	"54"	64	"NOR"	0	"TR0019F"	"01"	"Vanlig kvote"
"1586586"	3	"2013"	"H 0012AV"	2022	"09.09.2022"	"11"	NA	"37"	"01"	62.95	"NOR"	0	"H 0012AV"	"01"	"Vanlig kvote"
"1585682"	1	"2013"	"M 0008AV"	2022	"29.08.2022"	"11"	NA	"30"	"14"	40.85	"NOR"	0	"M 0008AV"	"01"	"Vanlig kvote"
"1585683"	1	"2013"	"SF0246A"	2022	"29.08.2022"	"11"	NA	"30"	"14"	36.34	"NOR"	0	"SF0246A"	"01"	"Vanlig kvote"
"1585139"	2	"2013"	"H 0005ØN"	2022	"22.08.2022"	"11"	NA	"30"	"09"	62.6	"NOR"	0	"H 0005ØN"	"01"	"Vanlig kvote"
"1585288"	2	"2013"	"SF0046V"	2022	"24.08.2022"	"11"	NA	"30"	"14"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"1585292"	1	"2013"	"R 0080ES"	2022	"24.08.2022"	"11"	NA	"30"	"14"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1585292"	2	"2013"	"R 0080ES"	2022	"24.08.2022"	"11"	NA	"30"	"14"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1585698"	2	"2013"	"M 0150HØ"	2022	"29.08.2022"	"11"	NA	"30"	"13"	80.4	"NOR"	0	"M 0150HØ"	"01"	"Vanlig kvote"
"1587676"	1	"2013"	"R 0011K"	2022	"27.09.2022"	"11"	NA	"30"	"04"	65	"NOR"	0	"M 9007HØ"	"01"	"Vanlig kvote"
"1587676"	2	"2013"	"R 0011K"	2022	"27.09.2022"	"11"	NA	"30"	"04"	65	"NOR"	0	"M 9007HØ"	"01"	"Vanlig kvote"
"1587676"	3	"2013"	"R 0011K"	2022	"27.09.2022"	"11"	NA	"30"	"04"	65	"NOR"	0	"M 9007HØ"	"01"	"Vanlig kvote"
"1584833"	1	"2013"	"N 0053BØ"	2022	"19.08.2022"	"11"	NA	"30"	"08"	37.52	"NOR"	0	"N 0053BØ"	"01"	"Vanlig kvote"
"1585540"	2	"2013"	"H 0058AV"	2022	"27.08.2022"	"11"	NA	"30"	"09"	71.1	"NOR"	0	"VL9100AV"	"01"	"Vanlig kvote"
"1585137"	2	"2013"	"M 0065HØ"	2022	"22.08.2022"	"11"	NA	"30"	"13"	74	"NOR"	0	"M 0065HØ"	"01"	"Vanlig kvote"
"1584407"	2	"2013"	"M 0300A"	2022	"13.08.2022"	"11"	NA	"30"	"14"	71.6	"NOR"	0	"M 0300A"	"01"	"Vanlig kvote"
"1584783"	3	"2013"	"H 0012AV"	2022	"18.08.2022"	"11"	NA	"30"	"09"	62.95	"NOR"	0	"H 0012AV"	"01"	"Vanlig kvote"
"1584784"	1	"2013"	"SF0045A"	2022	"18.08.2022"	"11"	NA	"30"	"13"	32.42	"NOR"	0	"SF0045A"	"01"	"Vanlig kvote"
"1584939"	1	"2013"	"M 0065HØ"	2022	"20.08.2022"	"11"	NA	"30"	"13"	74	"NOR"	0	"M 0065HØ"	"01"	"Vanlig kvote"
"1585532"	3	"2013"	"N 0003V"	2022	"27.08.2022"	"11"	NA	"07"	"20"	43	"NOR"	0	"N 0003V"	"01"	"Vanlig kvote"
"1584783"	2	"2013"	"H 0012AV"	2022	"18.08.2022"	"11"	NA	"30"	"09"	62.95	"NOR"	0	"H 0012AV"	"01"	"Vanlig kvote"
"1584408"	2	"2013"	"SF0230F"	2022	"13.08.2022"	"11"	NA	"34"	"05"	64.2	"NOR"	0	"SF0230F"	"01"	"Vanlig kvote"
"1585546"	1	"2013"	"R 0080ES"	2022	"27.08.2022"	"11"	NA	"30"	"14"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1584408"	1	"2013"	"SF0230F"	2022	"13.08.2022"	"11"	NA	"34"	"05"	64.2	"NOR"	0	"SF0230F"	"01"	"Vanlig kvote"
"1585820"	1	"2013"	"R 0080ES"	2022	"30.08.2022"	"11"	NA	"30"	"14"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1586160"	3	"2013"	"N 0100B"	2022	"04.09.2022"	"11"	NA	"28"	"52"	39.7	"NOR"	0	"N 0100B"	"01"	"Vanlig kvote"
"1586162"	2	"2013"	"M 0022HØ"	2022	"04.09.2022"	"11"	NA	"28"	"51"	77.5	"NOR"	0	"M 0022HØ"	"01"	"Vanlig kvote"
"1585820"	2	"2013"	"R 0080ES"	2022	"30.08.2022"	"11"	NA	"30"	"14"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1584539"	1	"2013"	"SF0230F"	2022	"15.08.2022"	"11"	NA	"34"	"05"	64.2	"NOR"	0	"SF0230F"	"01"	"Vanlig kvote"
"1584939"	3	"2013"	"M 0065HØ"	2022	"20.08.2022"	"11"	NA	"30"	"13"	74	"NOR"	0	"M 0065HØ"	"01"	"Vanlig kvote"
"1585682"	2	"2013"	"M 0008AV"	2022	"29.08.2022"	"11"	NA	"30"	"14"	40.85	"NOR"	0	"M 0008AV"	"01"	"Vanlig kvote"
"1584643"	1	"2013"	"H 0004AV"	2022	"16.08.2022"	"11"	NA	"30"	"14"	76.4	"NOR"	0	"H 0004AV"	"01"	"Vanlig kvote"
"1584644"	1	"2013"	"M 0300A"	2022	"16.08.2022"	"11"	NA	"30"	"14"	71.6	"NOR"	0	"M 0300A"	"01"	"Vanlig kvote"
"1584734"	3	"2013"	"H 0058AV"	2022	"17.08.2022"	"11"	NA	"30"	"13"	71.1	"NOR"	0	"VL9100AV"	"01"	"Vanlig kvote"
"1585137"	3	"2013"	"M 0065HØ"	2022	"22.08.2022"	"11"	NA	"30"	"13"	74	"NOR"	0	"M 0065HØ"	"01"	"Vanlig kvote"
"1585139"	1	"2013"	"H 0005ØN"	2022	"22.08.2022"	"11"	NA	"30"	"09"	62.6	"NOR"	0	"H 0005ØN"	"01"	"Vanlig kvote"
"1584655"	2	"2013"	"N 0400B"	2022	"16.08.2022"	"11"	NA	"30"	"13"	80.16	"NOR"	0	"N 0400B"	"01"	"Vanlig kvote"
"1585058"	3	"2013"	"M 0400A"	2022	"21.08.2022"	"11"	NA	"30"	"14"	80	"NOR"	0	"M 9002A"	"01"	"Vanlig kvote"
"1586483"	1	"2013"	"H 0005ØN"	2022	"08.09.2022"	"11"	NA	"37"	"01"	62.6	"NOR"	0	"H 0005ØN"	"01"	"Vanlig kvote"
"1586169"	1	"2013"	"VL0063AV"	2022	"04.09.2022"	"11"	NA	"28"	"52"	61.75	"NOR"	0	"VL0063AV"	"01"	"Vanlig kvote"
"1585638"	3	"2013"	"H 0388B"	2022	"29.08.2022"	"11"	NA	"30"	"13"	68.8	"NOR"	0	"R 9004K"	"01"	"Vanlig kvote"
"1584833"	2	"2013"	"N 0053BØ"	2022	"19.08.2022"	"11"	NA	"30"	"08"	37.52	"NOR"	0	"N 0053BØ"	"01"	"Vanlig kvote"
"1584929"	2	"2013"	"R 0080ES"	2022	"20.08.2022"	"11"	NA	"30"	"13"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1584544"	1	"2013"	"H 0380AV"	2022	"15.08.2022"	"11"	NA	"34"	"05"	70.6	"NOR"	0	"H 0380AV"	"01"	"Vanlig kvote"
"1587320"	1	"2013"	"T 0042T"	2022	"22.09.2022"	"11"	NA	"30"	"09"	55	"NOR"	0	"T 0042T"	"01"	"Vanlig kvote"
"1587322"	1	"2013"	"R 0020V"	2022	"22.09.2022"	"11"	NA	"30"	"09"	49.9	"NOR"	0	"R 0020V"	"01"	"Vanlig kvote"
"1585698"	3	"2013"	"M 0150HØ"	2022	"29.08.2022"	"11"	NA	"30"	"13"	80.4	"NOR"	0	"M 0150HØ"	"01"	"Vanlig kvote"
"1585353"	2	"2013"	"H 0099AV"	2022	"25.08.2022"	"11"	NA	"07"	"20"	74.2	"NOR"	0	"H 0099AV"	"01"	"Vanlig kvote"
"1585350"	1	"2013"	"M 0174AV"	2022	"25.08.2022"	"11"	NA	"07"	"20"	35.17	"NOR"	0	"M 0174AV"	"01"	"Vanlig kvote"
"1584539"	2	"2013"	"SF0230F"	2022	"15.08.2022"	"11"	NA	"34"	"05"	64.2	"NOR"	0	"SF0230F"	"01"	"Vanlig kvote"
"1584541"	2	"2013"	"SF0046V"	2022	"15.08.2022"	"11"	NA	"34"	"05"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"1584655"	1	"2013"	"N 0400B"	2022	"16.08.2022"	"11"	NA	"30"	"13"	80.16	"NOR"	0	"N 0400B"	"01"	"Vanlig kvote"
"1584682"	2	"2013"	"N 0244MS"	2022	"16.08.2022"	"11"	NA	"34"	"05"	38.65	"NOR"	0	"N 0244MS"	"01"	"Vanlig kvote"
"1585353"	1	"2013"	"H 0099AV"	2022	"25.08.2022"	"11"	NA	"07"	"20"	74.2	"NOR"	0	"H 0099AV"	"01"	"Vanlig kvote"
"1585540"	1	"2013"	"H 0058AV"	2022	"27.08.2022"	"11"	NA	"30"	"09"	71.1	"NOR"	0	"VL9100AV"	"01"	"Vanlig kvote"
"1584929"	1	"2013"	"R 0080ES"	2022	"20.08.2022"	"11"	NA	"30"	"13"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1586770"	1	"2013"	"M 0116HØ"	2022	"11.09.2022"	"11"	NA	"28"	"52"	34.07	"NOR"	0	"M 0116HØ"	"01"	"Vanlig kvote"
"1586770"	2	"2013"	"M 0116HØ"	2022	"11.09.2022"	"11"	NA	"28"	"52"	34.07	"NOR"	0	"M 0116HØ"	"01"	"Vanlig kvote"
"1586774"	3	"2013"	"SF0028B"	2022	"11.09.2022"	"11"	NA	"28"	"51"	64	"NOR"	0	"SF0028B"	"01"	"Vanlig kvote"
"1585709"	1	"2013"	"M 0003HØ"	2022	"29.08.2022"	"11"	NA	"30"	"14"	67.5	"NOR"	0	"M 0003HØ"	"01"	"Vanlig kvote"
"1585350"	2	"2013"	"M 0174AV"	2022	"25.08.2022"	"11"	NA	"07"	"20"	35.17	"NOR"	0	"M 0174AV"	"01"	"Vanlig kvote"
"1585288"	1	"2013"	"SF0046V"	2022	"24.08.2022"	"11"	NA	"30"	"14"	69.65	"NOR"	0	"SF0046V"	"01"	"Vanlig kvote"
"1585292"	3	"2013"	"R 0080ES"	2022	"24.08.2022"	"11"	NA	"30"	"14"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1585394"	3	"2013"	"M 0065HØ"	2022	"25.08.2022"	"11"	NA	"07"	"20"	74	"NOR"	0	"M 0065HØ"	"01"	"Vanlig kvote"
"1585528"	1	"2013"	"M 0150HØ"	2022	"27.08.2022"	"11"	NA	"30"	"13"	80.4	"NOR"	0	"M 0150HØ"	"01"	"Vanlig kvote"
"1585528"	2	"2013"	"M 0150HØ"	2022	"27.08.2022"	"11"	NA	"30"	"13"	80.4	"NOR"	0	"M 0150HØ"	"01"	"Vanlig kvote"
"1585289"	3	"2013"	"NT0500V"	2022	"24.08.2022"	"11"	NA	"30"	"14"	68.25	"NOR"	0	"NT0500V"	"01"	"Vanlig kvote"
"1585292"	4	"2013"	"R 0080ES"	2022	"24.08.2022"	"11"	NA	"30"	"14"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1584407"	1	"2013"	"M 0300A"	2022	"13.08.2022"	"11"	NA	"30"	"14"	71.6	"NOR"	0	"M 0300A"	"01"	"Vanlig kvote"
"1587953"	1	"2013"	"R 0011K"	2022	"30.09.2022"	"11"	NA	"30"	"09"	65	"NOR"	0	"R 0011K"	"01"	"Vanlig kvote"
"1586197"	1	"2013"	"H 0388B"	2022	"05.09.2022"	"11"	NA	"28"	"52"	68.8	"NOR"	0	"R 9004K"	"01"	"Vanlig kvote"
"1585711"	1	"2013"	"VL0182AV"	2022	"29.08.2022"	"11"	NA	"30"	"14"	74.6	"NOR"	0	"VL0182AV"	"01"	"Vanlig kvote"
"1585711"	3	"2013"	"VL0182AV"	2022	"29.08.2022"	"11"	NA	"30"	"14"	74.6	"NOR"	0	"VL0182AV"	"01"	"Vanlig kvote"
"1585532"	1	"2013"	"N 0003V"	2022	"27.08.2022"	"11"	NA	"07"	"20"	43	"NOR"	0	"N 0003V"	"01"	"Vanlig kvote"
"1585532"	2	"2013"	"N 0003V"	2022	"27.08.2022"	"11"	NA	"07"	"20"	43	"NOR"	0	"N 0003V"	"01"	"Vanlig kvote"
"1585711"	2	"2013"	"VL0182AV"	2022	"29.08.2022"	"11"	NA	"30"	"14"	74.6	"NOR"	0	"VL0182AV"	"01"	"Vanlig kvote"
"1584426"	1	"2013"	"TR0346ND"	2022	"13.08.2022"	"11"	NA	"34"	"05"	43.8	"NOR"	0	"TR0346ND"	"01"	"Vanlig kvote"
"1585541"	1	"2013"	"SF0001V"	2022	"27.08.2022"	"11"	NA	"30"	"14"	56.2	"NOR"	0	"SF0001V"	"01"	"Vanlig kvote"
"1585818"	2	"2013"	"TR0346ND"	2022	"30.08.2022"	"11"	NA	"30"	"14"	43.8	"NOR"	0	"TR0346ND"	"01"	"Vanlig kvote"
"1585289"	1	"2013"	"NT0500V"	2022	"24.08.2022"	"11"	NA	"30"	"14"	68.25	"NOR"	0	"NT0500V"	"01"	"Vanlig kvote"
"1585289"	2	"2013"	"NT0500V"	2022	"24.08.2022"	"11"	NA	"30"	"14"	68.25	"NOR"	0	"NT0500V"	"01"	"Vanlig kvote"
"1585546"	2	"2013"	"R 0080ES"	2022	"27.08.2022"	"11"	NA	"30"	"14"	58.92	"NOR"	0	"R 0080ES"	"01"	"Vanlig kvote"
"1585548"	1	"2013"	"T 0200LK"	2022	"27.08.2022"	"11"	NA	"30"	"14"	39.7	"NOR"	0	"T 0200LK"	"01"	"Vanlig kvote"
"1584734"	2	"2013"	"H 0058AV"	2022	"17.08.2022"	"11"	NA	"30"	"13"	71.1	"NOR"	0	"VL9100AV"	"01"	"Vanlig kvote"
"1584737"	1	"2013"	"N 0210BØ"	2022	"17.08.2022"	"11"	NA	"30"	"13"	44.2	"NOR"	0	"N 0210BØ"	"01"	"Vanlig kvote"
"1584737"	4	"2013"	"N 0210BØ"	2022	"17.08.2022"	"11"	NA	"30"	"13"	44.2	"NOR"	0	"N 0210BØ"	"01"	"Vanlig kvote"
"1585540"	3	"2013"	"H 0058AV"	2022	"27.08.2022"	"11"	NA	"30"	"09"	71.1	"NOR"	0	"VL9100AV"	"01"	"Vanlig kvote"
"1585548"	2	"2013"	"T 0200LK"	2022	"27.08.2022"	"11"	NA	"30"	"14"	39.7	"NOR"	0	"T 0200LK"	"01"	"Vanlig kvote"
"1586166"	1	"2013"	"M 0116HØ"	2022	"04.09.2022"	"11"	NA	"28"	"52"	34.07	"NOR"	0	"M 0116HØ"	"01"	"Vanlig kvote"
"1585822"	3	"2013"	"N 0025ME"	2022	"31.08.2022"	"11"	NA	"30"	"14"	41.45	"NOR"	0	"N 0025ME"	"01"	"Vanlig kvote"
"1587642"	1	"2013"	"M 0300A"	2022	"26.09.2022"	"11"	NA	"30"	"04"	71.6	"NOR"	0	"M 0300A"	"01"	"Vanlig kvote"
"1585818"	3	"2013"	"TR0346ND"	2022	"30.08.2022"	"11"	NA	"30"	"14"	43.8	"NOR"	0	"TR0346ND"	"01"	"Vanlig kvote"
"1585823"	1	"2013"	"M 0122HØ"	2022	"31.08.2022"	"11"	NA	"30"	"14"	69.94	"NOR"	0	"M 0122HØ"	"01"	"Vanlig kvote"
"1585823"	2	"2013"	"M 0122HØ"	2022	"31.08.2022"	"11"	NA	"30"	"14"	69.94	"NOR"	0	"M 0122HØ"	"01"	"Vanlig kvote"
