"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Produkttilstand_kode"	"Produkttilstand_bokmål"	"Konserveringsmåte_kode"	"Konserveringsmåte_bokmål"	"Landingsmåte_kode"	"Landingsmåte_bokmål"	"Kvalitet_kode"	"Kvalitet_bokmål"	"Størrelsesgruppering_kode"	"Anvendelse_kode"	"Anvendelse_bokmål"	"HovedgruppeAnvendelse_kode"	"HovedgruppeAnvendelse_bokmål"	"AntallStykk"	"Bruttovekt"	"Produktvekt"	"Rundvekt"
"1578834"	1	"2013"	"R 0080ES"	2021	"19.10.2021"	"11"	NA	"07"	"15"	58.92	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	12723	12723	12723
"1578190"	4	"2013"	"M 0101SM"	2021	"09.10.2021"	"51"	NA	"08"	"10"	53	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	36549	36549	36549
"1572994"	12	"2013"	"VA0330S"	2021	"17.05.2021"	"51"	NA	"08"	"13"	40.3	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	80	80	80
"1572983"	6	"2013"	"H 0001AV"	2021	"15.05.2021"	"51"	NA	"41"	"74"	67	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	680	680	680
"1573014"	5	"2013"	"R 0007K"	2021	"18.05.2021"	"51"	NA	"41"	"74"	60.4	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	550	550	550
"1573477"	2	"2013"	"N 0024ME"	2021	"04.06.2021"	"53"	NA	"08"	"55"	67.4	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	3000	3000	3000
"1574215"	3	"2013"	"VL0182AV"	2021	"28.06.2021"	"53"	NA	"28"	"51"	74.6	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1000	1000	1000
"1574884"	3	"2013"	"VA0110S"	2021	"27.07.2021"	"53"	NA	"28"	"52"	37.3	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1500	1500	1500
"1573396"	2	"2013"	"H 0002F"	2021	"02.06.2021"	"53"	NA	"28"	"52"	64	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	620	620	620
"1579595"	4	"2013"	"R 0007K"	2021	"09.11.2021"	"53"	NA	"08"	"13"	60.4	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1785	1785	1785
