"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Produkttilstand_kode"	"Produkttilstand_bokmål"	"Konserveringsmåte_kode"	"Konserveringsmåte_bokmål"	"Landingsmåte_kode"	"Landingsmåte_bokmål"	"Kvalitet_kode"	"Kvalitet_bokmål"	"Størrelsesgruppering_kode"	"Anvendelse_kode"	"Anvendelse_bokmål"	"HovedgruppeAnvendelse_kode"	"HovedgruppeAnvendelse_bokmål"	"AntallStykk"	"Bruttovekt"	"Produktvekt"	"Rundvekt"
"1582500"	3	"2013"	"H 0001AV"	2022	"06.05.2022"	"51"	NA	"41"	"75"	67	"NOR"	0	"110"	"Rund"	"10"	"Rfw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	300	300	300
"1582883"	3	"2013"	"R 0022B"	2022	"02.06.2022"	"51"	NA	"41"	"64"	42.5	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	671	671	671
"1582475"	5	"2013"	"H 0020B"	2022	"03.05.2022"	"51"	NA	"41"	"65"	63.97	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	812	812	812
"1582455"	2	"2013"	"R 0011K"	2022	"28.04.2022"	"51"	NA	"41"	"76"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	419	419	419
"1582530"	3	"2013"	"M 0031HØ"	2022	"12.05.2022"	"51"	NA	"41"	"76"	62.6	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	600	600	600
"1582953"	3	"2013"	"R 0011K"	2022	"07.06.2022"	"51"	NA	"41"	"74"	65	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2700	2700	2700
"1582951"	4	"2013"	"R 0001K"	2022	"07.06.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	5273	5273	5273
"1582659"	5	"2013"	"H 0002F"	2022	"21.05.2022"	"51"	NA	"41"	"75"	64	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2568	2568	2568
"1582483"	5	"2013"	"H 0002F"	2022	"04.05.2022"	"51"	NA	"41"	"74"	64	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	198	198	198
"1582889"	5	"2013"	"H 0004B"	2022	"02.06.2022"	"51"	NA	"41"	"63"	68.3	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	130	130	130
