"LogLikelihood"	"Iteration"
3212.55391474922	1
3211.18038610721	2
3214.36330335157	3
3220.28740724557	4
3215.8521305994	5
3209.37475362569	6
3221.72133616336	7
3199.87993185424	8
3199.03244325889	9
3204.17744765839	10
3192.71137968401	11
3215.24908808614	12
3214.7853809054	13
3209.09258056404	14
3211.70174926022	15
3193.48854381401	16
3206.13559384286	17
3212.16034583484	18
3208.51592051328	19
3216.23151714784	20
3189.54547394294	21
3210.61139958766	22
3216.71910697093	23
3215.67569427458	24
3218.76828090124	25
3196.7376611719	26
3208.15227003661	27
3208.01423981839	28
3195.22457032687	29
3194.41731624106	30
3203.42689695631	31
3206.40957733257	32
3209.80353058483	33
3208.16521985432	34
3215.02050169401	35
3212.50459972754	36
3220.56215231293	37
3212.32638545993	38
3208.78487581311	39
3207.21897197004	40
3211.61083031156	41
3198.10421360891	42
3196.57357655159	43
3211.6681962687	44
3210.569180544	45
3218.39974300742	46
3214.74047209873	47
3202.08820691518	48
3205.29350711367	49
3202.08122711815	50
3201.8591377562	51
3214.98621938455	52
3221.05274979657	53
3210.47800031433	54
3211.90814383439	55
3208.44692620863	56
3211.72903134147	57
3204.40872459902	58
3206.19673475491	59
3215.34433369952	60
3205.64306615317	61
3205.18723194628	62
3218.79079920096	63
3208.13128668649	64
3219.51666283091	65
3209.30262715253	66
3207.74498555114	67
3209.60474396481	68
3216.49518002004	69
3211.67662370862	70
3199.69549935832	71
3211.59256943138	72
3197.26405995372	73
3209.82761758471	74
3213.49734989001	75
3215.54208884911	76
3209.01356999072	77
3202.17287108684	78
3213.58054710452	79
3209.75970718337	80
3196.87765527948	81
3213.00501515069	82
3197.59111688853	83
3210.90380403635	84
3222.92119497366	85
3206.84794111029	86
3222.27983666042	87
3206.26300189185	88
3198.56092933578	89
3211.74178327604	90
3206.71747632095	91
3208.6984372053	92
3209.58212006913	93
3210.22241208921	94
3204.49106076375	95
3200.85989691436	96
3206.60189456636	97
3213.68110678639	98
3220.37181373844	99
3221.7722294291	100
3216.25221630201	101
3209.32895552061	102
3214.04929517677	103
3214.4181410362	104
3215.39229915612	105
3212.04330928796	106
3217.58479537205	107
3212.18087729972	108
3209.30633206255	109
3218.14520403196	110
3199.16518326191	111
3210.53707509875	112
3214.25086963285	113
3208.71214925348	114
3210.40533659688	115
3213.59820776218	116
3210.29515512702	117
3206.43401329541	118
3207.03872454197	119
3212.58782626911	120
3216.58458468921	121
3207.17973450762	122
3204.67836247184	123
3201.44556122989	124
3220.55841950729	125
3214.79017748374	126
3202.87002081998	127
3205.15351915217	128
3203.94099343481	129
3211.59277998859	130
3210.80055897146	131
3202.73904178183	132
3213.57517604761	133
3214.63354579045	134
3209.2591674816	135
3217.7535873303	136
3205.41116810101	137
3192.81469038148	138
3217.39626840884	139
3208.87389586512	140
3196.55635924248	141
3212.79932200404	142
3209.09171873549	143
3198.51440508311	144
3210.7632447278	145
3210.37985840941	146
3216.12524765637	147
3216.02604989663	148
3198.94896800683	149
3218.63211961114	150
3203.76445180052	151
3200.94852932438	152
3208.78585954643	153
3202.06264747521	154
3203.37566988693	155
3210.11972766819	156
3210.27478665612	157
3209.08055867752	158
3207.08285828955	159
3213.14137275527	160
3207.71818309022	161
3209.09708621158	162
3222.01576978248	163
3207.39973076918	164
3192.93927684803	165
3213.22936480534	166
3207.90734281739	167
3198.75010737602	168
3202.20144075816	169
3198.32329468029	170
3216.86693140341	171
3211.08922942919	172
3204.20034779658	173
3207.83418171954	174
3219.53600778212	175
3206.83732771383	176
3211.54582356361	177
3211.14552071296	178
3201.86648587078	179
3204.60819212309	180
3212.4815858713	181
3203.24048126294	182
3206.54010342302	183
3206.84495550631	184
3204.36901230851	185
3206.82318198735	186
3203.4314716057	187
3206.08242153471	188
3208.5252680375	189
3206.89400219749	190
3213.30668338121	191
3209.77697733048	192
3215.51887925361	193
3212.60808052349	194
3218.47102854819	195
3199.10963077116	196
3213.45189851132	197
3222.53806706532	198
3211.06856515708	199
3202.02918057837	200
3214.17731403919	201
3210.29534996287	202
3210.44755167668	203
3206.88256436455	204
3203.66895900729	205
3204.07932299273	206
3199.3634228173	207
3210.05782524362	208
3217.94469693103	209
3224.12692635084	210
3208.98315928582	211
3208.36992540081	212
3209.98868742835	213
3211.24737524486	214
3205.96520930936	215
3210.85918007982	216
3213.82012439293	217
3204.46585743864	218
3205.86652427644	219
3210.90443221474	220
3213.04909778038	221
3205.38402157812	222
3220.14092950648	223
3217.29379721172	224
3209.61557271318	225
3207.28782716376	226
3194.90413442568	227
3222.93464616815	228
3220.4180074786	229
3209.510883628	230
3198.81123348237	231
3199.45663210283	232
3198.1780742661	233
3201.51155270928	234
3216.06165640244	235
3205.29016477179	236
3211.08460749666	237
3216.30726698147	238
3207.57430387605	239
3212.06134360444	240
3208.01746558073	241
3203.69282714769	242
3205.7895787589	243
3206.83001748108	244
3192.01340300298	245
3217.80370725642	246
3199.77101228857	247
3208.34424921288	248
3206.22003066949	249
3202.50782363789	250
3199.88868111574	251
3213.58677367899	252
3217.23689756284	253
3204.77629259036	254
3206.26005962337	255
3215.18444808211	256
3203.94409481971	257
3218.85981431194	258
3221.39132311136	259
3218.1333523254	260
3199.43620519766	261
3212.37557543011	262
3212.56075582695	263
3204.29328278795	264
3207.74980729473	265
3221.78771855503	266
3217.39372466363	267
3206.76761377201	268
3216.37289070323	269
3206.02861563073	270
3212.69986568706	271
3201.8083146657	272
3199.90278406581	273
3211.25581662443	274
3212.06515040011	275
3203.17631915681	276
3203.4359364158	277
3205.97699815381	278
3206.72591910695	279
3203.55159762602	280
3209.49544691479	281
3196.46559738836	282
3209.84908313832	283
3215.58378387977	284
3214.53165509797	285
3211.92463194263	286
3214.40788158135	287
3213.05158725082	288
3215.95588948438	289
3200.34864011786	290
3208.22104883485	291
3208.96246963168	292
3214.38778903125	293
3191.73106650938	294
3206.98139170225	295
3210.8331646946	296
3202.37166352169	297
3219.26716986899	298
3196.17600359373	299
3208.07223877728	300
3221.1067983894	301
3208.81102458444	302
3214.2172959345	303
3212.24573535215	304
3209.62509063228	305
3216.26852698279	306
3208.29490084509	307
3193.91330044357	308
3215.21943870692	309
3210.581772889	310
3208.54700974969	311
3210.51534334938	312
3211.73991537305	313
3210.73393157572	314
3216.1979922369	315
3191.8909016742	316
3212.9418239104	317
3208.51000297913	318
3201.41571112655	319
3216.74262173014	320
3210.63137016488	321
3210.20992906344	322
3217.10983115188	323
3220.15038743878	324
3207.54589301224	325
3206.22755333317	326
3212.59709627926	327
3212.58383490008	328
3208.7437781349	329
3219.96843827022	330
3210.31754468636	331
3203.57124473343	332
3214.18440512225	333
3193.14700194245	334
3215.69382176334	335
3210.54303180491	336
3220.10651405562	337
3208.6474770196	338
3209.35273706947	339
3210.2924806731	340
3210.45202702377	341
3207.81951208086	342
3214.33004910904	343
3196.19245687459	344
3209.15304727146	345
3208.71381469126	346
3213.32114288794	347
3204.55081084066	348
3211.59386060716	349
3206.83686470578	350
3209.87527073675	351
3200.74544371245	352
3217.75231723261	353
3209.60081662268	354
3212.01541572191	355
3209.3730756086	356
3205.19783991159	357
3209.74597195468	358
3218.88392499312	359
3194.10116824749	360
3189.18881301347	361
3208.64547489535	362
3197.7944538049	363
3210.37448913249	364
3194.70691662447	365
3220.77267867024	366
3206.23156818199	367
3192.6971028994	368
3210.79868483368	369
3207.56934181611	370
3214.91614057325	371
3211.87254398144	372
3192.77083417563	373
3216.08936466879	374
3210.36021399363	375
3225.65223039207	376
3210.62052339951	377
3219.18244431354	378
3201.34027167598	379
3206.51674820802	380
3211.1101848145	381
3215.80522287095	382
3193.95224736196	383
3211.25400568843	384
3209.30650611129	385
3219.29213356328	386
3213.09430392628	387
3211.67777307416	388
3208.05973366105	389
3214.02441788736	390
3221.37449096475	391
3211.64246063781	392
3217.67027616352	393
3210.08591799603	394
3219.67439191828	395
3209.89983536053	396
3215.26755675396	397
3213.35415049831	398
3213.5459466243	399
3212.19108477246	400
3210.92174805502	401
3208.19118582048	402
3212.31153353071	403
3215.09113826235	404
3200.87101125998	405
3205.48969565846	406
3202.51808122407	407
3197.59364648735	408
3216.36358294005	409
3225.10908247036	410
3209.36367134084	411
3208.30106996942	412
3210.20973619169	413
3218.51646739349	414
3194.22357683531	415
3210.80542318816	416
3210.48499688948	417
3210.99964160981	418
3198.91168865065	419
3223.0985756143	420
3207.40777958229	421
3200.97194269745	422
3201.14044505824	423
3208.11441331991	424
3194.56727530752	425
3202.65444361938	426
3208.06277486549	427
3219.09862006288	428
3217.86220485866	429
3212.13126373207	430
3210.51489500648	431
3193.97321682777	432
3210.42798002754	433
3214.1820146208	434
3197.54533232524	435
3201.29461355381	436
3217.30778308595	437
3204.72418461832	438
3215.28862135512	439
3220.68420251691	440
3200.5092338219	441
3211.75497238462	442
3212.84521668007	443
3203.75431643244	444
3207.52490682703	445
3219.57399128151	446
3219.60756796763	447
3211.68015638865	448
3204.18408687402	449
3213.49528954709	450
3208.84364664112	451
3207.4854093651	452
3222.08932269675	453
3205.44085636972	454
3217.97420465481	455
3196.29401896275	456
3208.71426742505	457
3202.0996435174	458
3214.47094470355	459
3215.7214796669	460
3200.43064065807	461
3216.45545559774	462
3199.59335110115	463
3218.399718739	464
3221.90135279737	465
3224.77906160874	466
3207.96809979809	467
3215.19030375613	468
3217.0692770282	469
3212.36351573659	470
3210.86126584214	471
3218.03569587472	472
3215.73325232544	473
3200.29909072866	474
3201.95688628574	475
3199.65403204578	476
3217.11621628368	477
3206.66866273521	478
3207.02168254322	479
3208.15083230094	480
3209.08193418869	481
3202.76707159192	482
3216.82414584369	483
3224.33864437776	484
3205.26931292015	485
3214.95445182775	486
3203.88222526227	487
3217.73558292948	488
3211.57927044828	489
3219.20996038528	490
3219.5679039477	491
3210.1365290342	492
3216.68261357484	493
3203.44012450029	494
3196.76122672616	495
3200.97048178561	496
3216.47341172433	497
3210.75227377187	498
3209.19074198203	499
3214.36932207873	500
3207.23810615049	501
3208.86846553667	502
3209.88299426772	503
3214.88231819349	504
3208.31080712757	505
3195.99295969034	506
3204.05679674724	507
3203.58274205535	508
3209.0811546001	509
3205.66185537228	510
3208.61405260281	511
3207.47647602115	512
3214.87263096451	513
3199.45597794043	514
3221.43275962444	515
3221.64856416972	516
3222.69711929461	517
3213.83844800085	518
3207.56497923997	519
3202.70552651523	520
3206.24314802188	521
3217.83641876221	522
3210.06661200862	523
3200.28687917817	524
3212.72375754017	525
3222.24529126319	526
3211.10012972167	527
3212.81870963357	528
3219.45983340113	529
3219.32441500228	530
3199.21421013347	531
3216.0615132546	532
3211.54658856325	533
3205.8933307431	534
3212.12501015139	535
3199.70360084002	536
3210.33777988339	537
3189.20252137495	538
3211.93841678136	539
3209.36555902327	540
3213.09058739383	541
3210.35020633982	542
3198.43713815963	543
3206.71403090571	544
3197.47182086716	545
3205.02805797013	546
3204.34201514749	547
3199.97391465157	548
3209.35784633758	549
3205.14540140313	550
3208.09251408783	551
3214.35919111258	552
3216.10343964098	553
3202.11902296193	554
3212.56029405817	555
3214.42484683221	556
3214.02709770221	557
3212.28046369532	558
3221.11999934565	559
3213.7705563312	560
3199.60838033769	561
3202.96282112572	562
3201.51768411646	563
3195.57113797142	564
3208.44975888496	565
3207.64208026428	566
3210.88536642403	567
3201.01060124839	568
3202.66375471973	569
3212.43238315017	570
3216.23296982944	571
3208.91622474828	572
3195.88511084275	573
3206.07100891003	574
3211.89162125417	575
3214.34876626116	576
3208.93654665124	577
3215.14975944357	578
3210.37467834545	579
3212.1957525015	580
3204.47470695006	581
3207.12529797613	582
3210.30554662623	583
3211.75318911033	584
3207.36893604655	585
3209.73772974227	586
3207.07610701908	587
3205.05644105789	588
3198.68521607609	589
3210.53848992523	590
3216.12734308791	591
3208.92619782033	592
3197.12429648689	593
3212.27751439623	594
3209.83635884702	595
3205.75726445771	596
3204.67514118675	597
3206.4575353097	598
3209.81538303022	599
3206.83727837856	600
3210.05697987623	601
3214.54265465707	602
3205.62858231673	603
3212.77754795162	604
