"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionNumber"	"SampleWeight"	"SampleNumber"	"sampleproducttype"	"lengthmeasurement"
"NA/19/2020/9000/30"	"67"	"38067"	"makrell/172414/127023/NA"	"3"	"NA/19/2020/9000/30-67-38067-makrell/172414/127023/NA-3"	6e+05	1457321	11.528	28	"1"	"F"
"NA/19/2020/9000/30"	"68"	"38068"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2020/9000/30-68-38068-makrell/172414/127023/Scomber scombrus-2"	2e+05	451931	14.604	33	"1"	"F"
"NA/19/2020/9000/30"	"69"	"38069"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-69-38069-makrell/172414/127023/Scomber scombrus-1"	750000	1743874	22.364	52	"1"	"F"
"NA/19/2020/9000/30"	"80"	"38080"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-80-38080-makrell/172414/127023/Scomber scombrus-1"	450000	1001378	9.437	21	"1"	"F"
"NA/19/2020/9000/30"	"81"	"38081"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-81-38081-makrell/172414/127023/Scomber scombrus-1"	190000	409581	8.35	18	"1"	"F"
"NA/19/2020/9000/30"	"82"	"38082"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-82-38082-makrell/172414/127023/Scomber scombrus-1"	330000	735206	18.403	41	"1"	"F"
"NA/19/2020/9000/30"	"83"	"38083"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-83-38083-makrell/172414/127023/Scomber scombrus-1"	4e+05	824039	14.077	29	"1"	"F"
"NA/19/2020/9000/30"	"84"	"38084"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-84-38084-makrell/172414/127023/Scomber scombrus-1"	520000	1232958	5.061	12	"1"	"F"
"NA/19/2020/9000/30"	"85"	"38085"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-85-38085-makrell/172414/127023/Scomber scombrus-1"	6e+05	1398360	11.585	27	"1"	"F"
"NA/19/2020/9000/30"	"86"	"38086"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-86-38086-makrell/172414/127023/Scomber scombrus-1"	560000	1227209	11.408	25	"1"	"F"
"NA/19/2020/9000/30"	"87"	"38087"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-87-38087-makrell/172414/127023/Scomber scombrus-1"	240000	517480	12.986	28	"1"	"F"
"NA/19/2020/9000/30"	"88"	"38088"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-88-38088-makrell/172414/127023/Scomber scombrus-1"	90000	213504	16.44	39	"1"	"F"
"NA/19/2020/9000/30"	"89"	"38089"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-89-38089-makrell/172414/127023/Scomber scombrus-1"	225000	518097	13.897	32	"1"	"F"
"NA/19/2020/9000/30"	"90"	"38090"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-90-38090-makrell/172414/127023/Scomber scombrus-1"	370000	802920	10.138	22	"1"	"F"
"NA/19/2020/9000/30"	"91"	"38091"	"sild'G05/161722.G05/126417/Clupea harengus"	"2"	"NA/19/2020/9000/30-91-38091-sild'G05/161722.G05/126417/Clupea harengus-2"	3000	NA	NA	NA	NA	NA
"NA/19/2020/9000/30"	"91"	"38091"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2020/9000/30-91-38091-makrell/172414/127023/Scomber scombrus-1"	250000	618487	13.339	33	"1"	"F"
"NA/19/2021/10011/30"	"21"	"38021"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-21-38021-makrell/172414/127023/Scomber scombrus-1"	135000	290978	9.743	21	"1"	"F"
"NA/19/2021/10011/30"	"22"	"38022"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-22-38022-makrell/172414/127023/Scomber scombrus-1"	160000	366133	11.362	26	"1"	"F"
"NA/19/2021/10011/30"	"23"	"38023"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-23-38023-makrell/172414/127023/Scomber scombrus-1"	124000	318692	8.56	22	"1"	"F"
"NA/19/2021/10011/30"	"24"	"38024"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-24-38024-makrell/172414/127023/Scomber scombrus-1"	375000	937110	12.005	30	"1"	"F"
"NA/19/2021/10011/30"	"24"	"38024"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-24-38024-makrell/172414/127023/Scomber scombrus-2"	NA	NA	2.219	6	"1"	"F"
"NA/19/2021/10011/30"	"25"	"38025"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-25-38025-makrell/172414/127023/Scomber scombrus-1"	390000	1173768	12.626	38	"1"	"F"
"NA/19/2021/10011/30"	"25"	"38025"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-25-38025-makrell/172414/127023/Scomber scombrus-2"	3.456	10	3.456	10	"1"	"F"
"NA/19/2021/10011/30"	"26"	"38026"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-26-38026-makrell/172414/127023/Scomber scombrus-1"	115000	260582	11.033	25	"1"	"F"
"NA/19/2021/10011/30"	"27"	"38027"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-27-38027-makrell/172414/127023/Scomber scombrus-1"	650000	1734533	10.118	27	"1"	"F"
"NA/19/2021/10011/30"	"28"	"38028"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-28-38028-makrell/172414/127023/Scomber scombrus-1"	40000	106923	11.223	30	"1"	"F"
"NA/19/2021/10011/30"	"29"	"38029"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-29-38029-makrell/172414/127023/Scomber scombrus-1"	255000	840844	9.098	30	"1"	"F"
"NA/19/2021/10011/30"	"29"	"38029"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-29-38029-makrell/172414/127023/Scomber scombrus-2"	2.607	8	2.607	8	"1"	"F"
"NA/19/2021/10011/30"	"30"	"38030"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-30-38030-makrell/172414/127023/Scomber scombrus-1"	235000	649231	10.859	30	"1"	"F"
"NA/19/2021/10011/30"	"30"	"38030"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-30-38030-makrell/172414/127023/Scomber scombrus-2"	2.618	7	2.618	7	"1"	"F"
"NA/19/2021/10011/30"	"31"	"38031"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-31-38031-makrell/172414/127023/Scomber scombrus-1"	230000	605529	11.395	30	"1"	"F"
"NA/19/2021/10011/30"	"31"	"38031"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-31-38031-makrell/172414/127023/Scomber scombrus-2"	1.563	5	1.563	5	"1"	"F"
"NA/19/2021/10011/30"	"32"	"38032"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-32-38032-makrell/172414/127023/Scomber scombrus-1"	370000	948946	12.477	32	"1"	"F"
"NA/19/2021/10011/30"	"33"	"38033"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-33-38033-makrell/172414/127023/Scomber scombrus-1"	150000	364001	9.478	23	"1"	"F"
"NA/19/2021/10011/30"	"34"	"38034"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-34-38034-makrell/172414/127023/Scomber scombrus-1"	135000	313541	9.903	23	"1"	"F"
"NA/19/2021/10011/30"	"35"	"38035"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-35-38035-makrell/172414/127023/Scomber scombrus-1"	185000	428920	8.195	19	"1"	"F"
"NA/19/2021/10011/30"	"36"	"38036"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-36-38036-makrell/172414/127023/Scomber scombrus-1"	3e+05	730932	9.44	23	"1"	"F"
"NA/19/2021/10011/30"	"37"	"38037"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-37-38037-makrell/172414/127023/Scomber scombrus-1"	2e+05	584795	11.97	35	"1"	"F"
"NA/19/2021/10011/30"	"37"	"38037"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-37-38037-makrell/172414/127023/Scomber scombrus-2"	3.087	10	3.087	10	"1"	"F"
"NA/19/2021/10011/30"	"38"	"38038"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-38-38038-makrell/172414/127023/Scomber scombrus-1"	160000	503725	9.529	30	"1"	"F"
"NA/19/2021/10011/30"	"38"	"38038"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-38-38038-makrell/172414/127023/Scomber scombrus-2"	NA	NA	2.437	8	"1"	"F"
