"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	411.393	545.319	8.862	1298.468
"Age 2"	2	69136962.367	2183590756.748	68208.425	102881.571
"Age 3"	3	70561816.608	2227721377.791	93281.763	135808.372
"Age 4"	4	11995623.021	378216189.259	25913.368	46515.832
"Age 5"	5	17886455.88	563444754.131	52986.057	84121.355
"Age 6"	6	26685880.916	840303900.732	92680.283	133564.785
"Age 7"	7	3472139.182	108933109.236	17756.009	37954.777
"Age 8"	8	37102684.235	1171099285.757	52119.888	85785.17
"Age 9"	9	1343054.682	41948521.471	6726.024	27358.756
"Age 10"	10	964.043	2319.636	0	6102.344
"Age 11"	11	139096806.393	4395011360.954	85020.144	141106.096
"Age 12+"	12	21614094.507	681667512.134	36057.257	80044.392
