"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"
10	10	28.755854204711	"Transfer.area"
11	10	28.820008120381	"Transfer.area"
12	10	28.722763754577	"Transfer.area"
13	10	0	"Transfer.area"
14	10	28.805725618338	"Transfer.area"
15	10	0	"Transfer.area"
1	11	21.490879222958	"Transfer.area"
2	11	24.884247178389	"Transfer.area"
3	11	26.564423769316	"Transfer.area"
4	11	27.439375122643	"Transfer.area"
5	11	27.904419682688	"Transfer.area"
6	11	28.14002927408	"Transfer.area"
7	11	28.263703521283	"Transfer.area"
8	11	28.318823777044	"Transfer.area"
9	11	28.392695621034	"Transfer.area"
10	11	28.396229051902	"Transfer.area"
11	11	28.048959852743	"Transfer.area"
12	11	28.413405675797	"Transfer.area"
13	11	0	"Transfer.area"
14	11	28.382713497237	"Transfer.area"
15	11	28.577904947844	"Transfer.area"
1	12	21.733032184783	"Transfer.area"
2	12	24.892715478323	"Transfer.area"
3	12	26.53692130714	"Transfer.area"
4	12	27.39378417506	"Transfer.area"
5	12	27.84205399939	"Transfer.area"
6	12	28.079515598331	"Transfer.area"
7	12	28.204216604563	"Transfer.area"
8	12	28.271333928766	"Transfer.area"
9	12	28.307705129072	"Transfer.area"
10	12	28.328516395992	"Transfer.area"
11	12	28.323823098784	"Transfer.area"
12	12	28.343874175506	"Transfer.area"
13	12	0	"Transfer.area"
14	12	28.34941177272	"Transfer.area"
15	12	28.345462857657	"Transfer.area"
1	13	21.880747564677	"Transfer.area"
2	13	25.226070988379	"Transfer.area"
3	13	26.91413326199	"Transfer.area"
4	13	27.787030594675	"Transfer.area"
5	13	28.220864525614	"Transfer.area"
6	13	28.474406190193	"Transfer.area"
7	13	28.595400155758	"Transfer.area"
8	13	28.668136546159	"Transfer.area"
9	13	28.711617312958	"Transfer.area"
10	13	28.745124324387	"Transfer.area"
11	13	0	"Transfer.area"
12	13	0	"Transfer.area"
13	13	0	"Transfer.area"
14	13	0	"Transfer.area"
15	13	28.816640713378	"Transfer.area"
1	14	21.692602322625	"Transfer.area"
2	14	25.01170837713	"Transfer.area"
3	14	26.666425604959	"Transfer.area"
4	14	27.525051066734	"Transfer.area"
5	14	27.968061264052	"Transfer.area"
6	14	28.194887402548	"Transfer.area"
7	14	28.311967098397	"Transfer.area"
8	14	28.37147415257	"Transfer.area"
9	14	28.404163793574	"Transfer.area"
10	14	28.419733132023	"Transfer.area"
11	14	0	"Transfer.area"
12	14	0	"Transfer.area"
13	14	0	"Transfer.area"
14	14	0	"Transfer.area"
15	14	28.43619815566	"Transfer.area"
1	15	21.985140996856	"Transfer.area"
2	15	25.311271281506	"Transfer.area"
3	15	26.964324616889	"Transfer.area"
4	15	27.831800240746	"Transfer.area"
5	15	28.273662086454	"Transfer.area"
6	15	28.52104763871	"Transfer.area"
7	15	28.644227437055	"Transfer.area"
8	15	28.710236661359	"Transfer.area"
9	15	28.734264804393	"Transfer.area"
10	15	28.754937601988	"Transfer.area"
11	15	0	"Transfer.area"
12	15	0	"Transfer.area"
13	15	0	"Transfer.area"
14	15	0	"Transfer.area"
15	15	28.745875096099	"Transfer.area"
1	16	22.362352842399	"Transfer.area"
2	16	25.708787075538	"Transfer.area"
3	16	27.395779340902	"Transfer.area"
4	16	28.275102097663	"Transfer.area"
5	16	28.724981932146	"Transfer.area"
6	16	28.957157225585	"Transfer.area"
7	16	29.079550079198	"Transfer.area"
8	16	29.13223624176	"Transfer.area"
9	16	29.167079563306	"Transfer.area"
10	16	29.187778878976	"Transfer.area"
11	16	0	"Transfer.area"
12	16	0	"Transfer.area"
13	16	0	"Transfer.area"
14	16	0	"Transfer.area"
15	16	29.189616622058	"Transfer.area"
1	17	22.579410797187	"Transfer.area"
2	17	25.801916182717	"Transfer.area"
3	17	27.480135163146	"Transfer.area"
4	17	28.33894244337	"Transfer.area"
5	17	28.790294844668	"Transfer.area"
6	17	29.024088228218	"Transfer.area"
7	17	29.143652200698	"Transfer.area"
8	17	29.24414043325	"Transfer.area"
9	17	29.269528956129	"Transfer.area"
10	17	29.276858051344	"Transfer.area"
11	17	29.341253655299	"Transfer.area"
12	17	0	"Transfer.area"
13	17	0	"Transfer.area"
14	17	0	"Transfer.area"
15	17	29.30033852456	"Transfer.area"
1	18	21.887019778519	"Transfer.area"
2	18	25.424714542248	"Transfer.area"
3	18	27.077205407867	"Transfer.area"
4	18	27.875949851523	"Transfer.area"
5	18	28.366950017741	"Transfer.area"
6	18	28.551371529005	"Transfer.area"
7	18	28.665378114893	"Transfer.area"
8	18	28.856802377414	"Transfer.area"
9	18	28.795992071272	"Transfer.area"
10	18	28.794032301873	"Transfer.area"
11	18	28.545823331532	"Transfer.area"
12	18	0	"Transfer.area"
13	18	0	"Transfer.area"
14	18	0	"Transfer.area"
15	18	28.919440740885	"Transfer.area"
1	19	21.500739630974	"Transfer.area"
2	19	25.236673323096	"Transfer.area"
3	19	26.808977983093	"Transfer.area"
4	19	27.587684039855	"Transfer.area"
5	19	28.02925019638	"Transfer.area"
6	19	28.223997902233	"Transfer.area"
7	19	28.398519796658	"Transfer.area"
8	19	28.435551571944	"Transfer.area"
9	19	28.446201656181	"Transfer.area"
10	19	28.463097277621	"Transfer.area"
11	19	0	"Transfer.area"
12	19	28.414359521686	"Transfer.area"
13	19	0	"Transfer.area"
14	19	0	"Transfer.area"
15	19	28.384450382865	"Transfer.area"
1	20	21.766899950765	"Transfer.area"
2	20	25.088096156818	"Transfer.area"
3	20	26.766680002072	"Transfer.area"
4	20	27.639015582217	"Transfer.area"
5	20	28.07188888546	"Transfer.area"
6	20	28.355931165076	"Transfer.area"
7	20	28.468666859101	"Transfer.area"
8	20	28.512721894948	"Transfer.area"
9	20	28.587233091589	"Transfer.area"
10	20	28.589305771615	"Transfer.area"
11	20	28.620712634172	"Transfer.area"
12	20	28.635704236607	"Transfer.area"
13	20	0	"Transfer.area"
14	20	0	"Transfer.area"
15	20	28.644046702009	"Transfer.area"
1	21	21.829938250694	"Transfer.area"
2	21	24.902271497064	"Transfer.area"
3	21	26.491700470736	"Transfer.area"
4	21	27.367011940625	"Transfer.area"
5	21	27.782926491201	"Transfer.area"
6	21	28.065375827398	"Transfer.area"
7	21	28.166225860254	"Transfer.area"
8	21	28.226448299783	"Transfer.area"
9	21	28.27656809258	"Transfer.area"
10	21	28.318861866517	"Transfer.area"
11	21	28.30269980762	"Transfer.area"
12	21	28.356573184814	"Transfer.area"
13	21	0	"Transfer.area"
14	21	27.98656692234	"Transfer.area"
15	21	28.29730786501	"Transfer.area"
1	22	21.776298647653	"Transfer.area"
2	22	25.34087563986	"Transfer.area"
3	22	26.939449423742	"Transfer.area"
4	22	27.634994541702	"Transfer.area"
5	22	28.249872315118	"Transfer.area"
6	22	28.4098862467	"Transfer.area"
7	22	28.523372324044	"Transfer.area"
8	22	28.437451897055	"Transfer.area"
9	22	28.718151086589	"Transfer.area"
10	22	28.644807105343	"Transfer.area"
11	22	28.462948644636	"Transfer.area"
12	22	0	"Transfer.area"
13	22	0	"Transfer.area"
