"Age"	"Iteration"	"MeanIndividualWeight"	"StratumTransfer"
12	6	0.190060049722	"Transfer.area"
13	6	0	"Transfer.area"
14	6	0.207970335598	"Transfer.area"
15	6	0	"Transfer.area"
1	7	0.0858655310712	"Transfer.area"
2	7	0.128183704563	"Transfer.area"
3	7	0.154352598834	"Transfer.area"
4	7	0.169977760144	"Transfer.area"
5	7	0.177892532035	"Transfer.area"
6	7	0.18211555697	"Transfer.area"
7	7	0.185695365309	"Transfer.area"
8	7	0.184196069876	"Transfer.area"
9	7	0.187385051507	"Transfer.area"
10	7	0.186566879371	"Transfer.area"
11	7	0	"Transfer.area"
12	7	0.187714158926	"Transfer.area"
13	7	0	"Transfer.area"
14	7	0	"Transfer.area"
15	7	0	"Transfer.area"
1	8	0.0876557584052	"Transfer.area"
2	8	0.132063110389	"Transfer.area"
3	8	0.158353349995	"Transfer.area"
4	8	0.172829957792	"Transfer.area"
5	8	0.183096366753	"Transfer.area"
6	8	0.18544740604	"Transfer.area"
7	8	0.188277537949	"Transfer.area"
8	8	0.190247177558	"Transfer.area"
9	8	0.190217470955	"Transfer.area"
10	8	0.189766850913	"Transfer.area"
11	8	0.201768255423	"Transfer.area"
12	8	0.190419076663	"Transfer.area"
13	8	0	"Transfer.area"
14	8	0.187984666499	"Transfer.area"
15	8	0	"Transfer.area"
1	9	0.100330351491	"Transfer.area"
2	9	0.148256279255	"Transfer.area"
3	9	0.17656605702	"Transfer.area"
4	9	0.190470242952	"Transfer.area"
5	9	0.199573295094	"Transfer.area"
6	9	0.204087795859	"Transfer.area"
7	9	0.207818734677	"Transfer.area"
8	9	0.208512412054	"Transfer.area"
9	9	0.207981560781	"Transfer.area"
10	9	0.207664821633	"Transfer.area"
11	9	0.209054620085	"Transfer.area"
12	9	0.208258650208	"Transfer.area"
13	9	0	"Transfer.area"
14	9	0	"Transfer.area"
15	9	0	"Transfer.area"
1	10	0.0869663246108	"Transfer.area"
2	10	0.131000729647	"Transfer.area"
3	10	0.158320518662	"Transfer.area"
4	10	0.173442019904	"Transfer.area"
5	10	0.182861522336	"Transfer.area"
6	10	0.185476843164	"Transfer.area"
7	10	0.190014255231	"Transfer.area"
8	10	0.186625000058	"Transfer.area"
9	10	0.190561261125	"Transfer.area"
10	10	0.189664855485	"Transfer.area"
11	10	0.186550326799	"Transfer.area"
12	10	0.192743307381	"Transfer.area"
13	10	0	"Transfer.area"
14	10	0.18807369929	"Transfer.area"
15	10	0	"Transfer.area"
1	11	0.0879507402195	"Transfer.area"
2	11	0.131764524385	"Transfer.area"
3	11	0.159503840753	"Transfer.area"
4	11	0.175551565219	"Transfer.area"
5	11	0.184081857911	"Transfer.area"
6	11	0.189409576919	"Transfer.area"
7	11	0.192374824595	"Transfer.area"
8	11	0.194840828844	"Transfer.area"
9	11	0.192334486097	"Transfer.area"
10	11	0.194047623181	"Transfer.area"
11	11	0.225330785221	"Transfer.area"
12	11	0.194202816042	"Transfer.area"
13	11	0	"Transfer.area"
14	11	0.197347074783	"Transfer.area"
15	11	0.180378968847	"Transfer.area"
1	12	0.0866501223361	"Transfer.area"
2	12	0.129887167156	"Transfer.area"
3	12	0.156024797545	"Transfer.area"
4	12	0.170604040573	"Transfer.area"
5	12	0.179099764792	"Transfer.area"
6	12	0.183729547629	"Transfer.area"
7	12	0.187042057743	"Transfer.area"
8	12	0.188400698731	"Transfer.area"
9	12	0.188554183342	"Transfer.area"
10	12	0.187306614613	"Transfer.area"
11	12	0.200627557652	"Transfer.area"
12	12	0.187581632037	"Transfer.area"
13	12	0	"Transfer.area"
14	12	0.186555576956	"Transfer.area"
15	12	0.190958034352	"Transfer.area"
1	13	0.0883731821745	"Transfer.area"
2	13	0.133633883225	"Transfer.area"
3	13	0.161561109077	"Transfer.area"
4	13	0.177264824023	"Transfer.area"
5	13	0.186331914099	"Transfer.area"
6	13	0.190314772593	"Transfer.area"
7	13	0.192755724869	"Transfer.area"
8	13	0.193697220055	"Transfer.area"
9	13	0.193985903586	"Transfer.area"
10	13	0.193743406199	"Transfer.area"
11	13	0	"Transfer.area"
12	13	0	"Transfer.area"
13	13	0	"Transfer.area"
14	13	0	"Transfer.area"
15	13	0.192161191599	"Transfer.area"
1	14	0.0878038286217	"Transfer.area"
2	14	0.131251284856	"Transfer.area"
3	14	0.15807332592	"Transfer.area"
4	14	0.172092985879	"Transfer.area"
5	14	0.179268522548	"Transfer.area"
6	14	0.183758426412	"Transfer.area"
7	14	0.186595384957	"Transfer.area"
8	14	0.188835252294	"Transfer.area"
9	14	0.189338120618	"Transfer.area"
10	14	0.190296205011	"Transfer.area"
11	14	0	"Transfer.area"
12	14	0	"Transfer.area"
13	14	0	"Transfer.area"
14	14	0	"Transfer.area"
15	14	0.191274702532	"Transfer.area"
1	15	0.09010691971	"Transfer.area"
2	15	0.134528098677	"Transfer.area"
3	15	0.162471020433	"Transfer.area"
4	15	0.177696963323	"Transfer.area"
5	15	0.186728991463	"Transfer.area"
6	15	0.189918138022	"Transfer.area"
7	15	0.192171262664	"Transfer.area"
8	15	0.193174617247	"Transfer.area"
9	15	0.194968605673	"Transfer.area"
10	15	0.194942940881	"Transfer.area"
11	15	0	"Transfer.area"
12	15	0	"Transfer.area"
13	15	0	"Transfer.area"
14	15	0	"Transfer.area"
15	15	0.198724748149	"Transfer.area"
1	16	0.0947573252031	"Transfer.area"
2	16	0.142155538435	"Transfer.area"
3	16	0.171383158734	"Transfer.area"
4	16	0.186756103963	"Transfer.area"
5	16	0.195359502279	"Transfer.area"
6	16	0.200139353401	"Transfer.area"
7	16	0.202411428425	"Transfer.area"
8	16	0.205564665494	"Transfer.area"
9	16	0.20593337231	"Transfer.area"
10	16	0.205651480157	"Transfer.area"
11	16	0	"Transfer.area"
12	16	0	"Transfer.area"
13	16	0	"Transfer.area"
14	16	0	"Transfer.area"
15	16	0.209061437443	"Transfer.area"
1	17	0.0997078943775	"Transfer.area"
2	17	0.148005105953	"Transfer.area"
3	17	0.176728158554	"Transfer.area"
4	17	0.193742388203	"Transfer.area"
5	17	0.202928729022	"Transfer.area"
6	17	0.208438199909	"Transfer.area"
7	17	0.212109801771	"Transfer.area"
8	17	0.206601918873	"Transfer.area"
9	17	0.209095071146	"Transfer.area"
10	17	0.211714590182	"Transfer.area"
11	17	0.200363848495	"Transfer.area"
12	17	0	"Transfer.area"
13	17	0	"Transfer.area"
14	17	0	"Transfer.area"
15	17	0.211265026568	"Transfer.area"
1	18	0.0907042014722	"Transfer.area"
2	18	0.137905353804	"Transfer.area"
3	18	0.167318929404	"Transfer.area"
4	18	0.184832278946	"Transfer.area"
5	18	0.191525691905	"Transfer.area"
6	18	0.197101252624	"Transfer.area"
7	18	0.199261822395	"Transfer.area"
8	18	0.19528200708	"Transfer.area"
9	18	0.199254784191	"Transfer.area"
10	18	0.200181893658	"Transfer.area"
11	18	0.210221605408	"Transfer.area"
12	18	0	"Transfer.area"
13	18	0	"Transfer.area"
14	18	0	"Transfer.area"
15	18	0.19617203827	"Transfer.area"
1	19	0.0881823537178	"Transfer.area"
2	19	0.135296498362	"Transfer.area"
3	19	0.163176444581	"Transfer.area"
4	19	0.178836599495	"Transfer.area"
5	19	0.186895067187	"Transfer.area"
6	19	0.191234290031	"Transfer.area"
7	19	0.192914014251	"Transfer.area"
8	19	0.194129922103	"Transfer.area"
9	19	0.194809470605	"Transfer.area"
10	19	0.195068258245	"Transfer.area"
11	19	0	"Transfer.area"
12	19	0.195731410055	"Transfer.area"
13	19	0	"Transfer.area"
14	19	0	"Transfer.area"
15	19	0.196046873399	"Transfer.area"
1	20	0.0874865768445	"Transfer.area"
2	20	0.132460496712	"Transfer.area"
3	20	0.161077321916	"Transfer.area"
4	20	0.177850044083	"Transfer.area"
5	20	0.18890287203	"Transfer.area"
6	20	0.190795830276	"Transfer.area"
7	20	0.194572867186	"Transfer.area"
8	20	0.197984817865	"Transfer.area"
9	20	0.195235623753	"Transfer.area"
10	20	0.197105350506	"Transfer.area"
11	20	0.195333171204	"Transfer.area"
12	20	0.194532451702	"Transfer.area"
13	20	0	"Transfer.area"
14	20	0	"Transfer.area"
15	20	0.19430861693	"Transfer.area"
1	21	0.0906941268981	"Transfer.area"
2	21	0.134036053186	"Transfer.area"
3	21	0.161155380845	"Transfer.area"
4	21	0.175577447239	"Transfer.area"
5	21	0.184984789899	"Transfer.area"
6	21	0.187770874982	"Transfer.area"
7	21	0.191213733173	"Transfer.area"
8	21	0.192817175643	"Transfer.area"
9	21	0.192893327586	"Transfer.area"
10	21	0.192242157796	"Transfer.area"
11	21	0.193599216738	"Transfer.area"
12	21	0.191560055946	"Transfer.area"
13	21	0	"Transfer.area"
14	21	0.208249650423	"Transfer.area"
15	21	0.194520884443	"Transfer.area"
1	22	0.0923148987151	"Transfer.area"
2	22	0.133938950923	"Transfer.area"
3	22	0.161025778138	"Transfer.area"
4	22	0.183126777927	"Transfer.area"
5	22	0.183363075174	"Transfer.area"
6	22	0.192217385492	"Transfer.area"
7	22	0.195452841083	"Transfer.area"
8	22	0.206583390419	"Transfer.area"
9	22	0.191459630938	"Transfer.area"
10	22	0.197828654008	"Transfer.area"
11	22	0.210644282083	"Transfer.area"
12	22	0	"Transfer.area"
13	22	0	"Transfer.area"
14	22	0.214455712017	"Transfer.area"
15	22	0.214088013134	"Transfer.area"
1	23	0.100827758328	"Transfer.area"
2	23	0.14646822629	"Transfer.area"
3	23	0.176106839875	"Transfer.area"
4	23	0.193376683219	"Transfer.area"
5	23	0.202626560562	"Transfer.area"
6	23	0.207359254358	"Transfer.area"
7	23	0.210032598819	"Transfer.area"
8	23	0.213287513314	"Transfer.area"
9	23	0.212716503433	"Transfer.area"
10	23	0.213077793584	"Transfer.area"
11	23	0.212547822734	"Transfer.area"
12	23	0	"Transfer.area"
13	23	0	"Transfer.area"
14	23	0.213742848902	"Transfer.area"
15	23	0.214043959213	"Transfer.area"
1	24	0.0942715635934	"Transfer.area"
2	24	0.14092236656	"Transfer.area"
3	24	0.172997549377	"Transfer.area"
4	24	0.20220930479	"Transfer.area"
5	24	0.197923659615	"Transfer.area"
6	24	0.212073121567	"Transfer.area"
7	24	0.205024548952	"Transfer.area"
8	24	0.20828589638	"Transfer.area"
9	24	0.211415307049	"Transfer.area"
10	24	0.212553077754	"Transfer.area"
11	24	0	"Transfer.area"
12	24	0	"Transfer.area"
13	24	0	"Transfer.area"
14	24	0.2057575827	"Transfer.area"
15	24	0.216368135045	"Transfer.area"
1	25	0.0937513886348	"Transfer.area"
2	25	0.136978916574	"Transfer.area"
3	25	0.16285771212	"Transfer.area"
4	25	0.17970522631	"Transfer.area"
5	25	0.186662945393	"Transfer.area"
6	25	0.188672032673	"Transfer.area"
7	25	0.191032798152	"Transfer.area"
8	25	0.192062769829	"Transfer.area"
9	25	0.193835668939	"Transfer.area"
10	25	0.192052993783	"Transfer.area"
11	25	0	"Transfer.area"
12	25	0	"Transfer.area"
13	25	0	"Transfer.area"
14	25	0.194268174385	"Transfer.area"
15	25	0.19774363389	"Transfer.area"
1	26	0.0940010117805	"Transfer.area"
2	26	0.136468476795	"Transfer.area"
3	26	0.164762895636	"Transfer.area"
4	26	0.186901021931	"Transfer.area"
5	26	0.189454102347	"Transfer.area"
6	26	0.199786661851	"Transfer.area"
7	26	0.19901389234	"Transfer.area"
8	26	0.204825537132	"Transfer.area"
9	26	0.213127318023	"Transfer.area"
10	26	0.204302217118	"Transfer.area"
11	26	0	"Transfer.area"
12	26	0	"Transfer.area"
13	26	0	"Transfer.area"
14	26	0.199143464995	"Transfer.area"
15	26	0.204483332511	"Transfer.area"
1	27	0.0932505470668	"Transfer.area"
2	27	0.13794890338	"Transfer.area"
3	27	0.166527383339	"Transfer.area"
4	27	0.183635714766	"Transfer.area"
5	27	0.193193657183	"Transfer.area"
6	27	0.200527094163	"Transfer.area"
7	27	0.199115045523	"Transfer.area"
8	27	0.204354182212	"Transfer.area"
9	27	0.20234326913	"Transfer.area"
10	27	0.203032224979	"Transfer.area"
11	27	0	"Transfer.area"
12	27	0	"Transfer.area"
13	27	0	"Transfer.area"
14	27	0.200503298747	"Transfer.area"
15	27	0.202151567149	"Transfer.area"
1	28	0.0882772749121	"Transfer.area"
2	28	0.134872471021	"Transfer.area"
3	28	0.159544519959	"Transfer.area"
4	28	0.183401272757	"Transfer.area"
5	28	0.191750443374	"Transfer.area"
6	28	0.194447711078	"Transfer.area"
7	28	0.217465053569	"Transfer.area"
8	28	0.227917496372	"Transfer.area"
9	28	0.206641654919	"Transfer.area"
10	28	0.182320573907	"Transfer.area"
11	28	0.250015381226	"Transfer.area"
12	28	0	"Transfer.area"
13	28	0.189499098332	"Transfer.area"
14	28	0.184030219506	"Transfer.area"
15	28	0.209231009106	"Transfer.area"
1	29	0.0873717886299	"Transfer.area"
2	29	0.131109200819	"Transfer.area"
3	29	0.15770236922	"Transfer.area"
4	29	0.171764282863	"Transfer.area"
5	29	0.187571503667	"Transfer.area"
6	29	0.184583701581	"Transfer.area"
7	29	0.187921793726	"Transfer.area"
8	29	0.194773840542	"Transfer.area"
9	29	0.187255233074	"Transfer.area"
10	29	0.203378906292	"Transfer.area"
11	29	0.217325191809	"Transfer.area"
12	29	0.193732970527	"Transfer.area"
13	29	0	"Transfer.area"
14	29	0.203820422253	"Transfer.area"
15	29	0.180530288196	"Transfer.area"
1	30	0.0935497056488	"Transfer.area"
2	30	0.140910648423	"Transfer.area"
3	30	0.168194023877	"Transfer.area"
4	30	0.187239978368	"Transfer.area"
5	30	0.192627286465	"Transfer.area"
6	30	0.198361651992	"Transfer.area"
7	30	0.202176164977	"Transfer.area"
8	30	0.207251396148	"Transfer.area"
9	30	0.203343164524	"Transfer.area"
10	30	0.199293008731	"Transfer.area"
11	30	0.192688962323	"Transfer.area"
12	30	0.224744880308	"Transfer.area"
13	30	0	"Transfer.area"
14	30	0.195243805025	"Transfer.area"
15	30	0.203533001647	"Transfer.area"
1	31	0.0953067936091	"Transfer.area"
2	31	0.1419204873	"Transfer.area"
3	31	0.171711411121	"Transfer.area"
4	31	0.186527100203	"Transfer.area"
5	31	0.19330016982	"Transfer.area"
6	31	0.198526204164	"Transfer.area"
7	31	0.202824934124	"Transfer.area"
8	31	0.208492306656	"Transfer.area"
9	31	0.204819245203	"Transfer.area"
10	31	0.203152856674	"Transfer.area"
11	31	0.205396979561	"Transfer.area"
12	31	0.204574255991	"Transfer.area"
13	31	0	"Transfer.area"
14	31	0.206241673102	"Transfer.area"
15	31	0.192622138085	"Transfer.area"
1	32	0.0869396112889	"Transfer.area"
2	32	0.132937315268	"Transfer.area"
3	32	0.160978799097	"Transfer.area"
4	32	0.175939811349	"Transfer.area"
5	32	0.184617191811	"Transfer.area"
6	32	0.189695396511	"Transfer.area"
7	32	0.187062748828	"Transfer.area"
8	32	0.187443233761	"Transfer.area"
9	32	0.193502398796	"Transfer.area"
10	32	0.190811598392	"Transfer.area"
11	32	0.195272013988	"Transfer.area"
12	32	0.188677198463	"Transfer.area"
13	32	0	"Transfer.area"
14	32	0.192569046015	"Transfer.area"
15	32	0.193787801665	"Transfer.area"
1	33	0.088318085914	"Transfer.area"
2	33	0.128195894571	"Transfer.area"
3	33	0.154384314745	"Transfer.area"
4	33	0.170912391914	"Transfer.area"
5	33	0.176334795259	"Transfer.area"
6	33	0.181465014483	"Transfer.area"
7	33	0.181803534885	"Transfer.area"
8	33	0	"Transfer.area"
9	33	0.179750845231	"Transfer.area"
10	33	0.185413301519	"Transfer.area"
11	33	0.177015491807	"Transfer.area"
12	33	0.187736970514	"Transfer.area"
13	33	0	"Transfer.area"
14	33	0.185750423793	"Transfer.area"
15	33	0.18755092713	"Transfer.area"
1	34	0.0875366316686	"Transfer.area"
2	34	0.129025996155	"Transfer.area"
3	34	0.153488700108	"Transfer.area"
4	34	0.17064531839	"Transfer.area"
5	34	0.177788362576	"Transfer.area"
6	34	0.184584415165	"Transfer.area"
7	34	0.184772314571	"Transfer.area"
8	34	0.186836349364	"Transfer.area"
9	34	0.185721889729	"Transfer.area"
10	34	0.186426227091	"Transfer.area"
11	34	0.180877750064	"Transfer.area"
12	34	0.189304399705	"Transfer.area"
13	34	0	"Transfer.area"
14	34	0.18992609319	"Transfer.area"
15	34	0.189952157663	"Transfer.area"
1	35	0.102297555009	"Transfer.area"
2	35	0.151857302821	"Transfer.area"
3	35	0.180089732754	"Transfer.area"
4	35	0.198179446764	"Transfer.area"
5	35	0.210748764686	"Transfer.area"
6	35	0.212159723082	"Transfer.area"
7	35	0.218622905814	"Transfer.area"
8	35	0.240986601998	"Transfer.area"
9	35	0.218371912185	"Transfer.area"
10	35	0.217274941106	"Transfer.area"
11	35	0	"Transfer.area"
12	35	0.224159627453	"Transfer.area"
13	35	0	"Transfer.area"
14	35	0.219622922056	"Transfer.area"
15	35	0.226235518031	"Transfer.area"
1	36	0.0962935964731	"Transfer.area"
2	36	0.141984522542	"Transfer.area"
3	36	0.171523986643	"Transfer.area"
4	36	0.187504795516	"Transfer.area"
5	36	0.197697590433	"Transfer.area"
6	36	0.200785825269	"Transfer.area"
7	36	0.204952134373	"Transfer.area"
8	36	0.217308243327	"Transfer.area"
9	36	0.205933911275	"Transfer.area"
10	36	0.205534664683	"Transfer.area"
11	36	0	"Transfer.area"
12	36	0	"Transfer.area"
13	36	0	"Transfer.area"
14	36	0.205495001253	"Transfer.area"
15	36	0.212120756621	"Transfer.area"
1	37	0.0944692674847	"Transfer.area"
2	37	0.137979483704	"Transfer.area"
3	37	0.163927548919	"Transfer.area"
4	37	0.181511699397	"Transfer.area"
5	37	0.192902965344	"Transfer.area"
6	37	0.198899314128	"Transfer.area"
7	37	0.200006726628	"Transfer.area"
8	37	0.21049221477	"Transfer.area"
9	37	0.206810667635	"Transfer.area"
10	37	0.203978770377	"Transfer.area"
11	37	0	"Transfer.area"
12	37	0	"Transfer.area"
13	37	0	"Transfer.area"
14	37	0.211074213695	"Transfer.area"
15	37	0.212126073758	"Transfer.area"
1	38	0.0973599024472	"Transfer.area"
2	38	0.141894576537	"Transfer.area"
3	38	0.169321837257	"Transfer.area"
4	38	0.18865129602	"Transfer.area"
5	38	0.195845528641	"Transfer.area"
6	38	0.19888820332	"Transfer.area"
7	38	0.204732825979	"Transfer.area"
8	38	0.208248220548	"Transfer.area"
9	38	0.207636358688	"Transfer.area"
10	38	0.205694643395	"Transfer.area"
11	38	0	"Transfer.area"
12	38	0	"Transfer.area"
13	38	0	"Transfer.area"
14	38	0.211559888381	"Transfer.area"
15	38	0.201322161693	"Transfer.area"
1	39	0.088383297526	"Transfer.area"
2	39	0.136184853675	"Transfer.area"
3	39	0.165798042629	"Transfer.area"
4	39	0.183864653812	"Transfer.area"
5	39	0.190379274746	"Transfer.area"
6	39	0.200511232129	"Transfer.area"
7	39	0.199282524209	"Transfer.area"
8	39	0.206563261417	"Transfer.area"
9	39	0.204994739301	"Transfer.area"
10	39	0.200701376404	"Transfer.area"
11	39	0	"Transfer.area"
12	39	0	"Transfer.area"
13	39	0	"Transfer.area"
14	39	0.213965897039	"Transfer.area"
15	39	0.203102595012	"Transfer.area"
1	40	0.0960267319402	"Transfer.area"
2	40	0.14214491072	"Transfer.area"
3	40	0.17096405483	"Transfer.area"
4	40	0.196712657435	"Transfer.area"
5	40	0.199567789249	"Transfer.area"
6	40	0.203959872961	"Transfer.area"
7	40	0.215403274218	"Transfer.area"
8	40	0.218323737151	"Transfer.area"
9	40	0.220132298804	"Transfer.area"
10	40	0.212288436864	"Transfer.area"
11	40	0	"Transfer.area"
12	40	0	"Transfer.area"
13	40	0	"Transfer.area"
14	40	0.224184523516	"Transfer.area"
15	40	0.25387971237	"Transfer.area"
1	41	0.0929009175834	"Transfer.area"
2	41	0.141828649691	"Transfer.area"
3	41	0.170254498972	"Transfer.area"
4	41	0.194138786843	"Transfer.area"
5	41	0.202942709591	"Transfer.area"
6	41	0.20042973738	"Transfer.area"
7	41	0.202002887662	"Transfer.area"
8	41	0.209057270183	"Transfer.area"
9	41	0.201647294912	"Transfer.area"
10	41	0.204397497775	"Transfer.area"
11	41	0	"Transfer.area"
12	41	0	"Transfer.area"
13	41	0	"Transfer.area"
14	41	0.210069359942	"Transfer.area"
15	41	0.223872113676	"Transfer.area"
1	42	0.0933625162908	"Transfer.area"
2	42	0.134965392065	"Transfer.area"
3	42	0.159154283408	"Transfer.area"
4	42	0.193382122167	"Transfer.area"
5	42	0.192179707448	"Transfer.area"
6	42	0.197808963566	"Transfer.area"
7	42	0.213994370493	"Transfer.area"
8	42	0.22013098571	"Transfer.area"
9	42	0.209690449267	"Transfer.area"
10	42	0.198517970073	"Transfer.area"
11	42	0	"Transfer.area"
12	42	0	"Transfer.area"
13	42	0	"Transfer.area"
14	42	0.230899443069	"Transfer.area"
15	42	0.21444020902	"Transfer.area"
1	43	0.0884790174706	"Transfer.area"
2	43	0.134732484601	"Transfer.area"
3	43	0.163819950266	"Transfer.area"
4	43	0.181381738587	"Transfer.area"
5	43	0.187817894899	"Transfer.area"
6	43	0.194074646321	"Transfer.area"
7	43	0.196184704177	"Transfer.area"
8	43	0.195973422526	"Transfer.area"
9	43	0.197492058717	"Transfer.area"
10	43	0.19920895194	"Transfer.area"
11	43	0	"Transfer.area"
12	43	0	"Transfer.area"
13	43	0	"Transfer.area"
14	43	0	"Transfer.area"
15	43	0.193680906614	"Transfer.area"
1	44	0.10571422939	"Transfer.area"
2	44	0.156153505041	"Transfer.area"
3	44	0.187673922183	"Transfer.area"
4	44	0.206229714385	"Transfer.area"
5	44	0.216000322016	"Transfer.area"
6	44	0.221735100871	"Transfer.area"
7	44	0.223860220505	"Transfer.area"
8	44	0.229589053863	"Transfer.area"
9	44	0.227767195216	"Transfer.area"
10	44	0.226864774684	"Transfer.area"
11	44	0	"Transfer.area"
12	44	0	"Transfer.area"
13	44	0	"Transfer.area"
14	44	0	"Transfer.area"
15	44	0.229988337545	"Transfer.area"
1	45	0.0900961371512	"Transfer.area"
2	45	0.131383351695	"Transfer.area"
3	45	0.156453293999	"Transfer.area"
4	45	0.175114452908	"Transfer.area"
5	45	0.179871969345	"Transfer.area"
6	45	0.182181648701	"Transfer.area"
7	45	0.186954359319	"Transfer.area"
8	45	0.195897833368	"Transfer.area"
9	45	0.19066269333	"Transfer.area"
10	45	0.194941564175	"Transfer.area"
11	45	0	"Transfer.area"
12	45	0	"Transfer.area"
13	45	0.207375812605	"Transfer.area"
14	45	0	"Transfer.area"
15	45	0.187564585834	"Transfer.area"
1	46	0.0935832945442	"Transfer.area"
2	46	0.139672419009	"Transfer.area"
3	46	0.168162582121	"Transfer.area"
4	46	0.188140359966	"Transfer.area"
5	46	0.193394984474	"Transfer.area"
6	46	0.203546071758	"Transfer.area"
7	46	0.203407686497	"Transfer.area"
8	46	0.208334148893	"Transfer.area"
9	46	0.212050792628	"Transfer.area"
10	46	0.204990759051	"Transfer.area"
11	46	0	"Transfer.area"
12	46	0	"Transfer.area"
13	46	0.200871829058	"Transfer.area"
14	46	0.215111382005	"Transfer.area"
15	46	0.20111698928	"Transfer.area"
1	47	0.0866380966978	"Transfer.area"
2	47	0.128341782411	"Transfer.area"
3	47	0.154395258372	"Transfer.area"
4	47	0.176244857052	"Transfer.area"
5	47	0.185025084865	"Transfer.area"
6	47	0.18459047051	"Transfer.area"
7	47	0.18159571077	"Transfer.area"
8	47	0.19350240336	"Transfer.area"
9	47	0.197582070747	"Transfer.area"
10	47	0.186002668368	"Transfer.area"
11	47	0	"Transfer.area"
12	47	0	"Transfer.area"
13	47	0.189418715669	"Transfer.area"
14	47	0.200855173569	"Transfer.area"
15	47	0.191589371704	"Transfer.area"
1	48	0.0924047346862	"Transfer.area"
2	48	0.135191537574	"Transfer.area"
3	48	0.164230103727	"Transfer.area"
4	48	0.182299680438	"Transfer.area"
5	48	0.189308363221	"Transfer.area"
6	48	0.192471093985	"Transfer.area"
7	48	0.192259266922	"Transfer.area"
8	48	0.213552947226	"Transfer.area"
9	48	0.204463241842	"Transfer.area"
10	48	0.197052251476	"Transfer.area"
11	48	0	"Transfer.area"
12	48	0	"Transfer.area"
13	48	0.200198767248	"Transfer.area"
14	48	0.235026459664	"Transfer.area"
15	48	0.191393336343	"Transfer.area"
1	49	0.096943674153	"Transfer.area"
2	49	0.143949252026	"Transfer.area"
3	49	0.173465282585	"Transfer.area"
4	49	0.195755099181	"Transfer.area"
