"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	5798.209	1632.28	3306.753	8668.926
"Age 2"	2	14602.153	2547.563	10827.492	19193.603
"Age 3"	3	42961.865	4712.574	35618.104	51146.721
"Age 4"	4	61792.849	5924.364	52556.977	72122.672
"Age 5"	5	16081.636	2726.918	11896.294	20815.452
"Age 6"	6	57302.825	5615.033	48294.321	66832.073
"Age 7"	7	31627.885	3991.038	25435.611	38656.526
"Age 8"	8	47582.236	4896.664	39896.567	55963.304
"Age 9"	9	76561.172	6370.736	66375.116	87237.698
"Age 10"	10	57900.876	5452.665	49156.869	67028.353
"Age 11"	11	22444.597	3197.617	17533.495	27982.535
"Age 12+"	12	40767.129	4481.788	33876.635	48411.38
