"age"	"part.year"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
5	0.404371584699454	25.5	3	1	NA	NA
7	0.404371584699454	27.5	3	1	NA	NA
6	0.404371584699454	27.5	3	1	NA	NA
4	0.404371584699454	24.5	3	1	NA	NA
3	0.404371584699454	24.5	3	1	NA	NA
3	0.404371584699454	26.5	3	1	NA	NA
6	0.404371584699454	27.5	3	1	NA	NA
9	0.404371584699454	27	3	1	NA	NA
9	0.404371584699454	27	3	1	NA	NA
5	0.404371584699454	24.5	3	1	NA	NA
3	0.404371584699454	27	3	1	NA	NA
3	0.404371584699454	26.5	3	1	NA	NA
NA	0.404371584699454	26.5	3	1	NA	NA
NA	0.404371584699454	28.5	3	1	NA	NA
NA	0.404371584699454	23	3	1	NA	NA
NA	0.404371584699454	23.5	3	1	NA	NA
NA	0.404371584699454	26	3	1	NA	NA
NA	0.404371584699454	25	3	1	NA	NA
NA	0.404371584699454	25.5	3	1	NA	NA
NA	0.404371584699454	24.5	3	1	NA	NA
NA	0.404371584699454	23.5	3	1	NA	NA
NA	0.404371584699454	25.5	3	1	NA	NA
NA	0.404371584699454	25	3	1	NA	NA
NA	0.404371584699454	25	3	1	NA	NA
NA	0.404371584699454	22.5	3	1	NA	NA
NA	0.404371584699454	23	3	1	NA	NA
9	0.62568306010929	27.5	4	1	NA	NA
3	0.62568306010929	26	4	1	NA	NA
3	0.62568306010929	27	4	1	NA	NA
9	0.62568306010929	27.5	4	1	NA	NA
7	0.62568306010929	27	4	1	NA	NA
4	0.62568306010929	27.5	4	1	NA	NA
3	0.62568306010929	29	4	1	NA	NA
4	0.62568306010929	27.5	4	1	NA	NA
7	0.62568306010929	27	4	1	NA	NA
4	0.62568306010929	30	4	1	NA	NA
3	0.62568306010929	29	4	1	NA	NA
6	0.62568306010929	27	4	1	NA	NA
15	0.62568306010929	32.5	4	1	NA	NA
4	0.62568306010929	28	4	1	NA	NA
9	0.62568306010929	26.5	4	1	NA	NA
4	0.62568306010929	28	4	1	NA	NA
9	0.62568306010929	32	4	1	NA	NA
4	0.62568306010929	29	4	1	NA	NA
4	0.62568306010929	29	4	1	NA	NA
4	0.62568306010929	29	4	1	NA	NA
2	0.62568306010929	25.5	4	1	NA	NA
5	0.62568306010929	29	4	1	NA	NA
3	0.62568306010929	27.5	4	1	NA	NA
4	0.62568306010929	29	4	1	NA	NA
4	0.62568306010929	28	4	1	NA	NA
3	0.62568306010929	27.5	4	1	NA	NA
11	0.62568306010929	30.5	4	1	NA	NA
9	0.62568306010929	27.5	4	1	NA	NA
7	0.62568306010929	29	4	1	NA	NA
4	0.62568306010929	27.5	4	1	NA	NA
4	0.62568306010929	28.5	4	1	NA	NA
4	0.62568306010929	29	4	1	NA	NA
3	0.62568306010929	27	4	1	NA	NA
4	0.62568306010929	29	4	1	NA	NA
2	0.62568306010929	25	4	1	NA	NA
3	0.62568306010929	28	4	1	NA	NA
4	0.62568306010929	28.5	4	1	NA	NA
5	0.62568306010929	31	4	1	NA	NA
4	0.62568306010929	28	4	1	NA	NA
3	0.62568306010929	27	4	1	NA	NA
2	0.423497267759563	21.5	5	1	NA	NA
3	0.423497267759563	26.5	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
1	0.423497267759563	19	5	1	NA	NA
5	0.423497267759563	26	5	1	NA	NA
2	0.423497267759563	20.5	5	1	NA	NA
2	0.423497267759563	24.5	5	1	NA	NA
1	0.423497267759563	20	5	1	NA	NA
2	0.423497267759563	22.5	5	1	NA	NA
1	0.423497267759563	19	5	1	NA	NA
2	0.423497267759563	23.5	5	1	NA	NA
2	0.423497267759563	23.5	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
1	0.423497267759563	18.5	5	1	NA	NA
2	0.423497267759563	22.5	5	1	NA	NA
1	0.423497267759563	20.5	5	1	NA	NA
2	0.423497267759563	21.5	5	1	NA	NA
2	0.423497267759563	19	5	1	NA	NA
2	0.423497267759563	22.5	5	1	NA	NA
2	0.423497267759563	23.5	5	1	NA	NA
2	0.423497267759563	20.5	5	1	NA	NA
2	0.423497267759563	20	5	1	NA	NA
4	0.423497267759563	24.5	5	1	NA	NA
3	0.423497267759563	24.5	5	1	NA	NA
2	0.423497267759563	19.5	5	1	NA	NA
2	0.423497267759563	23	5	1	NA	NA
3	0.423497267759563	25	5	1	NA	NA
2	0.423497267759563	23.5	5	1	NA	NA
2	0.423497267759563	21.5	5	1	NA	NA
1	0.423497267759563	18.5	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
2	0.423497267759563	22.5	5	1	NA	NA
1	0.423497267759563	20.5	5	1	NA	NA
1	0.423497267759563	18	5	1	NA	NA
6	0.423497267759563	27.5	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
1	0.423497267759563	18	5	1	NA	NA
3	0.423497267759563	22	5	1	NA	NA
3	0.423497267759563	25.5	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
2	0.423497267759563	22	5	1	NA	NA
2	0.423497267759563	21	5	1	NA	NA
2	0.423497267759563	20	5	1	NA	NA
2	0.423497267759563	20	5	1	NA	NA
2	0.423497267759563	21	5	1	NA	NA
4	0.423497267759563	25	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
1	0.423497267759563	19.5	5	1	NA	NA
NA	0.423497267759563	20.5	5	1	NA	NA
NA	0.423497267759563	21.5	5	1	NA	NA
NA	0.423497267759563	23	5	1	NA	NA
NA	0.423497267759563	19	5	1	NA	NA
NA	0.423497267759563	21	5	1	NA	NA
NA	0.423497267759563	18	5	1	NA	NA
NA	0.423497267759563	19.5	5	1	NA	NA
NA	0.423497267759563	18.5	5	1	NA	NA
NA	0.423497267759563	25	5	1	NA	NA
NA	0.423497267759563	23	5	1	NA	NA
NA	0.423497267759563	19.5	5	1	NA	NA
NA	0.423497267759563	22.5	5	1	NA	NA
