"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	1527.786	6368.145	277.051	2310.213
"Age 2"	2	116730.669	511794.171	80678.621	104704.901
"Age 3"	3	92532.034	518072.055	51298.901	70359.345
"Age 4"	4	252519.463	2366644.53	81173.688	106195.693
"Age 5"	5	127515.042	148589.04	105455.248	131327.037
"Age 6"	6	95283.594	1494248.959	20187.272	31562.255
"Age 7"	7	1224354.563	18514434.506	46902.144	65574.673
"Age 8"	8	151348.182	2045266.237	20633.87	32345.702
"Age 9"	9	69763.52	745938.379	21874.041	34278.013
"Age 10"	10	215300.533	2738965.368	47103.833	66980.926
"Age 11"	11	269486.485	3289963.506	31414.218	47992.94
"Age 12+"	12	86695.597	573169.478	34836.131	52894.545
