"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	22065.08	4242.289	15531.934	29229.848
"Age 2"	2	85580.031	11098.235	68894.985	105145.487
"Age 3"	3	169256.957	14756.737	145808.559	194307.58
"Age 4"	4	120058.181	11985.249	102641.274	140356.697
"Age 5"	5	91821.986	9872.879	76381.109	109470.268
"Age 6"	6	25722.261	4655.018	18417.819	33548.516
"Age 7"	7	54569.647	7761.704	42095.225	67977.867
"Age 8"	8	6570.124	2177.499	3298.224	10659.848
"Age 9+"	9	83872.536	8443.89	70269.09	98156.992
