"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.644	39.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.411	34.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.486	38	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.36	33	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.472	38	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.447	37	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.294	32	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.354	34.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.471	38	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.496	38.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.468	37	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.401	35	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.36	34	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.571	39	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.379	34.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.426	36.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.409	35.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.514	39	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.423	35	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.459	36.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.377	35	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.388	35.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.398	35.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.386	34.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.535	38.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.487	38	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.541	39.5	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.4	36	1	"NA/19/2021/10011/30_100_38100_1"	NA	NA
0.418	36	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.499	39	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.428	37	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.502	38.5	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.457	37	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.427	35	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.46	36.5	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.591	40.5	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.502	38	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.416	35.5	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.396	36	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.457	37	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.463	36.5	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.468	36.5	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.4	35.5	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.374	35	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.543	39.5	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.563	39	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.435	37	2	"NA/19/2021/10011/30_101_38101_1"	NA	NA
0.512	37.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.454	36.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.419	36	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.609	39.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.634	41	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.535	37.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.626	39.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.605	39	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.449	36	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.545	38.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.477	37.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.514	37.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.56	38.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.524	38.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.516	37	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.539	36.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.462	37.5	3	"NA/19/2021/10011/30_102_38102_1"	NA	NA
0.582	39.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.561	38.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.533	38	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.524	39	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.472	36.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.465	37.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.538	38.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.567	38.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.376	35	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.419	35.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.307	32	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.355	33.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.332	34.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.512	38.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.573	38.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.253	30.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.438	37	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.356	33	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.457	36.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.518	38.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.385	35	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.495	37	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.391	35.5	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.376	36	4	"NA/19/2021/10011/30_108_38108_1"	NA	NA
0.369	34	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.369	35	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.35	33.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.279	32	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.245	31	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.483	37	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.326	33	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.453	37	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.397	35.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.275	32	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.28	32	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.322	32.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.397	34	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.421	36	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.286	31	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.287	32	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.37	34.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.409	36	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.318	33.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.264	31	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.371	34.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.285	31	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.276	32	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.281	32	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.62	38.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.395	34.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.265	31	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.402	35	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.401	35.5	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.449	38	5	"NA/19/2021/10011/30_109_38109_1"	NA	NA
0.421	36.5	6	"NA/19/2021/10011/30_110_38110_1"	NA	NA
0.39	37	6	"NA/19/2021/10011/30_110_38110_1"	NA	NA
0.337	34.5	6	"NA/19/2021/10011/30_110_38110_1"	NA	NA
0.399	35	6	"NA/19/2021/10011/30_110_38110_1"	NA	NA
0.431	36.5	6	"NA/19/2021/10011/30_110_38110_1"	NA	NA
