"Age"	"Iteration"	"CatchAtAge"	"Length"
1	1	126778.767566371	340
1	2	30851.5773610057	340
1	3	1909.56436542965	340
1	4	6412.13384027444	340
1	5	37239.5351243432	340
1	6	91862.0875803289	340
1	7	104498.664737091	340
1	8	33874.9934749328	340
1	9	43148.368256709	340
1	10	42833.9356469066	340
1	11	52344.6911812244	340
1	12	81965.7104076053	340
1	13	447364.232641851	340
1	14	219218.334154034	340
1	15	507403.311549282	340
1	16	620219.877255244	340
1	17	1063445.09772801	340
1	18	477934.315843678	340
1	19	616447.667620216	340
1	20	320306.902607784	340
1	21	200706.373646862	340
1	22	255400.619220469	340
1	23	30377.6393846002	340
1	24	3392.21445523291	340
1	25	7928.719309124	340
1	26	862.695402979945	340
1	27	15.833261111646	340
1	28	0	340
1	29	50.270875778769	340
1	30	1925.25800047887	340
1	31	2.723557184986	340
1	32	209.733502866244	340
1	33	0	340
1	34	554.649947835137	340
1	35	542.081820363542	340
1	36	559.710931989273	340
1	37	38.702683831242	340
1	38	586.918960574838	340
1	39	936.902260006874	340
1	40	2884.84338137998	340
1	41	4221.34316891215	340
1	42	43849.2404817587	340
1	43	62283.0365596613	340
1	44	25175.9915013272	340
1	45	71551.1532350917	340
1	46	28714.1561599343	340
1	47	8921.09776726491	340
1	48	439.178094103735	340
1	49	260.622471882346	340
1	50	9823.39639506966	340
1	51	66453.4559635016	340
1	52	57330.3626557882	340
1	53	163294.957697785	340
1	54	299729.071056298	340
1	55	506479.427650112	340
1	56	745107.113987545	340
1	57	1046794.08545871	340
1	58	1461953.6742715	340
1	59	1000355.90600327	340
1	60	1214148.30798167	340
1	61	654847.340357404	340
1	62	172802.787104895	340
1	63	331652.918143065	340
1	64	156079.364636259	340
1	65	607582.468130401	340
1	66	763118.947619287	340
1	67	971104.823609597	340
1	68	625160.768224283	340
1	69	580899.182508964	340
1	70	586444.729172375	340
1	71	388652.880656649	340
1	72	1942815.02925703	340
1	73	529171.68383225	340
1	74	590292.067973446	340
1	75	609118.3275461	340
1	76	258935.830988221	340
1	77	488863.873008633	340
1	78	420273.318334594	340
1	79	574944.282158737	340
1	80	446786.420377586	340
1	81	638176.092230932	340
1	82	324193.963204194	340
1	83	237674.527124	340
1	84	27809.475794347	340
1	85	43587.5892986651	340
1	86	42368.070128645	340
1	87	58089.0404922992	340
1	88	11888.5106343537	340
1	89	59864.4791406171	340
1	90	118507.600467763	340
1	91	26449.3361828507	340
1	92	38752.050403314	340
1	93	8290.95076415076	340
1	94	20681.9094407693	340
1	95	63843.2243248007	340
1	96	76570.900936602	340
1	97	98319.4924373879	340
1	98	19525.1582061983	340
1	99	73446.9852860894	340
1	100	171791.563393377	340
2	1	14283828.5439607	340
2	2	16796230.9051953	340
2	3	21510059.2240434	340
2	4	17796222.848252	340
2	5	16607086.1942941	340
2	6	15953270.8917187	340
2	7	16717013.0757647	340
2	8	23895537.7655725	340
2	9	22007832.2856583	340
2	10	22222339.6052282	340
2	11	22126605.2546521	340
2	12	18087156.6875805	340
2	13	15780562.1140067	340
2	14	18851695.566338	340
2	15	26102665.7930541	340
2	16	22894284.6855687	340
2	17	18761361.1898818	340
2	18	18780267.2977265	340
2	19	20103043.2210663	340
2	20	23103561.7866703	340
2	21	16094012.164292	340
2	22	19950987.226525	340
2	23	28808294.1558718	340
2	24	22959623.1249043	340
2	25	25839950.1299516	340
2	26	18207063.487992	340
2	27	22074637.296264	340
2	28	21920902.5252778	340
2	29	17341471.2491168	340
2	30	18881179.3330256	340
2	31	19230750.7757035	340
2	32	17800803.8877125	340
2	33	21233684.2651352	340
2	34	22164517.3993029	340
2	35	19419957.8369917	340
2	36	22888295.1941162	340
2	37	18315349.4977429	340
2	38	23942636.8538249	340
2	39	18942719.7160105	340
2	40	18065320.8126014	340
2	41	16641788.2774529	340
2	42	16822971.0852941	340
2	43	20436453.6404803	340
2	44	17023190.358588	340
2	45	22500201.8316943	340
2	46	18431784.7792435	340
2	47	18065959.0884966	340
2	48	22440891.3071632	340
2	49	19689060.5729931	340
2	50	22489177.6442784	340
2	51	19460129.0597984	340
2	52	19440413.250055	340
2	53	15975365.9188215	340
2	54	20042067.5703028	340
2	55	14022536.6684231	340
2	56	19591843.8483109	340
2	57	18402040.9573422	340
2	58	18956286.0182546	340
2	59	14959171.6091658	340
2	60	14493334.7014141	340
2	61	18672490.9190855	340
2	62	19121812.572232	340
2	63	17881554.7037566	340
2	64	18878283.710966	340
2	65	21612607.8869658	340
2	66	17181467.2003681	340
2	67	19169507.6994618	340
2	68	16187864.3457885	340
2	69	16979324.1933951	340
2	70	16016151.914964	340
2	71	23554276.6543953	340
2	72	82024318.7321914	340
2	73	16485779.5954134	340
2	74	19971366.7952292	340
2	75	17736199.4586947	340
2	76	16230420.5906695	340
2	77	19427198.4043132	340
2	78	17735902.3697116	340
2	79	14472822.6336581	340
2	80	16394985.3473647	340
2	81	18816374.8785945	340
2	82	20829802.8446768	340
2	83	22033003.3030561	340
2	84	19593305.8965605	340
2	85	19044237.174062	340
2	86	21870408.712566	340
2	87	19410190.3253944	340
2	88	20910189.6034008	340
2	89	14715863.6429666	340
2	90	13202681.6596433	340
2	91	17277630.0146036	340
2	92	20776121.6272683	340
2	93	17280007.9766044	340
2	94	18042260.9298439	340
2	95	17144284.4969464	340
2	96	23457605.3369316	340
2	97	24061444.9864801	340
2	98	13754726.92024	340
2	99	18829822.5452779	340
2	100	15582584.8955053	340
3	1	94570263.9073715	340
