"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
8	10	28.800872643952	"27.4.aE"	"Q4"
9	10	28.86688301904	"27.4.aE"	"Q4"
10	10	28.90742512716	"27.4.aE"	"Q4"
11	10	28.932347293131	"27.4.aE"	"Q4"
12	10	28.947675845131	"27.4.aE"	"Q4"
13	10	28.957106920098	"27.4.aE"	"Q4"
1	11	23.47773596447	"27.4.aE"	"Q4"
2	11	26.004844794582	"27.4.aE"	"Q4"
3	11	27.41076424598	"27.4.aE"	"Q4"
4	11	28.225587329172	"27.4.aE"	"Q4"
5	11	28.707495561219	"27.4.aE"	"Q4"
6	11	28.995661164737	"27.4.aE"	"Q4"
7	11	29.169057463087	"27.4.aE"	"Q4"
8	11	29.273777011113	"27.4.aE"	"Q4"
9	11	29.33715811668	"27.4.aE"	"Q4"
10	11	29.375569278722	"27.4.aE"	"Q4"
11	11	29.398866049673	"27.4.aE"	"Q4"
12	11	0	"27.4.aE"	"Q4"
13	11	29.421582903719	"27.4.aE"	"Q4"
1	12	23.715577696781	"27.4.aE"	"Q4"
2	12	26.32445523121	"27.4.aE"	"Q4"
3	12	27.752000377776	"27.4.aE"	"Q4"
4	12	28.563507814145	"27.4.aE"	"Q4"
5	12	29.033495022547	"27.4.aE"	"Q4"
6	12	29.308411443495	"27.4.aE"	"Q4"
7	12	29.470119124032	"27.4.aE"	"Q4"
8	12	29.565540286966	"27.4.aE"	"Q4"
9	12	29.621951205042	"27.4.aE"	"Q4"
10	12	29.655336326015	"27.4.aE"	"Q4"
11	12	29.675106942765	"27.4.aE"	"Q4"
12	12	0	"27.4.aE"	"Q4"
13	12	29.693759804165	"27.4.aE"	"Q4"
1	13	22.964616790302	"27.4.aE"	"Q4"
2	13	25.485399338465	"27.4.aE"	"Q4"
3	13	26.871997276664	"27.4.aE"	"Q4"
4	13	27.664909233613	"27.4.aE"	"Q4"
5	13	28.12704298594	"27.4.aE"	"Q4"
6	13	28.399155242214	"27.4.aE"	"Q4"
7	13	28.560302444342	"27.4.aE"	"Q4"
8	13	28.65605168863	"27.4.aE"	"Q4"
9	13	28.713053538383	"27.4.aE"	"Q4"
10	13	28.747026904243	"27.4.aE"	"Q4"
11	13	28.767288899645	"27.4.aE"	"Q4"
12	13	28.77937818485	"27.4.aE"	"Q4"
13	13	28.786592965126	"27.4.aE"	"Q4"
1	14	23.283888320849	"27.4.aE"	"Q4"
2	14	25.845692883953	"27.4.aE"	"Q4"
3	14	27.260428109584	"27.4.aE"	"Q4"
4	14	28.072901432823	"27.4.aE"	"Q4"
5	14	28.54857282036	"27.4.aE"	"Q4"
6	14	28.829963308539	"27.4.aE"	"Q4"
7	14	28.99740104583	"27.4.aE"	"Q4"
8	14	29.097370794124	"27.4.aE"	"Q4"
9	14	29.157177269536	"27.4.aE"	"Q4"
10	14	29.192998456729	"27.4.aE"	"Q4"
11	14	29.21446868923	"27.4.aE"	"Q4"
12	14	29.227342754521	"27.4.aE"	"Q4"
13	14	29.235064290294	"27.4.aE"	"Q4"
1	15	22.750753901933	"27.4.aE"	"Q4"
2	15	25.213207296346	"27.4.aE"	"Q4"
3	15	26.563045974751	"27.4.aE"	"Q4"
4	15	27.332446304798	"27.4.aE"	"Q4"
5	15	27.779462222151	"27.4.aE"	"Q4"
6	15	28.041846891591	"27.4.aE"	"Q4"
7	15	28.196744955691	"27.4.aE"	"Q4"
8	15	28.288490782468	"27.4.aE"	"Q4"
9	15	28.342936318408	"27.4.aE"	"Q4"
10	15	28.375282992993	"27.4.aE"	"Q4"
11	15	28.394513351611	"27.4.aE"	"Q4"
12	15	28.405950485664	"27.4.aE"	"Q4"
13	15	0	"27.4.aE"	"Q4"
1	16	23.279745980784	"27.4.aE"	"Q4"
2	16	25.777692270593	"27.4.aE"	"Q4"
3	16	27.143844946292	"27.4.aE"	"Q4"
4	16	27.920848639158	"27.4.aE"	"Q4"
5	16	28.371313640734	"27.4.aE"	"Q4"
