"weightKG"	"lengthCM"	"samplingID"	"partnumber"	"otolithtype"	"partcount"
0.35	35.5	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.196	28	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.538	37.5	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.484	37	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.459	37	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.159	26.5	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.558	39	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.327	34	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.536	38.5	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.204	29	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.492	37.5	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.422	35.5	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.24	29	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.478	36.5	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.471	38.5	5	"NA/19/2020/9000/30_32_38032_1"	NA	NA
0.558	39	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.52	38.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.569	39.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.537	39.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.585	40	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.528	39	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.452	36.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.532	37.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.477	37.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.552	38.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.559	37.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.483	38	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.316	34.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.355	35	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.561	39	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.593	39	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.439	37	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.342	34.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.32	33.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.436	37	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.476	37.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.332	33.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.427	36.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.388	34	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.486	38	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.38	34	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.482	38.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.339	33.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.374	34.5	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.481	37	6	"NA/19/2020/9000/30_33_38033_2"	NA	NA
0.604	40.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.581	40	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.467	37.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.501	37	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.5	37.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.372	34.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.52	37	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.428	37	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.461	36.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.514	37.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.338	33	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.511	37	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.453	36	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.493	37	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.598	41	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.389	34.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.359	33.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.474	37.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.57	39.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.495	37	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.608	40	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.52	39.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.366	34.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.526	37.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.366	36	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.51	38	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.489	38.5	7	"NA/19/2020/9000/30_34_38034_2"	NA	NA
0.436	37.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.486	36.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.537	39	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.356	34	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.493	37	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.504	38.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.417	36.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.324	34.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.594	40.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.536	38.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.322	34	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.46	37	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.252	31.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.384	35.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.582	39	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.479	37	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.303	33	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.317	33.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.46	37	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.484	37.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.353	33.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.29	32	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.451	38.5	8	"NA/19/2020/9000/30_35_38035_2"	NA	NA
0.634	40.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.519	39	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.481	38	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.488	37	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.445	37	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.374	34	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.625	40	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.469	37.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.402	36.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.475	37	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.536	39	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.5	39	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.299	33	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.433	35.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.455	37	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.321	33.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.284	32	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.535	37	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.275	32.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.486	37	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.441	35.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.349	34.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.549	39	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.366	35	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.501	38	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.489	37	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.409	36	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.372	34.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.428	35.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.463	36.5	9	"NA/19/2020/9000/30_36_38036_1"	NA	NA
0.419	36.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.312	34.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.418	36.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.457	37.5	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
0.319	34	3	"NA/19/2020/9000/30_3_38003_1"	NA	NA
