"","2","3","4","5","6","7","8","9","10","11","12"
"2",0.99,0.008,0.002,0,0,0,0,0,0,0,0
"3",0.014,0.972,0.011,0.002,0,0,0,0,0,0,0
"4",0.003,0.015,0.963,0.015,0.003,0.001,0,0,0,0,0
"5",0.001,0.004,0.02,0.95,0.02,0.004,0.001,0,0,0,0
"6",0,0.001,0.006,0.027,0.933,0.027,0.006,0.001,0,0,0
"7",0,0,0.002,0.007,0.036,0.91,0.036,0.007,0.002,0,0
"8",0,0,0,0.002,0.01,0.047,0.881,0.047,0.01,0.002,0.001
"9",0,0,0,0.001,0.003,0.013,0.062,0.844,0.062,0.013,0.003
"10",0,0,0,0,0.001,0.004,0.017,0.08,0.798,0.08,0.021
"11",0,0,0,0,0,0.001,0.004,0.021,0.101,0.743,0.128
"12",0,0,0,0,0,0,0.001,0.006,0.027,0.127,0.84
