"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
4	10	26.819147319237	"27.4.aE"
5	10	27.07483661161	"27.4.aE"
6	10	27.235993290737	"27.4.aE"
7	10	27.476558242423	"27.4.aE"
8	10	27.677674959107	"27.4.aE"
9	10	27.912646607528	"27.4.aE"
10	10	27.931135510085	"27.4.aE"
11	10	28.211738653186	"27.4.aE"
12	10	28.099331709178	"27.4.aE"
13	10	28.600066296746	"27.4.aE"
14	10	28.498808087374	"27.4.aE"
15	10	28.523823782752	"27.4.aE"
1	11	20.531743679114	"27.4.aE"
2	11	23.497282856501	"27.4.aE"
3	11	25.456336744022	"27.4.aE"
4	11	26.651137027304	"27.4.aE"
5	11	26.963074336929	"27.4.aE"
6	11	27.226220129986	"27.4.aE"
7	11	27.563442553379	"27.4.aE"
8	11	27.453370110191	"27.4.aE"
9	11	27.90525257718	"27.4.aE"
10	11	28.217610477264	"27.4.aE"
11	11	28.42271468669	"27.4.aE"
12	11	28.186892014052	"27.4.aE"
13	11	28.655384110154	"27.4.aE"
14	11	28.186778031563	"27.4.aE"
15	11	28.667470724547	"27.4.aE"
1	12	20.3653912542	"27.4.aE"
2	12	23.494599800121	"27.4.aE"
3	12	25.387171840756	"27.4.aE"
4	12	26.577739271786	"27.4.aE"
5	12	27.052629651561	"27.4.aE"
6	12	27.201465119626	"27.4.aE"
7	12	27.761107720414	"27.4.aE"
8	12	27.404215727015	"27.4.aE"
9	12	27.94496546063	"27.4.aE"
10	12	28.042522383369	"27.4.aE"
11	12	28.246068278824	"27.4.aE"
12	12	28.487024118066	"27.4.aE"
13	12	28.780447217882	"27.4.aE"
14	12	28.765540786821	"27.4.aE"
15	12	28.785767475228	"27.4.aE"
1	13	20.500356717178	"27.4.aE"
2	13	23.233694189327	"27.4.aE"
3	13	25.712175360392	"27.4.aE"
4	13	26.508259001517	"27.4.aE"
5	13	26.786687558135	"27.4.aE"
6	13	27.350846365997	"27.4.aE"
7	13	27.37176139297	"27.4.aE"
8	13	27.38931985494	"27.4.aE"
9	13	27.742019670151	"27.4.aE"
10	13	28.133326824118	"27.4.aE"
11	13	28.444219260582	"27.4.aE"
12	13	27.859535586214	"27.4.aE"
13	13	28.654297084746	"27.4.aE"
14	13	28.626702201819	"27.4.aE"
15	13	28.658529223385	"27.4.aE"
1	14	20.468118778466	"27.4.aE"
2	14	23.538557191291	"27.4.aE"
3	14	25.717299577771	"27.4.aE"
4	14	26.954145298065	"27.4.aE"
5	14	27.15516140738	"27.4.aE"
6	14	27.547375569688	"27.4.aE"
7	14	27.859323530636	"27.4.aE"
8	14	27.901778325489	"27.4.aE"
9	14	28.058002583366	"27.4.aE"
10	14	28.508118319131	"27.4.aE"
11	14	28.045939968744	"27.4.aE"
12	14	28.35260565974	"27.4.aE"
13	14	28.912488678157	"27.4.aE"
14	14	28.927424216735	"27.4.aE"
15	14	28.916844841205	"27.4.aE"
1	15	20.785672698146	"27.4.aE"
2	15	23.3586745926	"27.4.aE"
3	15	25.554554246154	"27.4.aE"
4	15	26.680876647055	"27.4.aE"
5	15	27.365197301471	"27.4.aE"
6	15	27.231013957218	"27.4.aE"
7	15	27.778665029388	"27.4.aE"
8	15	27.878025549969	"27.4.aE"
9	15	27.990482374728	"27.4.aE"
10	15	28.318760850127	"27.4.aE"
11	15	28.92573599018	"27.4.aE"
12	15	28.776133119376	"27.4.aE"
13	15	29.052232962438	"27.4.aE"
14	15	29.07214096756	"27.4.aE"
15	15	29.058204267242	"27.4.aE"
1	16	20.359816263692	"27.4.aE"
2	16	23.51224545294	"27.4.aE"
3	16	25.613648246836	"27.4.aE"
4	16	26.871864050684	"27.4.aE"
5	16	27.086174008593	"27.4.aE"
6	16	27.39151768984	"27.4.aE"
7	16	28.081362638372	"27.4.aE"
8	16	27.530499564455	"27.4.aE"
9	16	28.096855332179	"27.4.aE"
10	16	28.166251824277	"27.4.aE"
11	16	27.673521953477	"27.4.aE"
12	16	28.374651959192	"27.4.aE"
13	16	28.775456134027	"27.4.aE"
14	16	28.88657550117	"27.4.aE"
15	16	28.802064331141	"27.4.aE"
1	17	20.233877472013	"27.4.aE"
2	17	23.516835512561	"27.4.aE"
3	17	25.459959027641	"27.4.aE"
4	17	26.820689742317	"27.4.aE"
5	17	27.245673351446	"27.4.aE"
6	17	27.455259526774	"27.4.aE"
7	17	27.592921287535	"27.4.aE"
8	17	27.546769511851	"27.4.aE"
9	17	27.709959493616	"27.4.aE"
10	17	27.981436269983	"27.4.aE"
11	17	28.564286107109	"27.4.aE"
12	17	28.011612788301	"27.4.aE"
