"AgeGroup"	"Age"	"CatchAtAge"	"SD"	"Low"	"High"
"Age 1"	1	586.011	4899.74	7.547	1250.629
"Age 2"	2	90064.815	10181.072	77076.552	104933.803
"Age 3"	3	55217.094	16967.383	44807.315	67133.552
"Age 4"	4	100518.586	19606.879	85617.066	113978.768
"Age 5"	5	132862.887	14258.119	116333.285	149421.172
"Age 6"	6	14946.517	4592.925	8829.52	22067.385
"Age 7"	7	66020.562	54649.007	50694.833	76867.779
"Age 8"	8	18201.041	5360.042	10844.729	26069.195
"Age 9"	9	17850.956	5648.36	9953.331	27628.114
"Age 10"	10	98485.25	30141.413	79044.192	114334.159
"Age 11"	11	5410.657	7704.794	0	21744.226
"Age 12+"	12	48430.607	74405.856	32024.41	57273.517
